,PSKY
2015-09-14,43.279998779296875
2015-09-15,43.7599983215332
2015-09-16,43.58000183105469
2015-09-17,43.41999816894531
2015-09-18,42.709999084472656
2015-09-21,42.880001068115234
2015-09-22,42.58000183105469
2015-09-23,41.66999816894531
2015-09-24,40.88999938964844
2015-09-25,40.77000045776367
2015-09-28,38.66999816894531
2015-09-29,38.970001220703125
2015-09-30,39.900001525878906
2015-10-01,39.470001220703125
2015-10-02,40.29999923706055
2015-10-05,41.63999938964844
2015-10-06,41.34000015258789
2015-10-07,42.40999984741211
2015-10-08,43.86000061035156
2015-10-09,43.130001068115234
2015-10-12,42.619998931884766
2015-10-13,42.34000015258789
2015-10-14,42.43000030517578
2015-10-15,43.15999984741211
2015-10-16,43.18000030517578
2015-10-19,42.91999816894531
2015-10-20,43.95000076293945
2015-10-21,43.18000030517578
2015-10-22,43.209999084472656
2015-10-23,44.4900016784668
2015-10-26,44.36000061035156
2015-10-27,44.5
2015-10-28,45.4900016784668
2015-10-29,46.619998931884766
2015-10-30,46.52000045776367
2015-11-02,47.869998931884766
2015-11-03,48.2400016784668
2015-11-04,47.95000076293945
2015-11-05,47.77000045776367
2015-11-06,48.63999938964844
2015-11-09,48.540000915527344
2015-11-10,49.75
2015-11-11,50.310001373291016
2015-11-12,50.36000061035156
2015-11-13,49.880001068115234
2015-11-16,50.939998626708984
2015-11-17,50.779998779296875
2015-11-18,51.310001373291016
2015-11-19,51.75
2015-11-20,51.689998626708984
2015-11-23,50.97999954223633
2015-11-24,50.540000915527344
2015-11-25,50.97999954223633
2015-11-27,50.75
2015-11-30,50.47999954223633
2015-12-01,51.099998474121094
2015-12-02,50.04999923706055
2015-12-03,49.33000183105469
2015-12-04,50.0099983215332
2015-12-07,50.45000076293945
2015-12-08,49.84000015258789
2015-12-09,48.36000061035156
2015-12-10,48.529998779296875
2015-12-11,46.84000015258789
2015-12-14,46.34000015258789
2015-12-15,46.83000183105469
2015-12-16,47.5
2015-12-17,46.52000045776367
2015-12-18,45.65999984741211
2015-12-21,45.790000915527344
2015-12-22,46.61000061035156
2015-12-23,47.22999954223633
2015-12-24,47.439998626708984
2015-12-28,46.83000183105469
2015-12-29,47.290000915527344
2015-12-30,46.7599983215332
2015-12-31,47.130001068115234
2016-01-04,46.650001525878906
2016-01-05,46.119998931884766
2016-01-06,46.130001068115234
2016-01-07,45.34000015258789
2016-01-08,46.459999084472656
2016-01-11,46.779998779296875
2016-01-12,47.02000045776367
2016-01-13,44.939998626708984
2016-01-14,46.72999954223633
2016-01-15,45.880001068115234
2016-01-19,45.38999938964844
2016-01-20,44.02000045776367
2016-01-21,45.77000045776367
2016-01-22,46.939998626708984
2016-01-25,46.290000915527344
2016-01-26,47.5099983215332
2016-01-27,47.34000015258789
2016-01-28,46.290000915527344
2016-01-29,47.5
2016-02-01,47.90999984741211
2016-02-02,46.630001068115234
2016-02-03,48.2599983215332
2016-02-04,48.40999984741211
2016-02-05,46.25
2016-02-08,44.36000061035156
2016-02-09,42.650001525878906
2016-02-10,42.880001068115234
2016-02-11,43.56999969482422
2016-02-12,43.18000030517578
2016-02-16,44.91999816894531
2016-02-17,46.560001373291016
2016-02-18,45.790000915527344
2016-02-19,45.09000015258789
2016-02-22,46.869998931884766
2016-02-23,46.959999084472656
2016-02-24,47.47999954223633
2016-02-25,47.63999938964844
2016-02-26,48.29999923706055
2016-02-29,48.380001068115234
2016-03-01,50.25
2016-03-02,50.150001525878906
2016-03-03,51.47999954223633
2016-03-04,51.400001525878906
2016-03-07,52.0
2016-03-08,51.18000030517578
2016-03-09,52.099998474121094
2016-03-10,51.779998779296875
2016-03-11,53.119998931884766
2016-03-14,53.29999923706055
2016-03-15,52.59000015258789
2016-03-16,54.439998626708984
2016-03-17,54.25
2016-03-18,54.709999084472656
2016-03-21,54.02000045776367
2016-03-22,53.86000061035156
2016-03-23,53.5
2016-03-24,54.060001373291016
2016-03-28,54.61000061035156
2016-03-29,54.900001525878906
2016-03-30,54.61000061035156
2016-03-31,55.09000015258789
2016-04-01,55.16999816894531
2016-04-04,54.81999969482422
2016-04-05,54.2599983215332
2016-04-06,54.849998474121094
2016-04-07,53.58000183105469
2016-04-08,54.119998931884766
2016-04-11,53.52000045776367
2016-04-12,53.58000183105469
2016-04-13,54.290000915527344
2016-04-14,53.65999984741211
2016-04-15,53.88999938964844
2016-04-18,54.130001068115234
2016-04-19,54.959999084472656
2016-04-20,55.04999923706055
2016-04-21,55.81999969482422
2016-04-22,56.4900016784668
2016-04-25,56.290000915527344
2016-04-26,56.439998626708984
2016-04-27,56.38999938964844
2016-04-28,56.06999969482422
2016-04-29,55.90999984741211
2016-05-02,56.470001220703125
2016-05-03,55.65999984741211
2016-05-04,56.529998779296875
2016-05-05,57.470001220703125
2016-05-06,57.68000030517578
2016-05-09,56.0
2016-05-10,56.959999084472656
2016-05-11,55.79999923706055
2016-05-12,54.279998779296875
2016-05-13,53.5
2016-05-16,53.650001525878906
2016-05-17,53.459999084472656
2016-05-18,52.279998779296875
2016-05-19,52.099998474121094
2016-05-20,52.7400016784668
2016-05-23,52.439998626708984
2016-05-24,53.369998931884766
2016-05-25,53.93000030517578
2016-05-26,54.349998474121094
2016-05-27,54.869998931884766
2016-05-31,55.20000076293945
2016-06-01,55.16999816894531
2016-06-02,55.400001525878906
2016-06-03,54.38999938964844
2016-06-06,54.029998779296875
2016-06-07,53.5099983215332
2016-06-08,53.529998779296875
2016-06-09,53.0
2016-06-10,52.72999954223633
2016-06-13,52.11000061035156
2016-06-14,52.81999969482422
2016-06-15,53.20000076293945
2016-06-16,54.47999954223633
2016-06-17,53.72999954223633
2016-06-20,54.02000045776367
2016-06-21,53.439998626708984
2016-06-22,53.650001525878906
2016-06-23,53.689998626708984
2016-06-24,51.650001525878906
2016-06-27,50.88999938964844
2016-06-28,52.06999969482422
2016-06-29,52.7599983215332
2016-06-30,54.439998626708984
2016-07-01,54.86000061035156
2016-07-05,54.66999816894531
2016-07-06,55.09000015258789
2016-07-07,56.11000061035156
2016-07-08,57.08000183105469
2016-07-11,57.529998779296875
2016-07-12,57.939998626708984
2016-07-13,57.5099983215332
2016-07-14,57.939998626708984
2016-07-15,55.849998474121094
2016-07-18,54.689998626708984
2016-07-19,54.97999954223633
2016-07-20,54.529998779296875
2016-07-21,53.95000076293945
2016-07-22,55.150001525878906
2016-07-25,54.41999816894531
2016-07-26,54.439998626708984
2016-07-27,54.099998474121094
2016-07-28,54.209999084472656
2016-07-29,52.220001220703125
2016-08-01,52.099998474121094
2016-08-02,51.90999984741211
2016-08-03,52.09000015258789
2016-08-04,51.83000183105469
2016-08-05,52.16999816894531
2016-08-08,52.0099983215332
2016-08-09,51.849998474121094
2016-08-10,52.04999923706055
2016-08-11,52.91999816894531
2016-08-12,52.349998474121094
2016-08-15,52.279998779296875
2016-08-16,51.59000015258789
2016-08-17,51.75
2016-08-18,51.529998779296875
2016-08-19,51.849998474121094
2016-08-22,52.68000030517578
2016-08-23,52.79999923706055
2016-08-24,52.380001068115234
2016-08-25,51.689998626708984
2016-08-26,51.439998626708984
2016-08-29,51.459999084472656
2016-08-30,51.27000045776367
2016-08-31,51.029998779296875
2016-09-01,52.040000915527344
2016-09-02,52.220001220703125
2016-09-06,51.75
2016-09-07,52.619998931884766
2016-09-08,53.36000061035156
2016-09-09,51.90999984741211
2016-09-12,52.7599983215332
2016-09-13,51.84000015258789
2016-09-14,52.13999938964844
2016-09-15,52.2400016784668
2016-09-16,51.790000915527344
2016-09-19,51.08000183105469
2016-09-20,49.970001220703125
2016-09-21,50.08000183105469
2016-09-22,50.06999969482422
2016-09-23,50.90999984741211
2016-09-26,51.130001068115234
2016-09-27,52.04999923706055
2016-09-28,54.150001525878906
2016-09-29,54.56999969482422
2016-09-30,54.7400016784668
2016-10-03,54.93000030517578
2016-10-04,55.54999923706055
2016-10-05,56.40999984741211
2016-10-06,56.209999084472656
2016-10-07,55.220001220703125
2016-10-10,55.72999954223633
2016-10-11,55.45000076293945
2016-10-12,55.150001525878906
2016-10-13,55.2400016784668
2016-10-14,55.11000061035156
2016-10-17,55.38999938964844
2016-10-18,55.099998474121094
2016-10-19,55.529998779296875
2016-10-20,56.4900016784668
2016-10-21,57.65999984741211
2016-10-24,56.349998474121094
2016-10-25,55.9900016784668
2016-10-26,56.779998779296875
2016-10-27,56.40999984741211
2016-10-28,56.540000915527344
2016-10-31,56.619998931884766
2016-11-01,55.83000183105469
2016-11-02,55.150001525878906
2016-11-03,55.5
2016-11-04,57.0099983215332
2016-11-07,57.619998931884766
2016-11-08,57.72999954223633
2016-11-09,57.41999816894531
2016-11-10,57.150001525878906
2016-11-11,57.7400016784668
2016-11-14,58.86000061035156
2016-11-15,59.209999084472656
2016-11-16,59.380001068115234
2016-11-17,60.06999969482422
2016-11-18,60.0
2016-11-21,60.290000915527344
2016-11-22,60.93000030517578
2016-11-23,60.0099983215332
2016-11-25,60.91999816894531
2016-11-28,60.4900016784668
2016-11-29,61.0
2016-11-30,60.720001220703125
2016-12-01,60.56999969482422
2016-12-02,60.18000030517578
2016-12-05,60.9900016784668
2016-12-06,61.150001525878906
2016-12-07,63.439998626708984
2016-12-08,63.58000183105469
2016-12-09,62.560001373291016
2016-12-12,62.18000030517578
2016-12-13,63.060001373291016
2016-12-14,63.63999938964844
2016-12-15,64.02999877929688
2016-12-16,64.54000091552734
2016-12-19,64.33999633789062
2016-12-20,64.62000274658203
2016-12-21,64.62999725341797
2016-12-22,64.5
2016-12-23,64.66999816894531
2016-12-27,64.8499984741211
2016-12-28,64.5
2016-12-29,64.5
2016-12-30,63.619998931884766
2017-01-03,64.38999938964844
2017-01-04,65.73999786376953
2017-01-05,65.4800033569336
2017-01-06,64.29000091552734
2017-01-09,63.47999954223633
2017-01-10,62.689998626708984
2017-01-11,62.97999954223633
2017-01-12,62.36000061035156
2017-01-13,62.31999969482422
2017-01-17,62.2599983215332
