,J
2016-06-30,41.20035934448242
2016-07-01,41.142459869384766
2016-07-05,40.240867614746094
2016-07-06,41.17554473876953
2016-07-07,41.332706451416016
2016-07-08,42.39145660400391
2016-07-11,42.88774871826172
2016-07-12,43.91341400146485
2016-07-13,43.66526794433594
2016-07-14,43.70662689208984
2016-07-15,43.59082412719727
2016-07-18,43.52465438842773
2016-07-19,43.4171257019043
2016-07-20,44.10365676879883
2016-07-21,44.12847137451172
2016-07-22,43.90514373779297
2016-07-25,43.8306999206543
2016-07-26,44.558589935302734
2016-07-27,45.05488204956055
2016-07-28,44.73229217529297
2016-07-29,44.26908874511719
2016-08-01,44.2442741394043
2016-08-02,43.8306999206543
2016-08-03,43.83897018432617
2016-08-04,43.84724044799805
2016-08-05,44.46760559082031
2016-08-08,44.16156005859375
2016-08-09,45.96474838256836
2016-08-10,45.178955078125
2016-08-11,45.005252838134766
2016-08-12,44.26081848144531
2016-08-15,44.87290954589844
2016-08-16,44.40970230102539
2016-08-17,44.07057189941406
2016-08-18,44.64130783081055
2016-08-19,44.44279098510742
2016-08-22,44.74056243896485
2016-08-23,45.19549560546875
2016-08-24,44.75710678100586
2016-08-25,44.95562362670898
2016-08-26,45.06315231323242
2016-08-29,45.28648376464844
2016-08-30,44.23600387573242
2016-08-31,43.58255386352539
2016-09-01,43.0366325378418
2016-09-02,43.21860885620117
2016-09-06,42.7305908203125
2016-09-07,42.8298454284668
2016-09-08,42.65614318847656
2016-09-09,41.481590270996094
2016-09-12,41.86207962036133
2016-09-13,41.481590270996094
2016-09-14,40.77851486206055
2016-09-15,41.47332000732422
2016-09-16,41.08456039428711
2016-09-19,41.580848693847656
2016-09-20,41.28307723999024
2016-09-21,41.88689422607422
2016-09-22,42.35837173461914
2016-09-23,41.89516830444336
2016-09-26,41.94479751586914
2016-09-27,41.97788238525391
2016-09-28,43.18552017211914
2016-09-29,42.97873306274414
2016-09-30,42.780216217041016
2016-10-03,42.97873306274414
2016-10-04,42.44935989379883
2016-10-05,43.2847785949707
2016-10-06,43.33440780639648
2016-10-07,42.8712043762207
2016-10-10,42.87947463989258
2016-10-11,41.44023513793945
2016-10-12,41.65529251098633
2016-10-13,41.514678955078125
2016-10-14,41.39887619018555
2016-10-17,41.5891227722168
2016-10-18,41.83726501464844
2016-10-19,42.0026969909668
2016-10-20,41.91170883178711
2016-10-21,41.81245040893555
2016-10-24,42.16812515258789
2016-10-25,41.71319580078125
2016-10-26,42.07714080810547
2016-10-27,41.91997909545898
2016-10-28,42.26738357543945
2016-10-31,42.6644172668457
2016-11-01,41.97788238525391
2016-11-02,41.81245040893555
2016-11-03,42.2094841003418
2016-11-04,40.73715591430664
2016-11-07,40.87777328491211
2016-11-08,41.349246978759766
2016-11-09,45.418827056884766
2016-11-10,46.229434967041016
2016-11-11,46.006103515625
2016-11-14,48.495826721191406
2016-11-15,48.95903015136719
2016-11-16,48.495826721191406
2016-11-17,48.661258697509766
2016-11-18,48.09879684448242
2016-11-21,47.97472381591797
2016-11-22,49.06656265258789
2016-11-23,51.02690887451172
2016-11-25,51.4239387512207
2016-11-28,51.2171516418457
2016-11-29,51.05172348022461
2016-11-30,51.291595458984375
2016-12-01,50.97727966308594
2016-12-02,50.17494201660156
2016-12-05,49.50495147705078
2016-12-06,50.03432846069336
2016-12-07,49.87716674804688
2016-12-08,50.36518859863281
2016-12-09,50.92765045166016
2016-12-12,50.93592071533203
2016-12-13,50.12531280517578
2016-12-14,49.58766555786133
2016-12-15,49.099647521972656
2016-12-16,48.62817001342773
2016-12-19,48.58681488037109
2016-12-20,49.15754699707031
2016-12-21,48.35520935058594
2016-12-22,48.26422500610352
