,EVRG
2018-08-15,57.68999862670898
2018-08-16,57.68000030517578
2018-08-17,57.869998931884766
2018-08-20,57.84999847412109
2018-08-21,57.40999984741211
2018-08-22,56.9900016784668
2018-08-23,56.93999862670898
2018-08-24,57.45000076293945
2018-08-27,56.959999084472656
2018-08-28,56.900001525878906
2018-08-29,57.11000061035156
2018-08-30,57.34999847412109
2018-08-31,57.04999923706055
2018-09-04,57.5099983215332
2018-09-05,58.52000045776367
2018-09-06,58.95000076293945
2018-09-07,58.29999923706055
2018-09-10,58.47999954223633
2018-09-11,58.40999984741211
2018-09-12,58.150001525878906
2018-09-13,58.09999847412109
2018-09-14,57.7599983215332
2018-09-17,57.70000076293945
2018-09-18,57.47999954223633
2018-09-19,55.90999984741211
2018-09-20,55.77000045776367
2018-09-21,55.869998931884766
2018-09-24,55.650001525878906
2018-09-25,55.02000045776367
2018-09-26,54.22999954223633
2018-09-27,54.310001373291016
2018-09-28,54.91999816894531
2018-10-01,55.130001068115234
2018-10-02,55.43999862670898
2018-10-03,54.88999938964844
2018-10-04,55.25
2018-10-05,55.720001220703125
2018-10-08,56.119998931884766
2018-10-09,56.380001068115234
2018-10-10,56.11000061035156
2018-10-11,55.540000915527344
2018-10-12,55.619998931884766
2018-10-15,55.72999954223633
2018-10-16,56.13999938964844
2018-10-17,56.0099983215332
2018-10-18,56.2599983215332
2018-10-19,57.02000045776367
2018-10-22,56.810001373291016
2018-10-23,56.43000030517578
2018-10-24,57.310001373291016
2018-10-25,56.75
2018-10-26,56.119998931884766
2018-10-29,56.56999969482422
2018-10-30,56.27999877929688
2018-10-31,55.9900016784668
2018-11-01,56.11000061035156
2018-11-02,55.83000183105469
2018-11-05,56.34000015258789
2018-11-06,57.02000045776367
2018-11-07,57.18000030517578
2018-11-08,57.13999938964844
2018-11-09,58.34999847412109
2018-11-12,59.310001373291016
2018-11-13,59.72999954223633
2018-11-14,59.93999862670898
2018-11-15,60.09000015258789
2018-11-16,60.119998931884766
2018-11-19,59.84999847412109
2018-11-20,59.70000076293945
2018-11-21,58.650001525878906
2018-11-23,58.72999954223633
2018-11-26,59.52999877929688
2018-11-27,59.97999954223633
2018-11-28,59.130001068115234
2018-11-29,58.81999969482422
2018-11-30,59.369998931884766
2018-12-03,59.709999084472656
2018-12-04,60.040000915527344
2018-12-06,60.77000045776367
2018-12-07,60.310001373291016
2018-12-10,60.5099983215332
2018-12-11,60.630001068115234
2018-12-12,59.83000183105469
2018-12-13,60.22999954223633
2018-12-14,60.540000915527344
2018-12-17,58.34999847412109
2018-12-18,58.25
2018-12-19,58.08000183105469
2018-12-20,58.0099983215332
2018-12-21,58.27999877929688
2018-12-24,55.90999984741211
2018-12-26,56.58000183105469
2018-12-27,56.72999954223633
2018-12-28,56.52999877929688
2018-12-31,56.77000045776367
2019-01-02,55.880001068115234
2019-01-03,55.66999816894531
