,DPZ
2020-07-09,385.5
2020-07-10,398.30999755859375
2020-07-13,401.3800048828125
2020-07-14,402.2999877929688
2020-07-15,413.6799926757813
2020-07-16,407.5199890136719
2020-07-17,390.2200012207031
2020-07-20,391.4299926757813
2020-07-21,387.80999755859375
2020-07-22,389.1199951171875
2020-07-23,381.3200073242188
2020-07-24,386.9100036621094
2020-07-27,389.6099853515625
2020-07-28,385.4200134277344
2020-07-29,385.1499938964844
2020-07-30,384.5299987792969
2020-07-31,386.6099853515625
2020-08-03,387.0299987792969
2020-08-04,391.8599853515625
2020-08-05,393.4400024414063
2020-08-06,392.5499877929688
2020-08-07,389.1199951171875
2020-08-10,385.9299926757813
2020-08-11,388.6499938964844
2020-08-12,392.6700134277344
2020-08-13,399.0400085449219
2020-08-14,398.989990234375
2020-08-17,409.3900146484375
2020-08-18,411.4500122070313
2020-08-19,414.2300109863281
2020-08-20,418.3299865722656
2020-08-21,419.7000122070313
2020-08-24,418.989990234375
2020-08-25,419.3599853515625
2020-08-26,418.0899963378906
2020-08-27,416.3200073242188
2020-08-28,415.9800109863281
2020-08-31,408.9599914550781
2020-09-01,410.1499938964844
2020-09-02,403.6000061035156
2020-09-03,397.5
2020-09-04,381.80999755859375
2020-09-08,376.3200073242188
2020-09-09,382.0700073242188
2020-09-10,388.9700012207031
2020-09-11,394.6799926757813
2020-09-14,388.5199890136719
2020-09-15,389.5199890136719
2020-09-16,385.9800109863281
2020-09-17,395.0700073242188
2020-09-18,397.5899963378906
2020-09-21,404.9700012207031
2020-09-22,413.75
2020-09-23,413.5400085449219
2020-09-24,413.2999877929688
2020-09-25,418.0799865722656
2020-09-28,421.5400085449219
2020-09-29,423.4599914550781
2020-09-30,425.2799987792969
2020-10-01,426.989990234375
2020-10-02,433.7799987792969
2020-10-05,424.9400024414063
2020-10-06,427.5299987792969
2020-10-07,431.0499877929688
2020-10-08,401.010009765625
2020-10-09,390.9500122070313
2020-10-12,392.5799865722656
2020-10-13,407.7200012207031
2020-10-14,403.2099914550781
2020-10-15,401.8399963378906
2020-10-16,399.4500122070313
2020-10-19,394.8900146484375
2020-10-20,394.4100036621094
2020-10-21,389.9500122070313
2020-10-22,391.739990234375
2020-10-23,394.1000061035156
2020-10-26,394.6099853515625
2020-10-27,397.0299987792969
2020-10-28,384.0
2020-10-29,386.7200012207031
2020-10-30,378.3200073242188
2020-11-02,376.0299987792969
2020-11-03,383.239990234375
2020-11-04,392.5199890136719
2020-11-05,396.2200012207031
2020-11-06,399.8500061035156
2020-11-09,376.5499877929688
2020-11-10,381.6700134277344
2020-11-11,394.6700134277344
2020-11-12,390.5499877929688
2020-11-13,389.6000061035156
2020-11-16,384.8200073242188
2020-11-17,384.4700012207031
2020-11-18,382.4599914550781
2020-11-19,385.0400085449219
2020-11-20,389.55999755859375
2020-11-23,387.2099914550781
2020-11-24,383.1300048828125
2020-11-25,383.4400024414063
2020-11-27,390.4700012207031
2020-11-30,392.5700073242188
2020-12-01,391.75
2020-12-02,387.8299865722656
2020-12-03,383.3800048828125
2020-12-04,382.989990234375
2020-12-07,384.5499877929688
2020-12-08,386.6900024414063
2020-12-09,384.9700012207031
2020-12-10,386.0499877929688
2020-12-11,383.3699951171875
2020-12-14,383.2300109863281
2020-12-15,384.6799926757813
2020-12-16,382.5199890136719
2020-12-17,395.1600036621094
2020-12-18,396.7099914550781
2020-12-21,397.1799926757813
2020-12-22,398.7200012207031
2020-12-23,403.75
2020-12-24,396.7300109863281
2020-12-28,400.1799926757813
2020-12-29,384.3599853515625
2020-12-30,384.6199951171875
2020-12-31,383.4599914550781
2021-01-04,379.5
2021-01-05,381.3399963378906
2021-01-06,384.8699951171875
2021-01-07,383.1900024414063
2021-01-08,388.8299865722656
2021-01-11,390.5400085449219
2021-01-12,385.5
2021-01-13,381.8599853515625
2021-01-14,373.7999877929688
2021-01-15,375.2300109863281
2021-01-19,372.6499938964844
2021-01-20,379.0
2021-01-21,381.1199951171875
2021-01-22,380.3699951171875
2021-01-25,378.489990234375
2021-01-26,378.8399963378906
2021-01-27,376.9100036621094
2021-01-28,371.6000061035156
2021-01-29,370.760009765625
2021-02-01,371.4200134277344
2021-02-02,377.2200012207031
2021-02-03,373.3299865722656
2021-02-04,373.0
2021-02-05,377.2300109863281
2021-02-08,380.05999755859375
2021-02-09,382.9599914550781
2021-02-10,382.05999755859375
2021-02-11,385.2000122070313
2021-02-12,385.1700134277344
2021-02-16,377.9200134277344
2021-02-17,376.489990234375
2021-02-18,377.1400146484375
2021-02-19,371.4599914550781
2021-02-22,365.1600036621094
2021-02-23,366.739990234375
2021-02-24,364.5899963378906
2021-02-25,339.0
2021-02-26,346.510009765625
2021-03-01,345.0599975585937
2021-03-02,343.010009765625
2021-03-03,332.7300109863281
2021-03-04,330.5299987792969
2021-03-05,330.239990234375
2021-03-08,333.510009765625
2021-03-09,354.0799865722656
2021-03-10,357.92999267578125
2021-03-11,358.3699951171875
2021-03-12,361.1099853515625
2021-03-15,362.9700012207031
2021-03-16,366.010009765625
2021-03-17,363.25
