,LII
2016-03-10,129.64999389648438
2016-03-11,130.97999572753906
2016-03-14,132.67999267578125
2016-03-15,132.8800048828125
2016-03-16,132.3699951171875
2016-03-17,132.30999755859375
2016-03-18,132.77999877929688
2016-03-21,132.67999267578125
2016-03-22,132.7100067138672
2016-03-23,131.9600067138672
2016-03-24,132.89999389648438
2016-03-28,133.75999450683594
2016-03-29,134.9600067138672
2016-03-30,135.35000610351562
2016-03-31,135.19000244140625
2016-04-01,137.4600067138672
2016-04-04,136.92999267578125
2016-04-05,137.0399932861328
2016-04-06,138.22000122070312
2016-04-07,138.1999969482422
2016-04-08,139.58999633789062
2016-04-11,139.32000732421875
2016-04-12,140.27000427246094
2016-04-13,142.0
2016-04-14,140.5399932861328
2016-04-15,140.83999633789062
2016-04-18,137.1699981689453
2016-04-19,139.10000610351562
2016-04-20,137.66000366210938
2016-04-21,137.02999877929688
2016-04-22,137.6300048828125
2016-04-25,136.89999389648438
2016-04-26,137.3699951171875
2016-04-27,137.55999755859375
2016-04-28,135.1300048828125
2016-04-29,134.9499969482422
2016-05-02,135.75999450683594
2016-05-03,134.02999877929688
2016-05-04,135.07000732421875
2016-05-05,135.4199981689453
2016-05-06,136.77999877929688
2016-05-09,137.14999389648438
2016-05-10,138.7899932861328
2016-05-11,136.52999877929688
2016-05-12,138.25999450683594
2016-05-13,137.50999450683594
2016-05-16,137.44000244140625
2016-05-17,135.8800048828125
2016-05-18,134.39999389648438
2016-05-19,133.0800018310547
2016-05-20,133.55999755859375
2016-05-23,133.1999969482422
2016-05-24,135.52000427246094
2016-05-25,136.22999572753906
2016-05-26,136.4600067138672
2016-05-27,136.8800048828125
2016-05-31,137.35000610351562
2016-06-01,137.8800048828125
2016-06-02,137.91000366210938
2016-06-03,137.7899932861328
2016-06-06,138.22999572753906
2016-06-07,139.24000549316406
2016-06-08,141.10000610351562
2016-06-09,140.8000030517578
2016-06-10,138.02999877929688
2016-06-13,134.7899932861328
2016-06-14,135.4199981689453
2016-06-15,135.47999572753906
2016-06-16,134.89999389648438
2016-06-17,135.1699981689453
2016-06-20,138.7899932861328
2016-06-21,138.75
2016-06-22,138.5500030517578
2016-06-23,141.83999633789062
2016-06-24,140.25999450683594
