,TPL
2019-03-20,85.33999633789062
2019-03-21,83.0
2019-03-22,81.11111450195312
2019-03-25,82.77777862548828
2019-03-26,85.55889129638672
2019-03-27,86.43888854980469
2019-03-28,85.68888854980469
2019-03-29,85.96111297607422
2019-04-01,88.68000030517578
2019-04-02,88.58333587646484
2019-04-03,86.90555572509766
2019-04-04,86.42333221435547
2019-04-05,90.11111450195312
2019-04-08,90.04222106933594
2019-04-09,94.22222137451172
2019-04-10,98.45555877685548
2019-04-11,97.64778137207033
2019-04-12,100.11555480957033
2019-04-15,99.34666442871094
2019-04-16,98.0
2019-04-17,99.81222534179688
2019-04-18,99.77333068847656
2019-04-22,99.88888549804688
2019-04-23,99.57666778564452
2019-04-24,99.54777526855467
2019-04-25,98.6177749633789
2019-04-26,93.72777557373048
2019-04-29,91.33333587646484
2019-04-30,89.14888763427734
2019-05-01,89.06888580322266
2019-05-02,89.69999694824219
2019-05-03,89.6977767944336
2019-05-06,88.7933349609375
2019-05-07,87.80777740478516
2019-05-08,88.77222442626953
2019-05-09,87.56222534179688
2019-05-10,88.94222259521484
2019-05-13,87.2844467163086
2019-05-14,91.56222534179688
2019-05-15,93.59444427490234
2019-05-16,94.2588882446289
2019-05-17,96.2677764892578
2019-05-20,93.945556640625
2019-05-21,94.46666717529295
2019-05-22,92.12999725341795
2019-05-23,87.29222106933594
2019-05-24,87.06222534179688
2019-05-28,89.08777618408203
2019-05-29,89.99222564697266
2019-05-30,86.29000091552734
2019-05-31,81.88999938964844
2019-06-03,80.65777587890625
2019-06-04,83.66666412353516
2019-06-05,81.91777801513672
2019-06-06,82.99666595458984
2019-06-07,84.03333282470703
2019-06-10,83.44000244140625
2019-06-11,83.4566650390625
2019-06-12,80.1322250366211
2019-06-13,80.8822250366211
2019-06-14,82.22222137451172
2019-06-17,80.33333587646484
2019-06-18,83.55555725097656
2019-06-19,85.58555603027344
2019-06-20,87.87777709960938
2019-06-21,85.11555480957031
2019-06-24,88.38111114501953
2019-06-25,88.0522232055664
2019-06-26,88.804443359375
2019-06-27,87.21666717529297
2019-06-28,87.4433364868164
2019-07-01,90.25555419921876
2019-07-02,86.73999786376953
2019-07-03,87.83222198486328
2019-07-05,88.88888549804688
2019-07-08,89.02222442626953
2019-07-09,87.34111022949219
2019-07-10,88.89444732666016
2019-07-11,88.11111450195312
2019-07-12,87.804443359375
2019-07-15,87.33333587646484
2019-07-16,86.09222412109375
2019-07-17,85.04777526855469
2019-07-18,84.73555755615234
2019-07-19,84.61111450195312
2019-07-22,84.32666778564453
2019-07-23,83.77777862548828
2019-07-24,82.9111099243164
2019-07-25,83.08777618408203
2019-07-26,82.44999694824219
2019-07-29,83.16666412353516
2019-07-30,84.44444274902344
2019-07-31,88.5777816772461
2019-08-01,80.83333587646484
2019-08-02,79.11111450195312
2019-08-05,77.27333068847656
2019-08-06,75.554443359375
2019-08-07,72.22222137451172
2019-08-08,75.0
2019-08-09,75.57221984863281
2019-08-12,73.3277816772461
2019-08-13,73.3499984741211
2019-08-14,70.9111099243164
2019-08-15,73.08777618408203
2019-08-16,74.57444763183594
2019-08-19,73.6722183227539
2019-08-20,72.50555419921875
2019-08-21,74.59889221191406
2019-08-22,73.3499984741211
2019-08-23,70.4044418334961
2019-08-26,70.69444274902344
2019-08-27,69.94999694824219
2019-08-28,71.86333465576172
2019-08-29,72.9433364868164
2019-08-30,72.80110931396484
2019-09-03,74.25111389160156
2019-09-04,75.21333312988281
2019-09-05,78.49444580078125
2019-09-06,75.44444274902344
2019-09-09,74.6722183227539
2019-09-10,72.33333587646484
2019-09-11,71.9911117553711
2019-09-12,73.21888732910156
2019-09-13,73.18444061279297
2019-09-16,78.91222381591797
2019-09-17,73.9800033569336
2019-09-18,74.11111450195312
2019-09-19,72.23332977294922
