,LHX
2018-05-21,154.47000122070312
2018-05-22,150.72999572753906
2018-05-23,153.92999267578125
2018-05-24,153.91000366210938
2018-05-25,152.89999389648438
2018-05-29,150.86000061035156
2018-05-30,152.75
2018-05-31,150.47000122070312
2018-06-01,152.69000244140625
2018-06-04,152.89999389648438
2018-06-05,152.9499969482422
2018-06-06,153.47999572753906
2018-06-07,152.97999572753906
2018-06-08,154.64999389648438
2018-06-11,154.22999572753906
2018-06-12,152.36000061035156
2018-06-13,152.24000549316406
2018-06-14,149.9499969482422
2018-06-15,149.22999572753906
2018-06-18,149.27000427246094
2018-06-19,145.4499969482422
2018-06-20,145.22999572753906
2018-06-21,143.14999389648438
2018-06-22,143.6999969482422
2018-06-25,144.1199951171875
2018-06-26,144.2899932861328
2018-06-27,143.82000732421875
2018-06-28,144.75999450683594
2018-06-29,144.5399932861328
2018-07-02,145.97000122070312
2018-07-03,145.75999450683594
2018-07-05,143.97000122070312
2018-07-06,144.3000030517578
2018-07-09,145.9499969482422
2018-07-10,146.44000244140625
2018-07-11,144.77000427246094
2018-07-12,147.5399932861328
2018-07-13,148.88999938964844
2018-07-16,149.57000732421875
2018-07-17,151.63999938964844
2018-07-18,152.14999389648438
2018-07-19,150.52999877929688
2018-07-20,150.89999389648438
2018-07-23,150.17999267578125
2018-07-24,150.97999572753906
2018-07-25,151.36000061035156
2018-07-26,153.25
2018-07-27,153.8800048828125
2018-07-30,150.38999938964844
2018-07-31,164.9499969482422
2018-08-01,163.92999267578125
2018-08-02,163.44000244140625
2018-08-03,162.3800048828125
2018-08-06,162.63999938964844
2018-08-07,164.1300048828125
2018-08-08,164.47999572753906
2018-08-09,164.57000732421875
2018-08-10,163.25999450683594
2018-08-13,162.5500030517578
2018-08-14,164.89999389648438
2018-08-15,162.8000030517578
2018-08-16,163.86000061035156
2018-08-17,164.66000366210938
2018-08-20,165.2100067138672
2018-08-21,166.14999389648438
2018-08-22,163.6999969482422
2018-08-23,162.0800018310547
2018-08-24,163.22999572753906
2018-08-27,164.47999572753906
2018-08-28,164.66000366210938
2018-08-29,164.66000366210938
2018-08-30,162.47000122070312
2018-08-31,162.50999450683594
2018-09-04,162.3699951171875
2018-09-05,162.67999267578125
2018-09-06,161.52000427246094
2018-09-07,160.17999267578125
2018-09-10,161.17999267578125
2018-09-11,161.32000732421875
2018-09-12,161.67999267578125
2018-09-13,163.47000122070312
2018-09-14,164.72000122070312
2018-09-17,166.4499969482422
2018-09-18,168.02999877929688
2018-09-19,165.52000427246094
2018-09-20,162.66000366210938
2018-09-21,164.27999877929688
2018-09-24,162.25999450683594
2018-09-25,164.80999755859375
2018-09-26,165.25
2018-09-27,167.1999969482422
2018-09-28,169.2100067138672
2018-10-01,168.57000732421875
2018-10-02,168.5
2018-10-03,169.08999633789062
2018-10-04,168.6199951171875
2018-10-05,167.55999755859375
2018-10-08,167.33999633789062
2018-10-09,166.2899932861328
2018-10-10,160.64999389648438
2018-10-11,154.22000122070312
2018-10-12,154.8699951171875
2018-10-15,173.25
2018-10-16,173.52999877929688
2018-10-17,171.57000732421875
2018-10-18,170.6999969482422
2018-10-19,168.92999267578125
2018-10-22,171.69000244140625
2018-10-23,169.11000061035156
2018-10-24,162.1999969482422
2018-10-25,161.02999877929688
2018-10-26,160.83999633789062
2018-10-29,146.69000244140625
2018-10-30,150.85000610351562
