,CPT
2020-11-03,98.37999725341795
2020-11-04,97.37999725341795
2020-11-05,97.45999908447266
2020-11-06,95.5999984741211
2020-11-09,98.5999984741211
2020-11-10,101.4000015258789
2020-11-11,100.0
2020-11-12,99.91000366210938
2020-11-13,100.30999755859376
2020-11-16,101.76000213623048
2020-11-17,101.80999755859376
2020-11-18,97.91999816894533
2020-11-19,97.8499984741211
2020-11-20,99.6999969482422
2020-11-23,98.63999938964844
2020-11-24,100.19000244140624
2020-11-25,98.62000274658205
2020-11-27,97.73999786376952
2020-11-30,98.83000183105467
2020-12-01,98.72000122070312
2020-12-02,99.20999908447266
2020-12-03,100.06999969482422
2020-12-04,100.73999786376952
2020-12-07,101.0999984741211
2020-12-08,99.41000366210938
2020-12-09,98.30999755859376
2020-12-10,95.88999938964844
2020-12-11,95.95999908447266
2020-12-14,96.5
2020-12-15,98.11000061035156
2020-12-16,98.5999984741211
2020-12-17,99.7699966430664
2020-12-18,96.4800033569336
2020-12-21,97.1999969482422
2020-12-22,98.0999984741211
2020-12-23,97.3499984741211
2020-12-24,98.6999969482422
2020-12-28,99.0999984741211
2020-12-29,98.52999877929688
2020-12-30,98.7300033569336
2020-12-31,99.91999816894533
2021-01-04,96.3000030517578
2021-01-05,95.54000091552734
2021-01-06,98.04000091552734
2021-01-07,96.79000091552734
2021-01-08,96.79000091552734
2021-01-11,96.01000213623048
2021-01-12,96.5999984741211
2021-01-13,97.08000183105467
2021-01-14,99.18000030517578
2021-01-15,100.58000183105467
2021-01-19,99.81999969482422
2021-01-20,102.63999938964844
2021-01-21,102.56999969482422
2021-01-22,102.5500030517578
2021-01-25,102.70999908447266
2021-01-26,103.5999984741211
2021-01-27,101.5999984741211
2021-01-28,102.77999877929688
2021-01-29,102.1500015258789
2021-02-01,104.88999938964844
2021-02-02,104.26000213623048
2021-02-03,103.73999786376952
2021-02-04,103.62000274658205
2021-02-05,101.8000030517578
2021-02-08,101.95999908447266
2021-02-09,101.13999938964844
2021-02-10,103.41999816894533
2021-02-11,106.0
2021-02-12,106.54000091552734
2021-02-16,106.4000015258789
2021-02-17,105.05999755859376
2021-02-18,103.8000030517578
2021-02-19,105.12999725341795
2021-02-22,104.94000244140624
2021-02-23,107.58999633789062
2021-02-24,106.76000213623048
2021-02-25,105.45999908447266
2021-02-26,104.1500015258789
2021-03-01,104.01000213623048
2021-03-02,103.77999877929688
2021-03-03,103.2300033569336
2021-03-04,100.43000030517578
2021-03-05,102.69000244140624
2021-03-08,103.0999984741211
2021-03-09,102.48999786376952
2021-03-10,103.81999969482422
2021-03-11,104.0500030517578
2021-03-12,106.61000061035156
2021-03-15,110.29000091552734
2021-03-16,109.6999969482422
2021-03-17,109.4499969482422
2021-03-18,110.72000122070312
2021-03-19,107.0199966430664
2021-03-22,108.19000244140624
2021-03-23,108.91000366210938
2021-03-24,109.61000061035156
2021-03-25,110.08999633789062
2021-03-26,113.0500030517578
2021-03-29,111.29000091552734
2021-03-30,111.08000183105467
2021-03-31,109.91000366210938
2021-04-01,111.26000213623048
2021-04-05,110.79000091552734
2021-04-06,111.3000030517578
2021-04-07,112.97000122070312
2021-04-08,111.62000274658205
2021-04-09,112.33000183105467
2021-04-12,112.22000122070312
2021-04-13,113.69000244140624
2021-04-14,113.56999969482422
2021-04-15,115.12999725341795
2021-04-16,116.0500030517578
2021-04-19,117.12000274658205
2021-04-20,119.48999786376952
2021-04-21,120.6500015258789
2021-04-22,119.7699966430664
2021-04-23,118.70999908447266
2021-04-26,119.41000366210938
2021-04-27,119.61000061035156
2021-04-28,118.7699966430664
2021-04-29,120.0500030517578
2021-04-30,120.4800033569336
2021-05-03,119.98999786376952
2021-05-04,119.30999755859376
2021-05-05,118.0199966430664
2021-05-06,120.95999908447266
2021-05-07,122.69000244140624
2021-05-10,123.2699966430664
2021-05-11,122.58000183105467
2021-05-12,119.66999816894533
2021-05-13,122.0
2021-05-14,122.2699966430664
2021-05-17,123.0999984741211
2021-05-18,122.52999877929688
2021-05-19,121.77999877929688
2021-05-20,123.06999969482422
2021-05-21,122.91000366210938
2021-05-24,124.62999725341795
2021-05-25,125.3000030517578
2021-05-26,125.76000213623048
2021-05-27,124.58000183105467
2021-05-28,125.37999725341795
2021-06-01,127.7300033569336
2021-06-02,129.89999389648438
2021-06-03,129.14999389648438
2021-06-04,129.17999267578125
2021-06-07,129.9600067138672
2021-06-08,132.02999877929688
2021-06-09,132.8300018310547
2021-06-10,135.0399932861328
2021-06-11,135.25999450683594
2021-06-14,135.19000244140625
2021-06-15,134.44000244140625
2021-06-16,133.6699981689453
2021-06-17,134.5
2021-06-18,132.61000061035156
2021-06-21,135.44000244140625
2021-06-22,134.97999572753906
2021-06-23,135.2899932861328
2021-06-24,134.97999572753906
2021-06-25,135.22000122070312
2021-06-28,134.77999877929688
2021-06-29,133.9499969482422
2021-06-30,132.6699981689453
2021-07-01,133.49000549316406
2021-07-02,134.22999572753906
2021-07-06,136.82000732421875
2021-07-07,137.36000061035156
2021-07-08,138.8300018310547
2021-07-09,141.17999267578125
2021-07-12,142.14999389648438
2021-07-13,140.91000366210938
2021-07-14,141.97999572753906
2021-07-15,143.0399932861328
2021-07-16,144.02000427246094
2021-07-19,142.9199981689453
2021-07-20,146.7899932861328
2021-07-21,146.39999389648438
2021-07-22,145.9499969482422
2021-07-23,147.22999572753906
2021-07-26,146.32000732421875
2021-07-27,146.83999633789062
2021-07-28,146.0800018310547
2021-07-29,148.75
2021-07-30,149.38999938964844
2021-08-02,150.1199951171875
2021-08-03,148.3699951171875
2021-08-04,147.99000549316406
2021-08-05,149.07000732421875
2021-08-06,147.8699951171875
2021-08-09,146.05999755859375
2021-08-10,143.13999938964844
2021-08-11,144.2899932861328
2021-08-12,145.02000427246094
2021-08-13,146.0
2021-08-16,146.8800048828125
2021-08-17,146.6699981689453
2021-08-18,146.25
2021-08-19,146.9600067138672
2021-08-20,146.6999969482422
2021-08-23,144.58999633789062
2021-08-24,142.5
2021-08-25,144.22000122070312
2021-08-26,145.7100067138672
2021-08-27,146.75999450683594
2021-08-30,148.7899932861328
2021-08-31,150.0399932861328
2021-09-01,152.50999450683594
2021-09-02,153.0
2021-09-03,153.44000244140625
2021-09-07,150.47000122070312
2021-09-08,153.13999938964844
2021-09-09,150.52000427246094
2021-09-10,149.8300018310547
2021-09-13,150.38999938964844
2021-09-14,151.1300048828125
2021-09-15,151.11000061035156
2021-09-16,150.5500030517578
2021-09-17,148.35000610351562
2021-09-20,148.69000244140625
2021-09-21,150.14999389648438
2021-09-22,150.75
2021-09-23,151.10000610351562
2021-09-24,149.75
2021-09-27,147.22999572753906
2021-09-28,148.0800018310547
2021-09-29,150.08999633789062
2021-09-30,147.47000122070312
2021-10-01,149.5399932861328
2021-10-04,151.3300018310547
2021-10-05,151.39999389648438
2021-10-06,152.80999755859375
2021-10-07,152.10000610351562
2021-10-08,150.80999755859375
2021-10-11,151.07000732421875
2021-10-12,154.19000244140625
2021-10-13,156.75
2021-10-14,158.47999572753906
2021-10-15,156.91000366210938
2021-10-18,158.92999267578125
2021-10-19,156.0
2021-10-20,157.97000122070312
2021-10-21,158.3300018310547
2021-10-22,159.0500030517578
2021-10-25,157.89999389648438
2021-10-26,159.27999877929688
2021-10-27,159.44000244140625
2021-10-28,162.85000610351562
2021-10-29,163.10000610351562
2021-11-01,161.5399932861328
2021-11-02,161.57000732421875
2021-11-03,163.32000732421875
2021-11-04,160.52000427246094
2021-11-05,161.3800048828125
2021-11-08,161.86000061035156
2021-11-09,162.9499969482422
2021-11-10,164.60000610351562
2021-11-11,166.3699951171875
2021-11-12,165.64999389648438
2021-11-15,167.92999267578125
2021-11-16,165.05999755859375
2021-11-17,166.5
2021-11-18,165.75999450683594
2021-11-19,166.25
2021-11-22,166.47000122070312
2021-11-23,167.5800018310547
2021-11-24,170.69000244140625
2021-11-26,166.97999572753906
2021-11-29,168.85000610351562
2021-11-30,165.2100067138672
2021-12-01,162.5500030517578
2021-12-02,168.27000427246094
2021-12-03,167.27999877929688
2021-12-06,169.83999633789062
2021-12-07,171.33999633789062
2021-12-08,173.6199951171875
2021-12-09,171.63999938964844
2021-12-10,173.69000244140625
2021-12-13,175.75
2021-12-14,173.47000122070312
2021-12-15,176.88999938964844
2021-12-16,174.49000549316406
2021-12-17,171.61000061035156
2021-12-20,171.9499969482422
2021-12-21,172.5
2021-12-22,174.4600067138672
2021-12-23,173.49000549316406
2021-12-27,176.55999755859375
2021-12-28,176.7899932861328
2021-12-29,177.66000366210938
2021-12-30,178.17999267578125
2021-12-31,178.67999267578125
2022-01-03,176.4499969482422
2022-01-04,176.32000732421875
2022-01-05,172.8699951171875
2022-01-06,170.9600067138672
2022-01-07,166.88999938964844
2022-01-10,165.49000549316406
2022-01-11,165.66000366210938
2022-01-12,168.74000549316406
2022-01-13,168.67999267578125
2022-01-14,165.58999633789062
2022-01-18,164.6699981689453
2022-01-19,162.5
2022-01-20,158.5
2022-01-21,157.67999267578125
2022-01-24,157.99000549316406
2022-01-25,155.75999450683594
2022-01-26,154.4600067138672
2022-01-27,150.50999450683594
2022-01-28,158.3300018310547
2022-01-31,160.08999633789062
2022-02-01,159.5
2022-02-02,163.1199951171875
2022-02-03,165.2100067138672
2022-02-04,166.24000549316406
2022-02-07,162.1999969482422
2022-02-08,162.2100067138672
2022-02-09,167.83999633789062
2022-02-10,164.16000366210938
2022-02-11,165.94000244140625
2022-02-14,162.02999877929688
2022-02-15,162.6300048828125
2022-02-16,163.77000427246094
2022-02-17,161.8300018310547
2022-02-18,161.89999389648438
2022-02-22,163.4199981689453
2022-02-23,162.1199951171875
2022-02-24,162.94000244140625
2022-02-25,168.08999633789062
2022-02-28,165.11000061035156
2022-03-01,163.8000030517578
2022-03-02,167.11000061035156
2022-03-03,168.08999633789062
2022-03-04,172.3699951171875
2022-03-07,170.17999267578125
