,NDSN
2020-02-07,175.1999969482422
2020-02-10,175.6199951171875
2020-02-11,176.97000122070312
2020-02-12,178.50999450683594
2020-02-13,177.6199951171875
2020-02-14,177.49000549316406
2020-02-18,172.5800018310547
2020-02-19,171.49000549316406
2020-02-20,172.10000610351562
2020-02-21,170.1999969482422
2020-02-24,164.5800018310547
2020-02-25,157.16000366210938
2020-02-26,155.41000366210938
2020-02-27,149.4600067138672
2020-02-28,145.3000030517578
2020-03-02,147.91000366210938
2020-03-03,144.8000030517578
2020-03-04,148.10000610351562
2020-03-05,143.07000732421875
2020-03-06,143.14999389648438
2020-03-09,131.88999938964844
2020-03-10,140.72000122070312
2020-03-11,133.8000030517578
2020-03-12,116.63999938964844
2020-03-13,125.7300033569336
2020-03-16,102.70999908447266
2020-03-17,110.06999969482422
2020-03-18,104.16999816894533
2020-03-19,114.58000183105467
2020-03-20,107.23999786376952
2020-03-23,99.45999908447266
2020-03-24,119.0500030517578
2020-03-25,119.69000244140624
2020-03-26,132.97999572753906
2020-03-27,131.88999938964844
2020-03-30,138.58999633789062
2020-03-31,135.07000732421875
2020-04-01,125.01000213623048
2020-04-02,127.9000015258789
2020-04-03,127.43000030517578
2020-04-06,139.69000244140625
2020-04-07,142.66000366210938
2020-04-08,147.33999633789062
2020-04-09,152.60000610351562
2020-04-13,141.41000366210938
2020-04-14,144.8000030517578
2020-04-15,141.0800018310547
2020-04-16,146.27999877929688
2020-04-17,152.47999572753906
2020-04-20,151.8699951171875
2020-04-21,151.22999572753906
2020-04-22,152.8300018310547
2020-04-23,155.41000366210938
2020-04-24,156.4600067138672
2020-04-27,161.75999450683594
2020-04-28,159.9499969482422
2020-04-29,165.10000610351562
2020-04-30,160.91000366210938
2020-05-01,157.85000610351562
2020-05-04,156.9199981689453
2020-05-05,157.8699951171875
2020-05-06,160.19000244140625
2020-05-07,160.25
2020-05-08,166.32000732421875
2020-05-11,167.67999267578125
2020-05-12,160.8300018310547
2020-05-13,160.05999755859375
2020-05-14,162.3699951171875
2020-05-15,162.47000122070312
2020-05-18,173.00999450683594
2020-05-19,172.44000244140625
2020-05-20,174.4499969482422
2020-05-21,175.4199981689453
2020-05-22,174.14999389648438
2020-05-26,177.41000366210938
2020-05-27,178.5
2020-05-28,182.3800048828125
2020-05-29,188.3500061035156
2020-06-01,185.3699951171875
2020-06-02,187.7899932861328
2020-06-03,192.92999267578125
2020-06-04,190.5200042724609
2020-06-05,200.63999938964844
2020-06-08,200.97999572753903
2020-06-09,199.77999877929688
2020-06-10,196.6000061035156
2020-06-11,188.4499969482422
2020-06-12,185.67999267578125
2020-06-15,192.1000061035156
2020-06-16,197.47000122070312
2020-06-17,194.1100006103516
2020-06-18,194.25
2020-06-19,193.759994506836
2020-06-22,192.8800048828125
2020-06-23,191.0800018310547
2020-06-24,184.69000244140625
2020-06-25,186.72999572753903
2020-06-26,180.3699951171875
2020-06-29,184.8600006103516
2020-06-30,189.7100067138672
2020-07-01,185.509994506836
2020-07-02,186.1499938964844
2020-07-06,189.72000122070312
2020-07-07,187.009994506836
2020-07-08,187.52999877929688
2020-07-09,186.92999267578125
2020-07-10,186.3800048828125
2020-07-13,185.009994506836
2020-07-14,189.3999938964844
2020-07-15,192.2899932861328
2020-07-16,191.3000030517578
2020-07-17,190.509994506836
2020-07-20,189.66000366210932
2020-07-21,192.2700042724609
2020-07-22,192.9499969482422
2020-07-23,196.47999572753903
2020-07-24,192.22999572753903
2020-07-27,195.33999633789065
2020-07-28,192.33999633789065
2020-07-29,196.82000732421875
2020-07-30,193.91000366210932
2020-07-31,193.6300048828125
2020-08-03,196.58999633789065
2020-08-04,194.3000030517578
2020-08-05,197.69000244140625
2020-08-06,196.19000244140625
2020-08-07,199.4499969482422
2020-08-10,201.63999938964844
2020-08-11,204.6300048828125
