,ERIE
2017-02-15,114.63999938964844
2017-02-16,116.01000213623048
2017-02-17,114.12000274658205
2017-02-21,115.33000183105467
2017-02-22,117.2300033569336
2017-02-23,117.97000122070312
2017-02-24,119.9800033569336
2017-02-27,119.0199966430664
2017-02-28,118.61000061035156
2017-03-01,122.33000183105467
2017-03-02,121.27999877929688
2017-03-03,121.0199966430664
2017-03-06,120.0199966430664
2017-03-07,120.76000213623048
2017-03-08,120.5
2017-03-09,120.20999908447266
2017-03-10,121.0999984741211
2017-03-13,121.4800033569336
2017-03-14,123.01000213623048
2017-03-15,124.5999984741211
2017-03-16,124.7300033569336
2017-03-17,122.08999633789062
2017-03-20,123.08999633789062
2017-03-21,121.7300033569336
2017-03-22,120.88999938964844
2017-03-23,121.76000213623048
2017-03-24,121.55999755859376
2017-03-27,122.31999969482422
2017-03-28,120.52999877929688
2017-03-29,120.36000061035156
2017-03-30,121.37999725341795
2017-03-31,122.6999969482422
2017-04-03,120.87000274658205
2017-04-04,121.6500015258789
2017-04-05,121.63999938964844
2017-04-06,120.69000244140624
2017-04-07,121.31999969482422
2017-04-10,121.45999908447266
2017-04-11,121.88999938964844
2017-04-12,122.11000061035156
2017-04-13,120.16000366210938
2017-04-17,122.4499969482422
2017-04-18,122.1999969482422
2017-04-19,122.6500015258789
2017-04-20,122.83999633789062
2017-04-21,123.08000183105467
2017-04-24,123.0500030517578
2017-04-25,123.13999938964844
2017-04-26,124.37999725341795
2017-04-27,125.2300033569336
2017-04-28,123.81999969482422
2017-05-01,124.66999816894533
2017-05-02,120.9499969482422
2017-05-03,120.81999969482422
2017-05-04,118.9000015258789
2017-05-05,118.91000366210938
2017-05-08,117.01000213623048
2017-05-09,116.11000061035156
2017-05-10,115.6500015258789
2017-05-11,115.37000274658205
2017-05-12,115.44000244140624
2017-05-15,114.7699966430664
2017-05-16,114.5999984741211
2017-05-17,114.05999755859376
2017-05-18,116.08000183105467
2017-05-19,115.44000244140624
2017-05-22,115.47000122070312
2017-05-23,117.20999908447266
2017-05-24,116.18000030517578
2017-05-25,116.69000244140624
2017-05-26,116.61000061035156
2017-05-30,116.43000030517578
2017-05-31,117.7699966430664
2017-06-01,119.25
2017-06-02,122.69000244140624
2017-06-05,120.06999969482422
2017-06-06,118.45999908447266
2017-06-07,119.12999725341795
2017-06-08,121.5199966430664
2017-06-09,120.8499984741211
2017-06-12,121.77999877929688
2017-06-13,121.95999908447266
2017-06-14,122.91000366210938
2017-06-15,122.9000015258789
2017-06-16,125.73999786376952
2017-06-19,125.6500015258789
2017-06-20,125.01000213623048
2017-06-21,123.83999633789062
2017-06-22,123.01000213623048
2017-06-23,124.22000122070312
2017-06-26,123.6999969482422
2017-06-27,123.05999755859376
2017-06-28,126.45999908447266
2017-06-29,124.86000061035156
2017-06-30,125.06999969482422
2017-07-03,127.06999969482422
2017-07-05,123.73999786376952
2017-07-06,122.68000030517578
2017-07-07,123.6500015258789
2017-07-10,121.4499969482422
2017-07-11,121.6500015258789
2017-07-12,122.01000213623048
2017-07-13,121.11000061035156
2017-07-14,120.12000274658205
2017-07-17,120.88999938964844
2017-07-18,125.6999969482422
2017-07-19,124.23999786376952
2017-07-20,124.62000274658205
2017-07-21,124.8000030517578
2017-07-24,125.47000122070312
2017-07-25,125.3000030517578
2017-07-26,123.91999816894533
2017-07-27,123.66999816894533
2017-07-28,128.6999969482422
2017-07-31,127.45999908447266
2017-08-01,128.4199981689453
2017-08-02,126.97000122070312
2017-08-03,127.3000030517578
2017-08-04,126.9499969482422
2017-08-07,126.05999755859376
2017-08-08,124.0
2017-08-09,124.72000122070312
2017-08-10,123.30999755859376
2017-08-11,122.6999969482422
2017-08-14,126.06999969482422
2017-08-15,122.9000015258789
2017-08-16,123.6999969482422
2017-08-17,122.4000015258789
2017-08-18,121.95999908447266
2017-08-21,122.7300033569336
2017-08-22,122.75
2017-08-23,121.20999908447266
2017-08-24,120.38999938964844
2017-08-25,120.91999816894533
2017-08-28,121.72000122070312
2017-08-29,120.05999755859376
2017-08-30,120.4499969482422
2017-08-31,120.79000091552734
2017-09-01,118.3499984741211
2017-09-05,114.29000091552734
2017-09-06,117.37000274658205
2017-09-07,116.41000366210938
2017-09-08,121.5999984741211
2017-09-11,120.1999969482422
2017-09-12,120.94000244140624
2017-09-13,121.43000030517578
2017-09-14,118.26000213623048
2017-09-15,118.12000274658205
2017-09-18,119.31999969482422
2017-09-19,118.38999938964844
2017-09-20,119.68000030517578
2017-09-21,116.94000244140624
2017-09-22,118.63999938964844
2017-09-25,118.7300033569336
2017-09-26,119.0999984741211
2017-09-27,119.31999969482422
2017-09-28,119.16999816894533
2017-09-29,120.56999969482422
2017-10-02,122.68000030517578
2017-10-03,119.22000122070312
2017-10-04,118.51000213623048
2017-10-05,119.16000366210938
2017-10-06,118.7300033569336
2017-10-09,118.41000366210938
2017-10-10,118.7300033569336
2017-10-11,119.1999969482422
2017-10-12,120.55999755859376
2017-10-13,119.83000183105467
2017-10-16,121.41999816894533
2017-10-17,121.19000244140624
2017-10-18,123.08999633789062
2017-10-19,123.5
2017-10-20,123.83999633789062
2017-10-23,123.77999877929688
2017-10-24,121.91999816894533
2017-10-25,121.20999908447266
2017-10-26,124.0999984741211
2017-10-27,123.9800033569336
2017-10-30,122.12000274658205
2017-10-31,120.8000030517578
2017-11-01,122.18000030517578
2017-11-02,122.6999969482422
2017-11-03,122.83000183105467
2017-11-06,122.5199966430664
2017-11-07,122.4499969482422
2017-11-08,122.04000091552734
2017-11-09,121.75
2017-11-10,122.68000030517578
2017-11-13,121.6999969482422
2017-11-14,122.33999633789062
2017-11-15,122.8000030517578
2017-11-16,122.2699966430664
2017-11-17,122.75
2017-11-20,122.05999755859376
2017-11-21,123.22000122070312
2017-11-22,121.80999755859376
2017-11-24,122.4000015258789
2017-11-27,123.0
2017-11-28,123.0
2017-11-29,123.77999877929688
2017-11-30,123.88999938964844
2017-12-01,121.33999633789062
2017-12-04,122.08000183105467
2017-12-05,120.9000015258789
2017-12-06,121.12999725341795
2017-12-07,120.33000183105467
2017-12-08,119.26000213623048
2017-12-11,119.9499969482422
2017-12-12,120.1500015258789
2017-12-13,117.52999877929688
2017-12-14,116.08999633789062
2017-12-15,118.0999984741211
2017-12-18,117.81999969482422
2017-12-19,118.91999816894533
2017-12-20,118.20999908447266
2017-12-21,118.62000274658205
2017-12-22,119.55999755859376
2017-12-26,119.9000015258789
2017-12-27,119.8000030517578
2017-12-28,121.1500015258789
2017-12-29,121.83999633789062
2018-01-02,119.33000183105467
2018-01-03,119.54000091552734
2018-01-04,119.5199966430664
2018-01-05,118.9800033569336
2018-01-08,117.37000274658205
2018-01-09,116.30999755859376
2018-01-10,116.2699966430664
2018-01-11,117.25
2018-01-12,117.0999984741211
2018-01-16,115.79000091552734
2018-01-17,117.2300033569336
2018-01-18,116.98999786376952
2018-01-19,119.26000213623048
2018-01-22,117.7300033569336
2018-01-23,118.37999725341795
2018-01-24,118.20999908447266
2018-01-25,118.26000213623048
2018-01-26,118.80999755859376
2018-01-29,117.77999877929688
2018-01-30,117.38999938964844
2018-01-31,118.76000213623048
2018-02-01,119.13999938964844
2018-02-02,116.81999969482422
2018-02-05,111.9800033569336
2018-02-06,111.77999877929688
2018-02-07,112.68000030517578
2018-02-08,111.18000030517578
2018-02-09,113.91999816894533
2018-02-12,111.51000213623048
2018-02-13,110.88999938964844
2018-02-14,113.0199966430664
2018-02-15,113.69000244140624
2018-02-16,115.12999725341795
2018-02-20,113.12000274658205
2018-02-21,114.5500030517578
2018-02-22,111.72000122070312
2018-02-23,112.7300033569336
2018-02-26,113.97000122070312
2018-02-27,113.36000061035156
2018-02-28,115.66999816894533
2018-03-01,113.62000274658205
2018-03-02,114.0
2018-03-05,119.5999984741211
2018-03-06,118.61000061035156
2018-03-07,117.9499969482422
2018-03-08,117.8499984741211
2018-03-09,118.77999877929688
2018-03-12,118.83000183105467
2018-03-13,119.77999877929688
2018-03-14,119.44000244140624
2018-03-15,119.12999725341795
2018-03-16,119.87000274658205
2018-03-19,119.37999725341795
2018-03-20,119.58000183105467
2018-03-21,119.11000061035156
2018-03-22,116.6500015258789
2018-03-23,113.33000183105467
2018-03-26,115.5999984741211
2018-03-27,114.2300033569336
2018-03-28,116.08999633789062
2018-03-29,117.63999938964844
2018-04-02,114.73999786376952
2018-04-03,116.70999908447266
2018-04-04,117.27999877929688
2018-04-05,116.26000213623048
2018-04-06,114.41000366210938
2018-04-09,115.16000366210938
2018-04-10,116.27999877929688
2018-04-11,116.22000122070312
2018-04-12,116.2300033569336
2018-04-13,116.3499984741211
2018-04-16,117.87000274658205
2018-04-17,118.33000183105467
2018-04-18,117.83999633789062
2018-04-19,118.36000061035156
2018-04-20,117.93000030517578
2018-04-23,118.45999908447266
2018-04-24,118.83000183105467
2018-04-25,118.79000091552734
2018-04-26,118.0199966430664
2018-04-27,117.01000213623048
2018-04-30,116.7699966430664
2018-05-01,117.0999984741211
2018-05-02,112.91000366210938
2018-05-03,113.72000122070312
2018-05-04,113.4800033569336
2018-05-07,115.0
2018-05-08,114.38999938964844
2018-05-09,113.83999633789062
2018-05-10,113.8499984741211
2018-05-11,113.44000244140624
2018-05-14,111.98999786376952
2018-05-15,112.33999633789062
2018-05-16,112.37999725341795
2018-05-17,111.7699966430664
2018-05-18,111.75
2018-05-21,113.45999908447266
2018-05-22,113.77999877929688
2018-05-23,113.9000015258789
2018-05-24,113.5999984741211
2018-05-25,114.1500015258789
2018-05-29,111.62999725341795
2018-05-30,113.0999984741211
2018-05-31,113.01000213623048
2018-06-01,113.91999816894533
2018-06-04,114.08000183105467
2018-06-05,113.37000274658205
2018-06-06,113.48999786376952
2018-06-07,115.31999969482422
2018-06-08,116.37999725341795
2018-06-11,118.86000061035156
