,TT
2019-11-21,100.44219970703124
2019-11-22,100.9309539794922
2019-11-25,101.51280212402344
2019-11-26,101.3576431274414
2019-11-27,102.23429107666016
2019-11-29,101.71450805664062
2019-12-02,100.30255889892578
2019-12-03,99.3716049194336
2019-12-04,99.75174713134766
2019-12-05,100.09309387207033
2019-12-06,102.16446685791016
2019-12-09,101.86966705322266
2019-12-10,101.70674896240234
2019-12-11,103.18851470947266
2019-12-12,104.25911712646484
2019-12-13,103.80915069580078
2019-12-16,103.4445343017578
2019-12-17,103.65399169921876
2019-12-18,103.29712677001952
2019-12-19,103.6074447631836
2019-12-20,104.7401123046875
2019-12-23,104.5771942138672
2019-12-24,104.41427612304688
2019-12-26,103.86345672607422
2019-12-27,104.22808074951172
2019-12-30,103.09542083740234
2019-12-31,103.1186981201172
2020-01-02,104.22808074951172
2020-01-03,103.29712677001952
2020-01-06,102.39720916748048
2020-01-07,101.97827911376952
2020-01-08,101.81536102294922
2020-01-09,101.2567901611328
2020-01-10,101.76881408691406
2020-01-13,101.90069580078124
2020-01-14,101.53607177734376
2020-01-15,101.86966705322266
2020-01-16,103.09542083740234
2020-01-17,103.89449310302734
2020-01-21,102.6764907836914
2020-01-22,102.12567901611328
2020-01-23,102.62994384765624
2020-01-24,101.31885528564452
2020-01-27,100.1008529663086
2020-01-28,101.45849609375
2020-01-29,104.18153381347656
2020-01-30,104.8409652709961
2020-01-31,103.35919189453124
2020-02-03,105.65554809570312
2020-02-04,107.47090911865234
2020-02-05,109.97672271728516
2020-02-06,110.48099517822266
2020-02-07,110.01551818847656
2020-02-10,111.79984283447266
2020-02-11,111.9937973022461
2020-02-12,112.9480209350586
2020-02-13,112.97129821777344
2020-02-14,113.69278717041016
2020-02-18,112.46702575683594
2020-02-19,113.13421630859376
2020-02-20,113.27385711669922
2020-02-21,112.98680877685548
2020-02-24,110.22498321533205
2020-02-25,107.06749725341795
2020-02-26,107.64933776855467
2020-02-27,102.80062103271484
2020-02-28,100.10861206054688
2020-03-02,100.5500030517578
2020-03-03,106.05999755859376
2020-03-04,117.81999969482422
2020-03-05,112.43000030517578
2020-03-06,112.52999877929688
2020-03-09,105.27999877929688
2020-03-10,107.06999969482422
2020-03-11,107.0
2020-03-12,96.33000183105467
2020-03-13,103.44000244140624
2020-03-16,92.19000244140624
2020-03-17,93.20999908447266
2020-03-18,83.01000213623047
2020-03-19,81.7300033569336
2020-03-20,75.68000030517578
2020-03-23,71.26000213623047
2020-03-24,76.80999755859375
2020-03-25,85.12000274658203
2020-03-26,86.87999725341797
2020-03-27,82.66999816894531
2020-03-30,84.30000305175781
2020-03-31,82.58999633789062
2020-04-01,80.88999938964844
2020-04-02,82.86000061035156
2020-04-03,80.02999877929688
2020-04-06,87.04000091552734
2020-04-07,88.16999816894531
2020-04-08,87.87000274658203
2020-04-09,91.5999984741211
2020-04-13,89.80999755859375
2020-04-14,92.12999725341795
2020-04-15,86.72000122070312
2020-04-16,85.7699966430664
2020-04-17,89.91000366210938
2020-04-20,85.0199966430664
2020-04-21,80.5
2020-04-22,81.83999633789062
2020-04-23,83.69000244140625
2020-04-24,84.02999877929688
2020-04-27,86.37000274658203
2020-04-28,87.63999938964844
2020-04-29,90.33999633789062
2020-04-30,87.41999816894531
2020-05-01,86.80999755859375
2020-05-04,85.1500015258789
2020-05-05,82.16000366210938
2020-05-06,79.81999969482422
2020-05-07,81.02999877929688
2020-05-08,84.38999938964844
2020-05-11,80.9800033569336
2020-05-12,76.76000213623047
2020-05-13,76.6500015258789
2020-05-14,78.31999969482422
2020-05-15,77.20999908447266
2020-05-18,81.38999938964844
2020-05-19,80.41000366210938
2020-05-20,79.75
2020-05-21,81.36000061035156
2020-05-22,83.36000061035156
2020-05-26,88.93000030517578
2020-05-27,90.94000244140624
2020-05-28,90.3000030517578
2020-05-29,90.20999908447266
