,APO
2019-05-14,32.70000076293945
2019-05-15,32.77000045776367
2019-05-16,33.15999984741211
2019-05-17,32.790000915527344
2019-05-20,32.130001068115234
2019-05-21,32.880001068115234
2019-05-22,32.880001068115234
2019-05-23,31.940000534057617
2019-05-24,31.809999465942383
2019-05-28,31.06999969482422
2019-05-29,30.64999961853028
2019-05-30,30.65999984741211
2019-05-31,29.40999984741211
2019-06-03,29.920000076293945
2019-06-04,30.8799991607666
2019-06-05,31.530000686645508
2019-06-06,31.84000015258789
2019-06-07,32.650001525878906
2019-06-10,32.86000061035156
2019-06-11,32.95000076293945
2019-06-12,32.77000045776367
2019-06-13,33.349998474121094
2019-06-14,33.36000061035156
2019-06-17,33.2599983215332
2019-06-18,33.459999084472656
2019-06-19,34.119998931884766
2019-06-20,34.18000030517578
2019-06-21,34.02000045776367
2019-06-24,33.31999969482422
2019-06-25,33.369998931884766
2019-06-26,33.52000045776367
2019-06-27,34.25
2019-06-28,34.29999923706055
2019-07-01,35.279998779296875
2019-07-02,35.689998626708984
2019-07-03,35.65999984741211
2019-07-05,35.779998779296875
2019-07-08,35.150001525878906
2019-07-09,35.75
2019-07-10,35.86000061035156
2019-07-11,35.86000061035156
2019-07-12,35.810001373291016
2019-07-15,35.380001068115234
2019-07-16,35.58000183105469
2019-07-17,34.939998626708984
2019-07-18,34.25
2019-07-19,34.22999954223633
2019-07-22,35.150001525878906
2019-07-23,35.16999816894531
2019-07-24,36.09999847412109
2019-07-25,36.04999923706055
2019-07-26,36.13999938964844
2019-07-29,35.31999969482422
2019-07-30,35.04999923706055
2019-07-31,33.0
2019-08-01,31.64999961853028
2019-08-02,31.530000686645508
2019-08-05,31.43000030517578
2019-08-06,33.2599983215332
2019-08-07,33.880001068115234
2019-08-08,34.0
2019-08-09,32.84000015258789
2019-08-12,33.06999969482422
2019-08-13,33.59000015258789
2019-08-14,32.119998931884766
2019-08-15,31.11000061035156
2019-08-16,32.0
2019-08-19,33.65999984741211
2019-08-20,34.79999923706055
2019-08-21,35.54999923706055
2019-08-22,36.560001373291016
2019-08-23,35.75
2019-08-26,36.290000915527344
2019-08-27,36.59999847412109
2019-08-28,37.11000061035156
2019-08-29,37.43999862670898
2019-08-30,37.72999954223633
2019-09-03,36.900001525878906
2019-09-04,38.86000061035156
2019-09-05,40.95000076293945
2019-09-06,40.68000030517578
2019-09-09,40.959999084472656
2019-09-10,39.72999954223633
2019-09-11,40.29999923706055
2019-09-12,40.58000183105469
2019-09-13,40.18000030517578
2019-09-16,40.560001373291016
2019-09-17,40.630001068115234
2019-09-18,40.70000076293945
2019-09-19,40.880001068115234
2019-09-20,40.060001373291016
2019-09-23,40.130001068115234
2019-09-24,40.20000076293945
2019-09-25,40.36000061035156
2019-09-26,40.54999923706055
2019-09-27,38.880001068115234
2019-09-30,37.81999969482422
2019-10-01,37.08000183105469
2019-10-02,35.709999084472656
2019-10-03,36.880001068115234
2019-10-04,37.59000015258789
2019-10-07,37.9900016784668
2019-10-08,37.84999847412109
2019-10-09,38.68999862670898
2019-10-10,38.93000030517578
2019-10-11,38.720001220703125
2019-10-14,38.66999816894531
2019-10-15,39.400001525878906
2019-10-16,39.45000076293945
2019-10-17,40.02999877929688
2019-10-18,39.970001220703125
2019-10-21,39.970001220703125
2019-10-22,39.81999969482422
2019-10-23,41.27999877929688
2019-10-24,41.15999984741211
2019-10-25,41.209999084472656
2019-10-28,41.25
2019-10-29,41.220001220703125
2019-10-30,41.0
2019-10-31,41.15999984741211
2019-11-01,43.25
2019-11-04,43.720001220703125
2019-11-05,43.709999084472656
2019-11-06,42.869998931884766
2019-11-07,42.56999969482422
2019-11-08,42.27000045776367
2019-11-11,42.43000030517578
2019-11-12,42.900001525878906
2019-11-13,43.16999816894531
2019-11-14,43.70000076293945
2019-11-15,43.93000030517578
2019-11-18,43.70000076293945
2019-11-19,42.81999969482422
2019-11-20,42.83000183105469
2019-11-21,42.369998931884766
2019-11-22,42.43999862670898
2019-11-25,43.22999954223633
2019-11-26,43.2599983215332
2019-11-27,44.20000076293945
2019-11-29,43.79999923706055
2019-12-02,43.08000183105469
2019-12-03,42.81999969482422
2019-12-04,43.7400016784668
2019-12-05,44.540000915527344
2019-12-06,44.650001525878906
2019-12-09,43.83000183105469
2019-12-10,44.290000915527344
2019-12-11,44.959999084472656
2019-12-12,44.470001220703125
2019-12-13,44.40999984741211
2019-12-16,46.47999954223633
2019-12-17,46.38999938964844
2019-12-18,46.810001373291016
2019-12-19,47.720001220703125
2019-12-20,48.25
2019-12-23,47.310001373291016
2019-12-24,47.70000076293945
2019-12-26,47.880001068115234
2019-12-27,48.06999969482422
2019-12-30,47.70000076293945
2019-12-31,47.709999084472656
2020-01-02,47.65999984741211
2020-01-03,47.310001373291016
2020-01-06,47.58000183105469
2020-01-07,47.630001068115234
2020-01-08,48.650001525878906
2020-01-09,49.810001373291016
2020-01-10,49.869998931884766
2020-01-13,50.11000061035156
2020-01-14,48.970001220703125
2020-01-15,48.810001373291016
2020-01-16,49.08000183105469
2020-01-17,50.36000061035156
2020-01-21,50.7599983215332
2020-01-22,52.0099983215332
2020-01-23,52.13999938964844
2020-01-24,51.0099983215332
2020-01-27,49.84999847412109
2020-01-28,50.75
2020-01-29,51.15999984741211
2020-01-30,46.630001068115234
2020-01-31,47.31999969482422
2020-02-03,45.93999862670898
2020-02-04,47.060001373291016
2020-02-05,47.959999084472656
2020-02-06,47.04999923706055
2020-02-07,47.36000061035156
2020-02-10,46.619998931884766
2020-02-11,46.84000015258789
2020-02-12,46.34000015258789
2020-02-13,45.790000915527344
2020-02-14,45.709999084472656
2020-02-18,45.66999816894531
2020-02-19,46.56999969482422
2020-02-20,46.45000076293945
2020-02-21,45.68999862670898
2020-02-24,44.91999816894531
2020-02-25,43.16999816894531
2020-02-26,43.20000076293945
2020-02-27,42.310001373291016
2020-02-28,41.65999984741211
2020-03-02,43.38999938964844
2020-03-03,42.810001373291016
2020-03-04,42.93999862670898
2020-03-05,42.7400016784668
2020-03-06,40.5
2020-03-09,34.060001373291016
2020-03-10,35.439998626708984
2020-03-11,33.91999816894531
2020-03-12,30.100000381469727
2020-03-13,35.95000076293945
2020-03-16,31.14999961853028
2020-03-17,31.200000762939453
2020-03-18,30.0
2020-03-19,29.88999938964844
2020-03-20,26.84000015258789
2020-03-23,23.799999237060547
2020-03-24,27.479999542236328
2020-03-25,34.689998626708984
2020-03-26,37.70000076293945
2020-03-27,35.459999084472656
2020-03-30,35.45000076293945
2020-03-31,33.5
2020-04-01,29.959999084472656
2020-04-02,30.96999931335449
2020-04-03,31.920000076293945
2020-04-06,35.91999816894531
2020-04-07,35.08000183105469
2020-04-08,37.27000045776367
2020-04-09,39.15999984741211
2020-04-13,36.130001068115234
2020-04-14,36.36000061035156
2020-04-15,34.02000045776367
2020-04-16,36.33000183105469
2020-04-17,38.869998931884766
2020-04-20,37.27000045776367
2020-04-21,35.5
2020-04-22,36.119998931884766
2020-04-23,38.04999923706055
2020-04-24,38.93999862670898
2020-04-27,41.380001068115234
2020-04-28,40.619998931884766
2020-04-29,42.97999954223633
2020-04-30,40.4900016784668
2020-05-01,39.560001373291016
2020-05-04,39.95000076293945
2020-05-05,40.900001525878906
2020-05-06,41.68000030517578
2020-05-07,43.0
2020-05-08,43.93000030517578
2020-05-11,45.08000183105469
2020-05-12,44.15999984741211
2020-05-13,41.65999984741211
2020-05-14,41.77000045776367
2020-05-15,40.68999862670898
2020-05-18,43.5099983215332
2020-05-19,43.25
2020-05-20,44.9900016784668
2020-05-21,44.959999084472656
2020-05-22,45.209999084472656
2020-05-26,47.61000061035156
2020-05-27,47.68000030517578
2020-05-28,47.20000076293945
2020-05-29,47.59999847412109
2020-06-01,48.25
2020-06-02,49.83000183105469
2020-06-03,51.59999847412109
2020-06-04,51.31999969482422
2020-06-05,53.150001525878906
2020-06-08,52.81999969482422
2020-06-09,52.06999969482422
2020-06-10,50.81999969482422
2020-06-11,47.06999969482422
2020-06-12,49.220001220703125
2020-06-15,51.290000915527344
2020-06-16,52.970001220703125
2020-06-17,53.02000045776367
2020-06-18,54.33000183105469
2020-06-19,53.08000183105469
2020-06-22,51.66999816894531
2020-06-23,51.310001373291016
2020-06-24,49.5099983215332
2020-06-25,49.540000915527344
2020-06-26,46.2400016784668
2020-06-29,47.880001068115234
2020-06-30,49.91999816894531
2020-07-01,50.15999984741211
2020-07-02,49.90999984741211
2020-07-06,50.13999938964844
2020-07-07,49.02000045776367
2020-07-08,50.34999847412109
2020-07-09,49.900001525878906
2020-07-10,50.09000015258789
2020-07-13,49.20000076293945
2020-07-14,50.709999084472656
2020-07-15,51.84999847412109
2020-07-16,51.220001220703125
2020-07-17,51.81999969482422
2020-07-20,51.619998931884766
2020-07-21,53.45000076293945
2020-07-22,53.18999862670898
2020-07-23,52.59999847412109
2020-07-24,52.02000045776367
2020-07-27,52.130001068115234
2020-07-28,52.130001068115234
2020-07-29,54.02999877929688
2020-07-30,50.540000915527344
2020-07-31,49.09999847412109
2020-08-03,49.65999984741211
2020-08-04,49.060001373291016
2020-08-05,49.38999938964844
2020-08-06,48.58000183105469
2020-08-07,48.77999877929688
2020-08-10,48.77000045776367
2020-08-11,47.77000045776367
2020-08-12,48.09999847412109
2020-08-13,48.4900016784668
2020-08-14,47.869998931884766
2020-08-17,48.540000915527344
2020-08-18,47.900001525878906
2020-08-19,47.68999862670898
2020-08-20,46.650001525878906
