,IRM
2017-01-05,33.97999954223633
2017-01-06,33.5
2017-01-09,33.2599983215332
2017-01-10,33.29999923706055
2017-01-11,33.189998626708984
2017-01-12,33.689998626708984
2017-01-13,33.400001525878906
2017-01-17,33.95000076293945
2017-01-18,34.099998474121094
2017-01-19,33.91999816894531
2017-01-20,34.68000030517578
2017-01-23,34.970001220703125
2017-01-24,35.310001373291016
2017-01-25,35.310001373291016
2017-01-26,36.16999816894531
2017-01-27,36.18000030517578
2017-01-30,35.790000915527344
2017-01-31,35.79999923706055
2017-02-01,35.97999954223633
2017-02-02,36.20000076293945
2017-02-03,36.59000015258789
2017-02-06,36.66999816894531
2017-02-07,36.709999084472656
2017-02-08,36.79999923706055
2017-02-09,37.02999877929688
2017-02-10,37.38999938964844
2017-02-13,37.619998931884766
2017-02-14,37.04999923706055
2017-02-15,37.2599983215332
2017-02-16,37.0
2017-02-17,37.150001525878906
2017-02-21,37.709999084472656
2017-02-22,37.13999938964844
2017-02-23,36.93999862670898
2017-02-24,36.900001525878906
2017-02-27,36.650001525878906
2017-02-28,36.34999847412109
2017-03-01,36.47999954223633
2017-03-02,36.369998931884766
2017-03-03,36.36000061035156
2017-03-06,36.119998931884766
2017-03-07,35.790000915527344
2017-03-08,34.7599983215332
2017-03-09,34.099998474121094
2017-03-10,34.2400016784668
2017-03-13,34.0099983215332
2017-03-14,33.959999084472656
2017-03-15,34.4900016784668
2017-03-16,34.56999969482422
2017-03-17,35.060001373291016
2017-03-20,34.869998931884766
2017-03-21,34.54999923706055
2017-03-22,35.02000045776367
2017-03-23,35.060001373291016
2017-03-24,34.72999954223633
2017-03-27,34.58000183105469
2017-03-28,35.099998474121094
2017-03-29,35.38999938964844
2017-03-30,35.38999938964844
2017-03-31,35.66999816894531
2017-04-03,35.33000183105469
2017-04-04,35.099998474121094
2017-04-05,34.939998626708984
2017-04-06,35.29999923706055
2017-04-07,35.52000045776367
2017-04-10,35.439998626708984
2017-04-11,35.5
2017-04-12,35.34000015258789
2017-04-13,35.290000915527344
2017-04-17,35.88999938964844
2017-04-18,36.540000915527344
2017-04-19,36.20000076293945
2017-04-20,36.52000045776367
2017-04-21,36.34000015258789
2017-04-24,36.470001220703125
2017-04-25,36.540000915527344
2017-04-26,36.09999847412109
2017-04-27,34.86000061035156
2017-04-28,34.7599983215332
2017-05-01,35.189998626708984
2017-05-02,35.33000183105469
2017-05-03,34.689998626708984
2017-05-04,34.75
2017-05-05,35.2599983215332
2017-05-08,34.900001525878906
2017-05-09,34.79999923706055
2017-05-10,35.08000183105469
2017-05-11,34.86000061035156
2017-05-12,34.56999969482422
2017-05-15,34.66999816894531
2017-05-16,34.95000076293945
2017-05-17,35.2599983215332
2017-05-18,35.40999984741211
2017-05-19,34.97999954223633
2017-05-22,34.810001373291016
2017-05-23,34.720001220703125
2017-05-24,34.79999923706055
2017-05-25,35.08000183105469
2017-05-26,35.16999816894531
2017-05-30,35.040000915527344
2017-05-31,34.91999816894531
2017-06-01,34.9900016784668
2017-06-02,35.2599983215332
2017-06-05,34.810001373291016
2017-06-06,35.0
2017-06-07,33.689998626708984
2017-06-08,33.45000076293945
2017-06-09,33.310001373291016
2017-06-12,34.29999923706055
2017-06-13,34.209999084472656
2017-06-14,34.189998626708984
2017-06-15,34.619998931884766
2017-06-16,34.209999084472656
2017-06-19,34.720001220703125
2017-06-20,34.810001373291016
2017-06-21,34.04999923706055
2017-06-22,34.119998931884766
2017-06-23,34.52000045776367
2017-06-26,34.75
2017-06-27,34.27000045776367
2017-06-28,34.720001220703125
2017-06-29,34.189998626708984
2017-06-30,34.36000061035156
2017-07-03,34.880001068115234
2017-07-05,34.52000045776367
2017-07-06,34.06999969482422
2017-07-07,34.43000030517578
2017-07-10,33.459999084472656
2017-07-11,33.34000015258789
2017-07-12,33.9900016784668
2017-07-13,33.939998626708984
2017-07-14,34.779998779296875
2017-07-17,34.7400016784668
2017-07-18,34.68000030517578
2017-07-19,34.95000076293945
2017-07-20,34.689998626708984
2017-07-21,35.0
2017-07-24,34.88999938964844
2017-07-25,34.86000061035156
2017-07-26,34.959999084472656
2017-07-27,34.7599983215332
2017-07-28,35.189998626708984
2017-07-31,36.43000030517578
2017-08-01,36.869998931884766
2017-08-02,36.91999816894531
2017-08-03,37.400001525878906
2017-08-04,37.0
2017-08-07,37.119998931884766
2017-08-08,37.18000030517578
2017-08-09,38.310001373291016
2017-08-10,37.83000183105469
2017-08-11,37.130001068115234
2017-08-14,37.630001068115234
2017-08-15,37.38999938964844
2017-08-16,37.4900016784668
2017-08-17,37.130001068115234
2017-08-18,36.88999938964844
2017-08-21,37.58000183105469
2017-08-22,37.72999954223633
2017-08-23,38.38999938964844
2017-08-24,38.52999877929688
2017-08-25,38.470001220703125
2017-08-28,39.060001373291016
2017-08-29,39.2400016784668
2017-08-30,39.5099983215332
2017-08-31,39.41999816894531
2017-09-01,39.43999862670898
2017-09-05,39.560001373291016
2017-09-06,39.2400016784668
2017-09-07,39.869998931884766
2017-09-08,40.040000915527344
2017-09-11,40.380001068115234
2017-09-12,40.13999938964844
2017-09-13,39.709999084472656
2017-09-14,39.150001525878906
2017-09-15,39.470001220703125
2017-09-18,39.41999816894531
2017-09-19,39.84000015258789
2017-09-20,39.720001220703125
2017-09-21,39.77000045776367
2017-09-22,40.130001068115234
2017-09-25,40.08000183105469
2017-09-26,39.36000061035156
2017-09-27,38.130001068115234
2017-09-28,38.77999877929688
2017-09-29,38.900001525878906
2017-10-02,39.25
2017-10-03,38.95000076293945
2017-10-04,39.02000045776367
2017-10-05,39.0099983215332
2017-10-06,38.119998931884766
2017-10-09,38.31999969482422
2017-10-10,38.79999923706055
2017-10-11,38.93999862670898
2017-10-12,39.810001373291016
2017-10-13,39.86000061035156
2017-10-16,39.810001373291016
2017-10-17,40.11000061035156
2017-10-18,40.790000915527344
2017-10-19,40.959999084472656
2017-10-20,40.91999816894531
2017-10-23,40.060001373291016
2017-10-24,39.900001525878906
2017-10-25,39.810001373291016
2017-10-26,39.65999984741211
2017-10-27,40.0
2017-10-30,40.11000061035156
2017-10-31,40.0
2017-11-01,39.810001373291016
2017-11-02,39.88999938964844
2017-11-03,40.119998931884766
2017-11-06,40.63999938964844
2017-11-07,40.59999847412109
2017-11-08,40.77000045776367
2017-11-09,40.630001068115234
2017-11-10,40.65999984741211
2017-11-13,40.9900016784668
2017-11-14,41.0
2017-11-15,40.52999877929688
2017-11-16,40.81999969482422
2017-11-17,40.77000045776367
2017-11-20,40.91999816894531
2017-11-21,41.34999847412109
2017-11-22,41.13999938964844
2017-11-24,41.43999862670898
2017-11-27,40.5
2017-11-28,40.68000030517578
2017-11-29,40.52000045776367
2017-11-30,40.869998931884766
2017-12-01,40.75
2017-12-04,40.52999877929688
2017-12-05,40.34999847412109
2017-12-06,40.06999969482422
2017-12-07,39.9900016784668
2017-12-08,40.119998931884766
2017-12-11,40.70000076293945
2017-12-12,37.79999923706055
2017-12-13,38.34000015258789
2017-12-14,37.959999084472656
2017-12-15,37.68000030517578
2017-12-18,37.93999862670898
2017-12-19,37.95000076293945
2017-12-20,37.18000030517578
2017-12-21,37.150001525878906
2017-12-22,37.65999984741211
2017-12-26,37.65999984741211
2017-12-27,37.45000076293945
2017-12-28,37.97999954223633
2017-12-29,37.72999954223633
2018-01-02,37.61000061035156
2018-01-03,37.09999847412109
2018-01-04,36.91999816894531
2018-01-05,36.79999923706055
2018-01-08,37.040000915527344
2018-01-09,36.83000183105469
2018-01-10,36.54999923706055
2018-01-11,36.58000183105469
2018-01-12,36.220001220703125
2018-01-16,36.22999954223633
2018-01-17,36.33000183105469
2018-01-18,35.29999923706055
2018-01-19,35.4900016784668
2018-01-22,35.810001373291016
2018-01-23,36.34999847412109
2018-01-24,35.77000045776367
2018-01-25,35.81999969482422
2018-01-26,35.7599983215332
2018-01-29,34.08000183105469
2018-01-30,33.93000030517578
2018-01-31,35.029998779296875
2018-02-01,34.619998931884766
2018-02-02,33.65999984741211
2018-02-05,32.72999954223633
2018-02-06,33.11000061035156
2018-02-07,33.18000030517578
2018-02-08,32.06999969482422
2018-02-09,33.099998474121094
