,GEN
2018-11-21,21.520000457763672
2018-11-23,21.700000762939453
2018-11-26,22.09000015258789
2018-11-27,21.850000381469727
2018-11-28,22.5
2018-11-29,22.57999992370605
2018-11-30,22.11000061035156
2018-12-03,22.36000061035156
2018-12-04,21.959999084472656
2018-12-06,22.309999465942383
2018-12-07,21.780000686645508
2018-12-10,22.07999992370605
2018-12-11,22.280000686645508
2018-12-12,22.75
2018-12-13,22.479999542236328
2018-12-14,21.56999969482422
2018-12-17,20.649999618530277
2018-12-18,20.71999931335449
2018-12-19,20.43000030517578
2018-12-20,19.559999465942383
2018-12-21,18.440000534057617
2018-12-24,17.959999084472656
2018-12-26,18.51000022888184
2018-12-27,18.61000061035156
2018-12-28,18.559999465942383
2018-12-31,18.899999618530277
2019-01-02,18.940000534057617
2019-01-03,18.57999992370605
2019-01-04,19.36000061035156
2019-01-07,19.32999992370605
2019-01-08,19.57999992370605
2019-01-09,19.93000030517578
2019-01-10,20.06999969482422
2019-01-11,19.8799991607666
2019-01-14,19.31999969482422
2019-01-15,19.709999084472656
2019-01-16,19.739999771118164
2019-01-17,20.01000022888184
2019-01-18,20.11000061035156
2019-01-22,19.799999237060547
2019-01-23,19.780000686645508
2019-01-24,20.030000686645508
2019-01-25,20.3799991607666
2019-01-28,20.850000381469727
2019-01-29,20.420000076293945
2019-01-30,20.81999969482422
2019-01-31,21.020000457763672
2019-02-01,22.90999984741211
2019-02-04,23.020000457763672
2019-02-05,22.799999237060547
2019-02-06,22.899999618530277
2019-02-07,22.559999465942383
2019-02-08,22.65999984741211
2019-02-11,22.420000076293945
2019-02-12,23.40999984741211
2019-02-13,23.020000457763672
2019-02-14,23.059999465942383
2019-02-15,23.149999618530277
2019-02-19,22.989999771118164
2019-02-20,22.46999931335449
2019-02-21,22.34000015258789
2019-02-22,22.670000076293945
2019-02-25,22.63999938964844
2019-02-26,22.790000915527344
2019-02-27,22.649999618530277
2019-02-28,22.489999771118164
2019-03-01,22.530000686645508
2019-03-04,22.09000015258789
2019-03-05,22.13999938964844
2019-03-06,21.96999931335449
2019-03-07,21.88999938964844
2019-03-08,21.950000762939453
2019-03-11,22.3799991607666
2019-03-12,22.459999084472656
2019-03-13,22.950000762939453
2019-03-14,22.93000030517578
2019-03-15,23.020000457763672
2019-03-18,23.06999969482422
2019-03-19,23.209999084472656
2019-03-20,23.13999938964844
2019-03-21,23.59000015258789
2019-03-22,22.86000061035156
2019-03-25,22.8799991607666
2019-03-26,23.229999542236328
2019-03-27,22.84000015258789
2019-03-28,22.940000534057617
2019-03-29,22.989999771118164
2019-04-01,23.190000534057617
2019-04-02,23.149999618530277
2019-04-03,23.32999992370605
2019-04-04,23.040000915527344
2019-04-05,22.989999771118164
2019-04-08,24.239999771118164
2019-04-09,23.8799991607666
2019-04-10,23.739999771118164
2019-04-11,23.899999618530277
2019-04-12,23.959999084472656
2019-04-15,24.40999984741211
2019-04-16,24.299999237060547
2019-04-17,24.46999931335449
2019-04-18,24.399999618530277
2019-04-22,24.26000022888184
2019-04-23,24.290000915527344
2019-04-24,24.25
2019-04-25,24.1299991607666
2019-04-26,24.239999771118164
2019-04-29,24.32999992370605
2019-04-30,24.209999084472656
2019-05-01,23.850000381469727
2019-05-02,23.350000381469727
2019-05-03,23.549999237060547
2019-05-06,23.190000534057617
2019-05-07,22.3700008392334
2019-05-08,22.26000022888184
2019-05-09,22.170000076293945
2019-05-10,19.38999938964844
2019-05-13,19.13999938964844
2019-05-14,19.46999931335449
2019-05-15,19.489999771118164
2019-05-16,19.709999084472656
2019-05-17,19.84000015258789
2019-05-20,20.049999237060547
2019-05-21,20.530000686645508
2019-05-22,20.290000915527344
2019-05-23,19.96999931335449
2019-05-24,19.850000381469727
2019-05-28,19.459999084472656
2019-05-29,19.01000022888184
2019-05-30,18.8799991607666
2019-05-31,18.729999542236328
2019-06-03,17.979999542236328
2019-06-04,18.8700008392334
2019-06-05,19.07999992370605
2019-06-06,18.950000762939453
2019-06-07,19.149999618530277
2019-06-10,19.209999084472656
2019-06-11,18.850000381469727
2019-06-12,19.190000534057617
2019-06-13,19.57999992370605
2019-06-14,19.36000061035156
2019-06-17,19.76000022888184
2019-06-18,19.96999931335449
2019-06-19,20.149999618530277
2019-06-20,20.559999465942383
2019-06-21,20.84000015258789
2019-06-24,20.979999542236328
2019-06-25,20.799999237060547
2019-06-26,20.86000061035156
2019-06-27,21.09000015258789
2019-06-28,21.76000022888184
2019-07-01,22.059999465942383
2019-07-02,22.100000381469727
2019-07-03,25.100000381469727
2019-07-05,25.0
2019-07-08,25.61000061035156
2019-07-09,25.559999465942383
2019-07-10,25.799999237060547
2019-07-11,25.440000534057617
2019-07-12,25.56999969482422
2019-07-15,22.84000015258789
2019-07-16,23.56999969482422
2019-07-17,22.68000030517578
2019-07-18,23.0
2019-07-19,22.270000457763672
2019-07-22,22.709999084472656
2019-07-23,22.809999465942383
2019-07-24,22.690000534057617
2019-07-25,22.479999542236328
2019-07-26,22.729999542236328
2019-07-29,22.100000381469727
2019-07-30,21.93000030517578
2019-07-31,21.559999465942383
2019-08-01,21.540000915527344
2019-08-02,21.149999618530277
2019-08-05,20.34000015258789
2019-08-06,20.459999084472656
2019-08-07,20.40999984741211
2019-08-08,22.920000076293945
2019-08-09,22.989999771118164
2019-08-12,21.670000076293945
2019-08-13,23.1200008392334
2019-08-14,23.049999237060547
2019-08-15,23.13999938964844
2019-08-16,23.51000022888184
2019-08-19,23.850000381469727
2019-08-20,23.76000022888184
2019-08-21,23.709999084472656
2019-08-22,23.530000686645508
2019-08-23,23.21999931335449
2019-08-26,23.31999969482422
2019-08-27,23.06999969482422
2019-08-28,22.950000762939453
2019-08-29,23.209999084472656
2019-08-30,23.25
2019-09-03,22.989999771118164
2019-09-04,23.309999465942383
2019-09-05,23.46999931335449
2019-09-06,24.520000457763672
2019-09-09,24.40999984741211
2019-09-10,24.43000030517578
2019-09-11,24.729999542236328
2019-09-12,24.540000915527344
2019-09-13,24.459999084472656
2019-09-16,24.26000022888184
2019-09-17,24.43000030517578
2019-09-18,24.020000457763672
2019-09-19,23.979999542236328
2019-09-20,23.8799991607666
2019-09-23,23.76000022888184
2019-09-24,23.3700008392334
2019-09-25,23.799999237060547
2019-09-26,23.739999771118164
2019-09-27,23.5
2019-09-30,23.6299991607666
2019-10-01,23.51000022888184
2019-10-02,23.290000915527344
2019-10-03,23.489999771118164
2019-10-04,23.479999542236328
2019-10-07,23.46999931335449
2019-10-08,23.229999542236328
2019-10-09,23.520000457763672
2019-10-10,23.489999771118164
2019-10-11,23.559999465942383
2019-10-14,23.420000076293945
2019-10-15,23.59000015258789
2019-10-16,23.5
2019-10-17,23.479999542236328
2019-10-18,23.01000022888184
2019-10-21,23.07999992370605
2019-10-22,23.149999618530277
2019-10-23,23.01000022888184
2019-10-24,23.030000686645508
2019-10-25,22.690000534057617
2019-10-28,22.850000381469727
2019-10-29,23.100000381469727
2019-10-30,22.989999771118164
2019-10-31,22.8799991607666
2019-11-01,23.40999984741211
2019-11-04,23.75
2019-11-05,23.75
2019-11-06,24.0
2019-11-07,24.34000015258789
2019-11-08,24.82999992370605
2019-11-11,24.350000381469727
2019-11-12,24.200000762939453
2019-11-13,24.56999969482422
2019-11-14,24.520000457763672
2019-11-15,24.82999992370605
2019-11-18,24.549999237060547
2019-11-19,24.700000762939453
2019-11-20,24.559999465942383
2019-11-21,24.56999969482422
2019-11-22,24.520000457763672
2019-11-25,24.90999984741211
2019-11-26,25.0
2019-11-27,24.920000076293945
2019-11-29,24.899999618530277
2019-12-02,24.989999771118164
2019-12-03,24.950000762939453
2019-12-04,25.3799991607666
2019-12-05,25.489999771118164
2019-12-06,25.459999084472656
2019-12-09,25.399999618530277
2019-12-10,26.280000686645508
2019-12-11,26.3799991607666
2019-12-12,26.18000030517578
2019-12-13,26.0
2019-12-16,25.96999931335449
2019-12-17,25.920000076293945
2019-12-18,25.979999542236328
2019-12-19,26.020000457763672
2019-12-20,25.51000022888184
2019-12-23,25.729999542236328
2019-12-24,25.68000030517578
2019-12-26,25.450000762939453
2019-12-27,25.600000381469727
2019-12-30,25.479999542236328
2019-12-31,25.520000457763672
2020-01-02,26.020000457763672
2020-01-03,25.82999992370605
2020-01-06,26.38999938964844
2020-01-07,26.75
2020-01-08,26.61000061035156
2020-01-09,26.690000534057617
2020-01-10,26.489999771118164
2020-01-13,26.600000381469727
2020-01-14,26.780000686645508
2020-01-15,27.5
2020-01-16,27.8799991607666
2020-01-17,28.1299991607666
2020-01-21,28.049999237060547
2020-01-22,28.209999084472656
2020-01-23,28.399999618530277
2020-01-24,28.06999969482422
2020-01-27,27.43000030517578
2020-01-28,27.68000030517578
2020-01-29,27.68000030517578
2020-01-30,28.299999237060547
2020-01-31,28.420000076293945
2020-02-03,17.149999618530273
2020-02-04,17.530000686645508
2020-02-05,17.639999389648438
2020-02-06,17.610000610351562
2020-02-07,19.729999542236328
2020-02-10,20.200000762939453
2020-02-11,20.61000061035156
2020-02-12,20.61000061035156
2020-02-13,20.76000022888184
2020-02-14,20.65999984741211
2020-02-18,20.530000686645508
2020-02-19,20.700000762939453
2020-02-20,20.790000915527344
2020-02-21,20.46999931335449
2020-02-24,19.920000076293945
2020-02-25,19.1299991607666
2020-02-26,19.299999237060547
2020-02-27,18.93000030517578
2020-02-28,19.030000686645508
2020-03-02,19.93000030517578
2020-03-03,19.290000915527344
2020-03-04,19.709999084472656
2020-03-05,19.350000381469727
2020-03-06,18.68000030517578
2020-03-09,17.190000534057617
2020-03-10,17.940000534057617
2020-03-11,17.850000381469727
2020-03-12,17.260000228881836
2020-03-13,17.450000762939453
2020-03-16,16.84000015258789
2020-03-17,16.639999389648438
2020-03-18,16.610000610351562
2020-03-19,16.81999969482422
2020-03-20,16.959999084472656
2020-03-23,16.579999923706055
2020-03-24,17.350000381469727
2020-03-25,17.889999389648438
2020-03-26,18.729999542236328
2020-03-27,18.93000030517578
2020-03-30,19.100000381469727
2020-03-31,18.709999084472656
2020-04-01,18.76000022888184
2020-04-02,18.46999931335449
2020-04-03,18.290000915527344
2020-04-06,18.96999931335449
2020-04-07,18.940000534057617
2020-04-08,19.57999992370605
2020-04-09,19.3700008392334
2020-04-13,18.86000061035156
2020-04-14,19.06999969482422
2020-04-15,19.700000762939453
2020-04-16,20.420000076293945
2020-04-17,20.1200008392334
2020-04-20,20.01000022888184
2020-04-21,19.3799991607666
2020-04-22,19.90999984741211
2020-04-23,20.209999084472656
2020-04-24,20.959999084472656
2020-04-27,21.280000686645508
2020-04-28,20.96999931335449
2020-04-29,21.280000686645508
2020-04-30,21.270000457763672
2020-05-01,20.86000061035156
2020-05-04,21.100000381469727
2020-05-05,21.530000686645508
2020-05-06,21.520000457763672
2020-05-07,21.18000030517578
2020-05-08,21.280000686645508
2020-05-11,21.5
2020-05-12,20.799999237060547
2020-05-13,20.43000030517578
2020-05-14,20.93000030517578
2020-05-15,20.020000457763672
2020-05-18,19.940000534057617
2020-05-19,20.229999542236328
2020-05-20,21.0
2020-05-21,20.229999542236328
2020-05-22,20.239999771118164
2020-05-26,19.8700008392334
2020-05-27,19.86000061035156
2020-05-28,20.940000534057617
2020-05-29,22.780000686645508
2020-06-01,21.709999084472656
2020-06-02,21.059999465942383
2020-06-03,20.709999084472656
2020-06-04,21.100000381469727
2020-06-05,21.049999237060547
2020-06-08,21.96999931335449
2020-06-09,21.13999938964844
2020-06-10,21.40999984741211
2020-06-11,19.979999542236328
2020-06-12,19.850000381469727
2020-06-15,20.26000022888184
2020-06-16,20.32999992370605
2020-06-17,20.21999931335449
2020-06-18,20.059999465942383
2020-06-19,20.809999465942383
2020-06-22,20.709999084472656
2020-06-23,20.479999542236328
2020-06-24,19.739999771118164
2020-06-25,19.530000686645508
2020-06-26,19.1200008392334
2020-06-29,19.43000030517578
2020-06-30,19.82999992370605
2020-07-01,19.770000457763672
2020-07-02,20.01000022888184
2020-07-06,19.93000030517578
2020-07-07,19.799999237060547
2020-07-08,20.11000061035156
2020-07-09,20.07999992370605
2020-07-10,20.299999237060547
2020-07-13,20.15999984741211
2020-07-14,20.170000076293945
2020-07-15,20.239999771118164
2020-07-16,20.170000076293945
2020-07-17,20.309999465942383
2020-07-20,20.43000030517578
2020-07-21,19.940000534057617
2020-07-22,20.700000762939453
2020-07-23,21.1200008392334
2020-07-24,20.38999938964844
2020-07-27,20.81999969482422
2020-07-28,20.56999969482422
2020-07-29,21.18000030517578
2020-07-30,21.1299991607666
2020-07-31,21.450000762939453
2020-08-03,21.959999084472656
2020-08-04,22.100000381469727
2020-08-05,21.899999618530277
2020-08-06,22.15999984741211
2020-08-07,23.36000061035156
2020-08-10,23.0
2020-08-11,22.3799991607666
2020-08-12,22.520000457763672
2020-08-13,22.96999931335449
2020-08-14,22.920000076293945
2020-08-17,22.799999237060547
2020-08-18,22.850000381469727
2020-08-19,22.690000534057617
2020-08-20,22.649999618530277
2020-08-21,22.59000015258789
2020-08-24,23.459999084472656
2020-08-25,23.489999771118164
2020-08-26,24.209999084472656
2020-08-27,24.170000076293945
2020-08-28,24.049999237060547
2020-08-31,23.520000457763672
2020-09-01,23.81999969482422
2020-09-02,24.11000061035156
2020-09-03,22.90999984741211
2020-09-04,23.38999938964844
2020-09-08,22.59000015258789
2020-09-09,23.049999237060547
2020-09-10,22.46999931335449
2020-09-11,21.1299991607666
2020-09-14,21.26000022888184
2020-09-15,21.229999542236328
2020-09-16,21.11000061035156
2020-09-17,20.8799991607666
2020-09-18,20.8700008392334
2020-09-21,20.59000015258789
2020-09-22,21.01000022888184
2020-09-23,20.32999992370605
2020-09-24,20.459999084472656
2020-09-25,20.899999618530277
2020-09-28,21.06999969482422
2020-09-29,20.86000061035156
2020-09-30,20.84000015258789
2020-10-01,20.709999084472656
2020-10-02,20.559999465942383
2020-10-05,21.520000457763672
2020-10-06,21.200000762939453
2020-10-07,20.959999084472656
2020-10-08,20.90999984741211
2020-10-09,20.989999771118164
2020-10-12,21.270000457763672
2020-10-13,21.299999237060547
2020-10-14,21.56999969482422
2020-10-15,21.100000381469727
2020-10-16,21.100000381469727
2020-10-19,20.700000762939453
2020-10-20,20.690000534057617
2020-10-21,20.809999465942383
2020-10-22,20.649999618530277
2020-10-23,20.84000015258789
2020-10-26,20.6200008392334
2020-10-27,20.799999237060547
2020-10-28,20.420000076293945
2020-10-29,20.61000061035156
2020-10-30,20.56999969482422
2020-11-02,20.940000534057617
2020-11-03,21.56999969482422
2020-11-04,21.979999542236328
2020-11-05,22.020000457763672
2020-11-06,20.38999938964844
2020-11-09,19.459999084472656
2020-11-10,19.350000381469727
2020-11-11,20.09000015258789
2020-11-12,19.549999237060547
2020-11-13,19.799999237060547
2020-11-16,19.13999938964844
2020-11-17,18.88999938964844
2020-11-18,18.84000015258789
2020-11-19,18.670000076293945
2020-11-20,18.270000457763672
2020-11-23,18.290000915527344
2020-11-24,18.21999931335449
2020-11-25,18.18000030517578
2020-11-27,18.11000061035156
2020-11-30,18.229999542236328
2020-12-01,18.229999542236328
2020-12-02,18.59000015258789
2020-12-03,19.100000381469727
2020-12-04,19.270000457763672
2020-12-07,19.709999084472656
2020-12-08,19.290000915527344
2020-12-09,19.489999771118164
2020-12-10,19.520000457763672
2020-12-11,19.59000015258789
2020-12-14,19.8700008392334
2020-12-15,19.959999084472656
2020-12-16,20.3799991607666
2020-12-17,20.559999465942383
2020-12-18,21.239999771118164
2020-12-21,20.979999542236328
2020-12-22,21.34000015258789
2020-12-23,20.959999084472656
2020-12-24,21.040000915527344
2020-12-28,21.020000457763672
2020-12-29,20.82999992370605
2020-12-30,20.75
2020-12-31,20.780000686645508
2021-01-04,20.770000457763672
2021-01-05,20.96999931335449
2021-01-06,20.920000076293945
2021-01-07,21.1200008392334
2021-01-08,21.040000915527344
2021-01-11,21.030000686645508
2021-01-12,21.34000015258789
2021-01-13,20.8700008392334
2021-01-14,20.34000015258789
2021-01-15,20.450000762939453
2021-01-19,20.780000686645508
