,WTW
2016-08-09,121.2300033569336
2016-08-10,121.81999969482422
2016-08-11,122.75
2016-08-12,121.47000122070312
2016-08-15,121.52999877929688
2016-08-16,121.4800033569336
2016-08-17,121.93000030517578
2016-08-18,122.55999755859376
2016-08-19,122.72000122070312
2016-08-22,122.9499969482422
2016-08-23,123.11000061035156
2016-08-24,122.20999908447266
2016-08-25,122.20999908447266
2016-08-26,122.98999786376952
2016-08-29,123.91999816894533
2016-08-30,123.94000244140624
2016-08-31,124.01000213623048
2016-09-01,124.8499984741211
2016-09-02,126.52999877929688
2016-09-06,127.66000366210938
2016-09-07,128.5500030517578
2016-09-08,125.41999816894533
2016-09-09,122.04000091552734
2016-09-12,125.25
2016-09-13,123.08999633789062
2016-09-14,122.3000030517578
2016-09-15,125.12000274658205
2016-09-16,123.9499969482422
2016-09-19,124.68000030517578
2016-09-20,125.68000030517578
2016-09-21,128.39999389648438
2016-09-22,129.17999267578125
2016-09-23,128.08999633789062
2016-09-26,128.0
2016-09-27,128.89999389648438
2016-09-28,127.98999786376952
2016-09-29,129.7899932861328
2016-09-30,132.77000427246094
2016-10-03,132.11000061035156
2016-10-04,131.57000732421875
2016-10-05,131.9600067138672
2016-10-06,132.08999633789062
2016-10-07,131.05999755859375
2016-10-10,131.02000427246094
2016-10-11,128.72999572753906
2016-10-12,129.88999938964844
2016-10-13,127.91000366210938
2016-10-14,128.3699951171875
2016-10-17,127.08999633789062
2016-10-18,128.00999450683594
2016-10-19,128.75999450683594
2016-10-20,127.4800033569336
2016-10-21,126.79000091552734
2016-10-24,127.29000091552734
2016-10-25,126.4499969482422
2016-10-26,126.11000061035156
2016-10-27,125.62999725341795
2016-10-28,125.6500015258789
2016-10-31,125.9000015258789
2016-11-01,124.33000183105467
2016-11-02,122.97000122070312
2016-11-03,123.66999816894533
2016-11-04,116.77999877929688
2016-11-07,117.69000244140624
2016-11-08,118.79000091552734
2016-11-09,118.0
2016-11-10,122.2699966430664
2016-11-11,121.4800033569336
2016-11-14,122.48999786376952
2016-11-15,123.33000183105467
2016-11-16,122.66999816894533
2016-11-17,124.5999984741211
2016-11-18,124.81999969482422
2016-11-21,123.88999938964844
2016-11-22,124.81999969482422
2016-11-23,124.55999755859376
2016-11-25,125.3000030517578
2016-11-28,124.37000274658205
2016-11-29,124.37999725341795
2016-11-30,124.37000274658205
2016-12-01,121.41999816894533
2016-12-02,119.94000244140624
2016-12-05,121.4800033569336
2016-12-06,124.76000213623048
2016-12-07,124.75
2016-12-08,123.0
2016-12-09,122.79000091552734
2016-12-12,121.20999908447266
2016-12-13,124.45999908447266
2016-12-14,122.26000213623048
2016-12-15,122.37000274658205
2016-12-16,122.33000183105467
2016-12-19,123.62999725341795
2016-12-20,123.83999633789062
2016-12-21,122.98999786376952
2016-12-22,122.8499984741211
2016-12-23,124.48999786376952
2016-12-27,124.27999877929688
2016-12-28,122.37999725341795
2016-12-29,122.16999816894533
2016-12-30,122.27999877929688
2017-01-03,123.23999786376952
2017-01-04,124.76000213623048
2017-01-05,125.95999908447266
2017-01-06,126.77999877929688
2017-01-09,126.01000213623048
2017-01-10,126.22000122070312
2017-01-11,125.75
2017-01-12,125.7300033569336
2017-01-13,124.7300033569336
2017-01-17,125.33000183105467
2017-01-18,126.16999816894533
2017-01-19,125.48999786376952
2017-01-20,126.06999969482422
2017-01-23,125.61000061035156
2017-01-24,126.16999816894533
2017-01-25,127.56999969482422
2017-01-26,127.58000183105467
2017-01-27,126.44000244140624
2017-01-30,125.56999969482422
2017-01-31,125.12999725341795
2017-02-01,124.3000030517578
2017-02-02,125.23999786376952
2017-02-03,125.25
2017-02-06,123.66999816894533
2017-02-07,123.44000244140624
2017-02-08,122.98999786376952
2017-02-09,122.54000091552734
2017-02-10,124.06999969482422
2017-02-13,125.13999938964844
2017-02-14,125.16999816894533
2017-02-15,125.43000030517578
2017-02-16,126.4000015258789
2017-02-17,128.35000610351562
2017-02-21,127.75
2017-02-22,127.0
2017-02-23,127.16000366210938
2017-02-24,128.08999633789062
2017-02-27,128.24000549316406
2017-02-28,128.42999267578125
2017-03-01,131.0399932861328
2017-03-02,129.52000427246094
2017-03-03,129.9600067138672
2017-03-06,128.35000610351562
2017-03-07,127.62999725341795
2017-03-08,126.69000244140624
2017-03-09,126.86000061035156
2017-03-10,127.9800033569336
2017-03-13,128.92999267578125
2017-03-14,129.02000427246094
2017-03-15,129.97000122070312
2017-03-16,129.3000030517578
2017-03-17,129.9600067138672
2017-03-20,130.19000244140625
2017-03-21,129.19000244140625
2017-03-22,129.35000610351562
2017-03-23,129.17999267578125
2017-03-24,129.8800048828125
2017-03-27,130.02000427246094
2017-03-28,131.92999267578125
2017-03-29,130.9499969482422
2017-03-30,131.1699981689453
2017-03-31,130.88999938964844
2017-04-03,129.92999267578125
2017-04-04,130.32000732421875
2017-04-05,129.94000244140625
2017-04-06,129.6699981689453
2017-04-07,128.4600067138672
2017-04-10,127.76000213623048
2017-04-11,127.13999938964844
2017-04-12,126.27999877929688
2017-04-13,126.54000091552734
2017-04-17,128.6300048828125
2017-04-18,128.11000061035156
2017-04-19,128.25
2017-04-20,129.86000061035156
2017-04-21,128.0500030517578
2017-04-24,130.0800018310547
2017-04-25,131.7899932861328
2017-04-26,132.52999877929688
2017-04-27,133.0500030517578
2017-04-28,132.6199951171875
2017-05-01,133.22999572753906
2017-05-02,133.7100067138672
2017-05-03,134.00999450683594
2017-05-04,142.33999633789062
2017-05-05,144.1999969482422
2017-05-08,144.2899932861328
2017-05-09,142.11000061035156
2017-05-10,141.9600067138672
2017-05-11,142.4600067138672
2017-05-12,142.32000732421875
2017-05-15,142.47000122070312
2017-05-16,142.64999389648438
2017-05-17,140.6300048828125
2017-05-18,139.85000610351562
2017-05-19,140.05999755859375
2017-05-22,140.67999267578125
2017-05-23,141.22000122070312
