,LVS
2016-01-08,39.0099983215332
2016-01-11,38.9900016784668
2016-01-12,38.90999984741211
2016-01-13,36.970001220703125
2016-01-14,37.45000076293945
2016-01-15,38.720001220703125
2016-01-19,38.43000030517578
2016-01-20,37.209999084472656
2016-01-21,37.63999938964844
2016-01-22,39.02999877929688
2016-01-25,39.11000061035156
2016-01-26,40.869998931884766
2016-01-27,41.59000015258789
2016-01-28,42.790000915527344
2016-01-29,45.09999847412109
2016-02-01,44.630001068115234
2016-02-02,42.20000076293945
2016-02-03,42.560001373291016
2016-02-04,42.68000030517578
2016-02-05,41.97999954223633
2016-02-08,40.52999877929688
2016-02-09,39.58000183105469
2016-02-10,40.130001068115234
2016-02-11,40.25
2016-02-12,44.09000015258789
2016-02-16,45.81999969482422
2016-02-17,46.31999969482422
2016-02-18,46.02000045776367
2016-02-19,45.86000061035156
2016-02-22,47.5099983215332
2016-02-23,47.22999954223633
2016-02-24,46.91999816894531
2016-02-25,47.43999862670898
2016-02-26,47.91999816894531
2016-02-29,48.27999877929688
2016-03-01,50.70000076293945
2016-03-02,51.040000915527344
2016-03-03,52.59999847412109
2016-03-04,51.79999923706055
2016-03-07,50.83000183105469
2016-03-08,48.970001220703125
2016-03-09,50.06999969482422
2016-03-10,50.59999847412109
2016-03-11,51.58000183105469
2016-03-14,52.34000015258789
2016-03-15,51.93999862670898
2016-03-16,53.34999847412109
2016-03-17,54.09000015258789
2016-03-18,53.619998931884766
2016-03-21,53.27000045776367
2016-03-22,53.27999877929688
2016-03-23,52.380001068115234
2016-03-24,52.470001220703125
2016-03-28,51.93999862670898
2016-03-29,52.52999877929688
2016-03-30,52.22999954223633
2016-03-31,51.68000030517578
2016-04-01,51.720001220703125
2016-04-04,50.5099983215332
2016-04-05,49.95000076293945
2016-04-06,49.77999877929688
2016-04-07,50.220001220703125
2016-04-08,49.47999954223633
2016-04-11,49.310001373291016
2016-04-12,49.52999877929688
2016-04-13,50.97999954223633
2016-04-14,50.70000076293945
2016-04-15,50.93999862670898
2016-04-18,51.15999984741211
2016-04-19,52.5
2016-04-20,52.18000030517578
2016-04-21,47.38999938964844
2016-04-22,46.869998931884766
2016-04-25,45.81999969482422
2016-04-26,46.09999847412109
2016-04-27,45.66999816894531
2016-04-28,45.86000061035156
2016-04-29,45.150001525878906
2016-05-02,46.75
2016-05-03,45.77000045776367
2016-05-04,45.209999084472656
2016-05-05,44.45000076293945
2016-05-06,45.4900016784668
2016-05-09,44.95000076293945
2016-05-10,46.119998931884766
2016-05-11,45.459999084472656
2016-05-12,45.63999938964844
2016-05-13,44.88999938964844
2016-05-16,45.58000183105469
2016-05-17,45.41999816894531
2016-05-18,44.84000015258789
2016-05-19,44.31999969482422
2016-05-20,44.9900016784668
2016-05-23,45.04999923706055
2016-05-24,45.54999923706055
2016-05-25,46.29999923706055
2016-05-26,45.41999816894531
2016-05-27,46.18999862670898
2016-05-31,46.2400016784668
2016-06-01,46.36000061035156
2016-06-02,46.77000045776367
2016-06-03,46.75
2016-06-06,46.61000061035156
2016-06-07,47.380001068115234
2016-06-08,47.59999847412109
2016-06-09,47.27000045776367
2016-06-10,46.25
2016-06-13,46.0099983215332
2016-06-14,46.900001525878906
2016-06-15,46.959999084472656
2016-06-16,46.47999954223633
2016-06-17,46.959999084472656
2016-06-20,44.310001373291016
2016-06-21,45.18999862670898
2016-06-22,44.93000030517578
2016-06-23,46.15999984741211
2016-06-24,43.310001373291016
2016-06-27,41.81999969482422
2016-06-28,42.4900016784668
2016-06-29,43.630001068115234
2016-06-30,43.4900016784668
2016-07-01,43.709999084472656
2016-07-05,42.79999923706055
2016-07-06,43.59999847412109
2016-07-07,43.560001373291016
2016-07-08,44.130001068115234
2016-07-11,45.91999816894531
2016-07-12,46.52999877929688
2016-07-13,45.83000183105469
2016-07-14,46.0099983215332
2016-07-15,46.18000030517578
2016-07-18,46.93999862670898
2016-07-19,46.34000015258789
2016-07-20,46.959999084472656
2016-07-21,46.709999084472656
2016-07-22,47.31999969482422
2016-07-25,47.79999923706055
2016-07-26,50.619998931884766
2016-07-27,50.18999862670898
2016-07-28,50.77000045776367
2016-07-29,50.650001525878906
2016-08-01,50.2400016784668
2016-08-02,49.77999877929688
2016-08-03,49.970001220703125
2016-08-04,50.18999862670898
2016-08-05,49.869998931884766
2016-08-08,50.959999084472656
2016-08-09,51.84000015258789
2016-08-10,51.720001220703125
2016-08-11,52.08000183105469
2016-08-12,51.79999923706055
2016-08-15,52.560001373291016
2016-08-16,52.36000061035156
2016-08-17,52.4900016784668
2016-08-18,52.119998931884766
2016-08-19,52.209999084472656
2016-08-22,52.58000183105469
2016-08-23,52.220001220703125
2016-08-24,50.36000061035156
2016-08-25,50.7599983215332
2016-08-26,50.33000183105469
2016-08-29,50.900001525878906
2016-08-30,50.959999084472656
2016-08-31,50.209999084472656
2016-09-01,53.810001373291016
2016-09-02,53.93000030517578
2016-09-06,54.72999954223633
2016-09-07,55.04999923706055
2016-09-08,55.68000030517578
2016-09-09,55.63999938964844
2016-09-12,56.88999938964844
2016-09-13,56.540000915527344
2016-09-14,58.310001373291016
2016-09-15,58.43000030517578
2016-09-16,58.310001373291016
2016-09-19,57.33000183105469
2016-09-20,56.27999877929688
2016-09-21,56.7599983215332
2016-09-22,57.16999816894531
2016-09-23,57.380001068115234
2016-09-26,56.459999084472656
2016-09-27,56.88999938964844
2016-09-28,57.47999954223633
2016-09-29,56.93000030517578
2016-09-30,57.540000915527344
2016-10-03,58.869998931884766
2016-10-04,58.810001373291016
2016-10-05,58.869998931884766
2016-10-06,58.79999923706055
2016-10-07,58.380001068115234
2016-10-10,59.06999969482422
2016-10-11,58.959999084472656
2016-10-12,58.7599983215332
2016-10-13,58.09000015258789
2016-10-14,57.72999954223633
2016-10-17,57.56999969482422
2016-10-18,57.45000076293945
2016-10-19,58.15999984741211
2016-10-20,57.900001525878906
2016-10-21,57.15999984741211
2016-10-24,57.95000076293945
2016-10-25,58.0
2016-10-26,58.02000045776367
2016-10-27,57.040000915527344
2016-10-28,57.75
2016-10-31,57.880001068115234
2016-11-01,58.630001068115234
2016-11-02,57.59000015258789
2016-11-03,56.7400016784668
2016-11-04,59.08000183105469
2016-11-07,58.88999938964844
2016-11-08,59.47999954223633
2016-11-09,59.709999084472656
2016-11-10,58.59000015258789
2016-11-11,58.0
2016-11-14,57.040000915527344
2016-11-15,58.95000076293945
2016-11-16,58.150001525878906
2016-11-17,59.79999923706055
2016-11-18,60.59000015258789
2016-11-21,61.709999084472656
2016-11-22,62.66999816894531
2016-11-23,62.41999816894531
2016-11-25,62.84000015258789
2016-11-28,62.54999923706055
2016-11-29,62.150001525878906
2016-11-30,62.66999816894531
2016-12-01,62.18000030517578
2016-12-02,60.9900016784668
2016-12-05,61.119998931884766
2016-12-06,62.470001220703125
2016-12-07,62.68000030517578
2016-12-08,54.66999816894531
2016-12-09,55.34000015258789
2016-12-12,56.130001068115234
2016-12-13,57.84999847412109
2016-12-14,57.709999084472656
2016-12-15,56.18999862670898
2016-12-16,57.0099983215332
2016-12-19,54.70000076293945
2016-12-20,54.2599983215332
2016-12-21,54.52000045776367
2016-12-22,54.220001220703125
2016-12-23,54.25
2016-12-27,54.18999862670898
2016-12-28,53.869998931884766
2016-12-29,54.060001373291016
2016-12-30,53.40999984741211
2017-01-03,53.33000183105469
2017-01-04,54.97999954223633
2017-01-05,55.08000183105469
2017-01-06,55.470001220703125
2017-01-09,55.709999084472656
2017-01-10,56.61000061035156
2017-01-11,55.68999862670898
2017-01-12,55.459999084472656
2017-01-13,55.27999877929688
2017-01-17,55.9900016784668
2017-01-18,56.040000915527344
2017-01-19,55.84000015258789
2017-01-20,55.7400016784668
2017-01-23,55.470001220703125
2017-01-24,55.959999084472656
2017-01-25,56.650001525878906
2017-01-26,52.40999984741211
2017-01-27,53.31999969482422
2017-01-30,52.79999923706055
2017-01-31,52.58000183105469
2017-02-01,51.75
2017-02-02,51.68999862670898
2017-02-03,51.810001373291016
2017-02-06,51.97999954223633
2017-02-07,51.93999862670898
2017-02-08,52.13999938964844
2017-02-09,52.93000030517578
2017-02-10,52.7400016784668
2017-02-13,53.15999984741211
2017-02-14,53.060001373291016
2017-02-15,53.0
2017-02-16,52.5099983215332
2017-02-17,52.02999877929688
2017-02-21,52.040000915527344
2017-02-22,51.970001220703125
2017-02-23,51.77000045776367
2017-02-24,52.16999816894531
2017-02-27,52.90999984741211
2017-02-28,52.95000076293945
2017-03-01,54.959999084472656
2017-03-02,53.65999984741211
2017-03-03,53.84000015258789
2017-03-06,54.310001373291016
2017-03-07,54.29999923706055
2017-03-08,53.97999954223633
2017-03-09,53.75
2017-03-10,54.209999084472656
2017-03-13,55.16999816894531
2017-03-14,55.560001373291016
2017-03-15,56.09999847412109
2017-03-16,56.52000045776367
2017-03-17,57.16999816894531
2017-03-20,57.36000061035156
