,LNT
2023-08-01,53.29999923706055
2023-08-02,53.27999877929688
2023-08-03,51.7599983215332
2023-08-04,51.29999923706055
2023-08-07,51.33000183105469
2023-08-08,51.52000045776367
2023-08-09,51.470001220703125
2023-08-10,51.59999847412109
2023-08-11,51.86000061035156
2023-08-14,51.11000061035156
2023-08-15,50.310001373291016
2023-08-16,50.5099983215332
2023-08-17,50.2599983215332
2023-08-18,50.619998931884766
2023-08-21,50.27999877929688
2023-08-22,50.400001525878906
2023-08-23,50.54999923706055
2023-08-24,50.27999877929688
2023-08-25,50.77999877929688
2023-08-28,50.68999862670898
2023-08-29,50.84999847412109
2023-08-30,50.83000183105469
2023-08-31,50.16999816894531
2023-09-01,49.790000915527344
2023-09-05,49.22999954223633
2023-09-06,49.59999847412109
2023-09-07,50.43000030517578
2023-09-08,50.7400016784668
2023-09-11,50.790000915527344
2023-09-12,50.720001220703125
2023-09-13,51.540000915527344
2023-09-14,52.09000015258789
2023-09-15,51.77999877929688
2023-09-18,52.18999862670898
2023-09-19,52.02000045776367
2023-09-20,51.9900016784668
2023-09-21,51.33000183105469
2023-09-22,51.25
2023-09-25,51.04999923706055
2023-09-26,49.2599983215332
2023-09-27,48.54999923706055
2023-09-28,48.060001373291016
2023-09-29,48.45000076293945
2023-10-02,46.2400016784668
2023-10-03,46.790000915527344
2023-10-04,47.4900016784668
2023-10-05,47.61000061035156
2023-10-06,48.380001068115234
2023-10-09,48.56999969482422
2023-10-10,49.150001525878906
2023-10-11,49.68999862670898
2023-10-12,49.25
2023-10-13,49.75
2023-10-16,50.25
2023-10-17,50.02000045776367
2023-10-18,49.81999969482422
2023-10-19,49.45000076293945
2023-10-20,48.81999969482422
2023-10-23,48.5
2023-10-24,49.43999862670898
2023-10-25,49.540000915527344
2023-10-26,49.790000915527344
2023-10-27,48.93000030517578
2023-10-30,48.47999954223633
2023-10-31,48.790000915527344
2023-11-01,49.5
2023-11-02,50.2599983215332
2023-11-03,51.09999847412109
2023-11-06,50.43999862670898
2023-11-07,50.0
2023-11-08,49.61000061035156
2023-11-09,48.61000061035156
2023-11-10,48.56999969482422
2023-11-13,47.61000061035156
2023-11-14,49.119998931884766
2023-11-15,49.31999969482422
2023-11-16,49.47999954223633
2023-11-17,49.22999954223633
2023-11-20,49.11000061035156
2023-11-21,49.09000015258789
2023-11-22,49.540000915527344
2023-11-24,49.75
2023-11-27,49.959999084472656
2023-11-28,50.119998931884766
2023-11-29,49.93999862670898
2023-11-30,50.56999969482422
2023-12-01,51.4900016784668
2023-12-04,51.400001525878906
2023-12-05,51.25
2023-12-06,52.09999847412109
2023-12-07,51.81999969482422
2023-12-08,51.380001068115234
2023-12-11,51.5099983215332
2023-12-12,51.38999938964844
2023-12-13,53.380001068115234
2023-12-14,52.18999862670898
2023-12-15,50.619998931884766
2023-12-18,50.86000061035156
2023-12-19,51.2400016784668
2023-12-20,50.25
2023-12-21,50.56999969482422
2023-12-22,50.93999862670898
2023-12-26,50.93000030517578
2023-12-27,50.84000015258789
2023-12-28,51.31999969482422
2023-12-29,51.29999923706055
