,KKR
2017-08-17,18.030000686645508
2017-08-18,18.13999938964844
2017-08-21,18.13999938964844
2017-08-22,18.63999938964844
2017-08-23,18.56999969482422
2017-08-24,18.31999969482422
2017-08-25,18.440000534057617
2017-08-28,18.649999618530277
2017-08-29,18.440000534057617
2017-08-30,18.950000762939453
2017-08-31,19.01000022888184
2017-09-01,18.979999542236328
2017-09-05,18.350000381469727
2017-09-06,18.31999969482422
2017-09-07,18.26000022888184
2017-09-08,18.15999984741211
2017-09-11,18.65999984741211
2017-09-12,18.76000022888184
2017-09-13,18.57999992370605
2017-09-14,18.700000762939453
2017-09-15,18.93000030517578
2017-09-18,18.940000534057617
2017-09-19,19.09000015258789
2017-09-20,19.25
2017-09-21,19.309999465942383
2017-09-22,19.729999542236328
2017-09-25,19.709999084472656
2017-09-26,19.799999237060547
2017-09-27,19.90999984741211
2017-09-28,19.989999771118164
2017-09-29,20.32999992370605
2017-10-02,20.229999542236328
2017-10-03,20.280000686645508
2017-10-04,20.36000061035156
2017-10-05,20.5
2017-10-06,20.299999237060547
2017-10-09,20.200000762939453
2017-10-10,20.25
2017-10-11,20.239999771118164
2017-10-12,20.030000686645508
2017-10-13,19.90999984741211
2017-10-16,20.200000762939453
2017-10-17,20.18000030517578
2017-10-18,20.21999931335449
2017-10-19,20.36000061035156
2017-10-20,20.3799991607666
2017-10-23,20.3700008392334
2017-10-24,20.75
2017-10-25,20.520000457763672
2017-10-26,20.299999237060547
2017-10-27,20.350000381469727
2017-10-30,20.049999237060547
2017-10-31,20.049999237060547
2017-11-01,19.90999984741211
2017-11-02,19.899999618530277
2017-11-03,20.020000457763672
2017-11-06,20.06999969482422
2017-11-07,19.989999771118164
2017-11-08,19.76000022888184
2017-11-09,19.5
2017-11-10,19.26000022888184
2017-11-13,19.229999542236328
2017-11-14,19.200000762939453
2017-11-15,19.21999931335449
2017-11-16,19.549999237060547
2017-11-17,19.559999465942383
2017-11-20,19.5
2017-11-21,19.5
2017-11-22,19.520000457763672
2017-11-24,19.51000022888184
2017-11-27,19.489999771118164
2017-11-28,19.6299991607666
2017-11-29,19.780000686645508
2017-11-30,19.920000076293945
2017-12-01,19.8799991607666
2017-12-04,19.950000762939453
2017-12-05,19.57999992370605
2017-12-06,19.190000534057617
2017-12-07,19.65999984741211
2017-12-08,19.989999771118164
2017-12-11,20.18000030517578
2017-12-12,20.11000061035156
2017-12-13,19.940000534057617
2017-12-14,19.93000030517578
2017-12-15,20.100000381469727
2017-12-18,20.6299991607666
2017-12-19,20.770000457763672
2017-12-20,20.90999984741211
2017-12-21,21.149999618530277
2017-12-22,21.18000030517578
2017-12-26,20.989999771118164
2017-12-27,21.06999969482422
2017-12-28,21.1299991607666
2017-12-29,21.059999465942383
2018-01-02,21.51000022888184
2018-01-03,21.96999931335449
2018-01-04,21.989999771118164
2018-01-05,21.920000076293945
2018-01-08,22.030000686645508
2018-01-09,22.670000076293945
2018-01-10,22.850000381469727
2018-01-11,23.030000686645508
2018-01-12,23.07999992370605
2018-01-16,22.790000915527344
2018-01-17,22.850000381469727
2018-01-18,22.549999237060547
2018-01-19,22.770000457763672
2018-01-22,23.020000457763672
2018-01-23,23.76000022888184
2018-01-24,23.989999771118164
2018-01-25,24.40999984741211
2018-01-26,24.399999618530277
2018-01-29,24.25
2018-01-30,23.959999084472656
2018-01-31,24.07999992370605
2018-02-01,24.309999465942383
2018-02-02,23.479999542236328
2018-02-05,21.940000534057617
2018-02-06,22.06999969482422
2018-02-07,22.190000534057617
2018-02-08,21.07999992370605
2018-02-09,21.190000534057617
2018-02-12,21.530000686645508
2018-02-13,21.25
2018-02-14,21.59000015258789
2018-02-15,22.479999542236328
2018-02-16,22.229999542236328
2018-02-20,21.8700008392334
2018-02-21,21.88999938964844
2018-02-22,21.780000686645508
2018-02-23,21.959999084472656
2018-02-26,22.059999465942383
2018-02-27,21.540000915527344
2018-02-28,21.459999084472656
2018-03-01,21.43000030517578
2018-03-02,21.559999465942383
2018-03-05,21.979999542236328
2018-03-06,22.280000686645508
2018-03-07,22.190000534057617
2018-03-08,22.1200008392334
