,RVTY
2016-05-18,54.22999954223633
2016-05-19,53.970001220703125
2016-05-20,53.95000076293945
2016-05-23,53.900001525878906
2016-05-24,54.97999954223633
2016-05-25,55.560001373291016
2016-05-26,54.970001220703125
2016-05-27,54.9900016784668
2016-05-31,54.75
2016-06-01,54.81999969482422
2016-06-02,54.91999816894531
2016-06-03,54.58000183105469
2016-06-06,54.63999938964844
2016-06-07,54.34000015258789
2016-06-08,54.9900016784668
2016-06-09,54.290000915527344
2016-06-10,53.68999862670898
2016-06-13,53.09999847412109
2016-06-14,53.25
2016-06-15,52.900001525878906
2016-06-16,52.72999954223633
2016-06-17,52.34999847412109
2016-06-20,53.150001525878906
2016-06-21,52.93000030517578
2016-06-22,53.2400016784668
2016-06-23,54.22999954223633
2016-06-24,51.869998931884766
2016-06-27,50.43999862670898
2016-06-28,50.86000061035156
2016-06-29,51.619998931884766
2016-06-30,52.41999816894531
2016-07-01,52.65999984741211
2016-07-05,52.04999923706055
2016-07-06,52.45000076293945
2016-07-07,52.59000015258789
2016-07-08,53.95000076293945
2016-07-11,53.959999084472656
2016-07-12,54.75
2016-07-13,55.66999816894531
2016-07-14,55.88999938964844
2016-07-15,55.380001068115234
2016-07-18,55.22999954223633
2016-07-19,55.08000183105469
2016-07-20,55.650001525878906
2016-07-21,55.18999862670898
2016-07-22,55.33000183105469
2016-07-25,54.790000915527344
2016-07-26,55.43999862670898
2016-07-27,55.810001373291016
2016-07-28,55.59000015258789
2016-07-29,56.91999816894531
2016-08-01,56.68999862670898
2016-08-02,55.90999984741211
2016-08-03,55.75
2016-08-04,55.720001220703125
2016-08-05,54.84999847412109
2016-08-08,54.59000015258789
2016-08-09,54.720001220703125
2016-08-10,54.540000915527344
2016-08-11,54.720001220703125
2016-08-12,54.40999984741211
2016-08-15,54.61000061035156
2016-08-16,54.709999084472656
2016-08-17,54.90999984741211
2016-08-18,54.959999084472656
2016-08-19,55.29999923706055
2016-08-22,55.09999847412109
2016-08-23,55.93999862670898
2016-08-24,54.09000015258789
2016-08-25,54.08000183105469
2016-08-26,54.06999969482422
2016-08-29,54.40999984741211
2016-08-30,53.7599983215332
2016-08-31,53.25
2016-09-01,53.2599983215332
2016-09-02,53.459999084472656
