,ARES
2016-08-23,17.610000610351562
2016-08-24,17.549999237060547
2016-08-25,17.485000610351562
2016-08-26,17.489999771118164
2016-08-29,17.6299991607666
2016-08-30,18.0
2016-08-31,18.280000686645508
2016-09-01,18.920000076293945
2016-09-02,18.11000061035156
2016-09-06,18.25
2016-09-07,18.100000381469727
2016-09-08,18.31999969482422
2016-09-09,18.239999771118164
2016-09-12,18.520000457763672
2016-09-13,18.75
2016-09-14,18.530000686645508
2016-09-15,18.600000381469727
2016-09-16,18.81999969482422
2016-09-19,19.0
2016-09-20,19.200000762939453
2016-09-21,18.420000076293945
2016-09-22,18.600000381469727
2016-09-23,18.670000076293945
2016-09-26,18.8700008392334
2016-09-27,18.600000381469727
2016-09-28,18.950000762939453
2016-09-29,18.64999961853028
2016-09-30,17.40999984741211
2016-10-03,18.020000457763672
2016-10-04,18.059999465942383
2016-10-05,18.520000457763672
2016-10-06,18.989999771118164
2016-10-07,18.36000061035156
2016-10-10,18.549999237060547
2016-10-11,18.549999237060547
2016-10-12,18.64999961853028
2016-10-13,18.950000762939453
2016-10-14,18.0
2016-10-17,17.649999618530273
2016-10-18,17.899999618530273
2016-10-19,17.5
2016-10-20,17.100000381469727
2016-10-21,17.100000381469727
2016-10-24,17.020000457763672
2016-10-25,17.149999618530273
2016-10-26,16.75
2016-10-27,17.200000762939453
2016-10-28,17.0
2016-10-31,16.75
2016-11-01,16.149999618530273
2016-11-02,15.149999618530272
2016-11-03,15.699999809265137
2016-11-04,15.5
2016-11-07,15.350000381469728
2016-11-08,15.350000381469728
2016-11-09,15.399999618530272
2016-11-10,16.850000381469727
2016-11-11,16.899999618530273
2016-11-14,16.899999618530273
2016-11-15,16.75
2016-11-16,16.549999237060547
2016-11-17,16.850000381469727
2016-11-18,17.5
2016-11-21,18.1200008392334
2016-11-22,18.100000381469727
2016-11-23,17.600000381469727
2016-11-25,17.469999313354492
2016-11-28,17.0
2016-11-29,16.850000381469727
2016-11-30,17.100000381469727
2016-12-01,17.049999237060547
2016-12-02,16.799999237060547
2016-12-05,17.0
2016-12-06,17.0
2016-12-07,17.049999237060547
2016-12-08,17.350000381469727
2016-12-09,16.799999237060547
2016-12-12,16.950000762939453
2016-12-13,16.0
2016-12-14,16.25
2016-12-15,15.75
2016-12-16,16.100000381469727
2016-12-19,16.219999313354492
2016-12-20,16.5
2016-12-21,17.0
2016-12-22,18.18000030517578
2016-12-23,18.450000762939453
2016-12-27,18.100000381469727
2016-12-28,17.850000381469727
2016-12-29,17.850000381469727
2016-12-30,19.200000762939453
2017-01-03,18.64999961853028
2017-01-04,18.950000762939453
2017-01-05,18.950000762939453
2017-01-06,19.049999237060547
2017-01-09,18.049999237060547
2017-01-10,17.899999618530273
2017-01-11,17.75
2017-01-12,17.649999618530273
2017-01-13,17.549999237060547
2017-01-17,17.200000762939453
2017-01-18,18.0
2017-01-19,19.89999961853028
2017-01-20,20.299999237060547
2017-01-23,20.89999961853028
2017-01-24,20.200000762939453
2017-01-25,19.850000381469727
2017-01-26,19.75
2017-01-27,19.700000762939453
2017-01-30,19.450000762939453
2017-01-31,19.64999961853028
2017-02-01,19.850000381469727
2017-02-02,19.600000381469727
2017-02-03,19.549999237060547
2017-02-06,19.600000381469727
2017-02-07,18.950000762939453
2017-02-08,19.299999237060547
2017-02-09,19.850000381469727
2017-02-10,20.799999237060547
2017-02-13,21.0
2017-02-14,20.89999961853028
2017-02-15,21.13999938964844
2017-02-16,21.040000915527344
2017-02-17,21.049999237060547
2017-02-21,21.75
2017-02-22,22.299999237060547
2017-02-23,23.049999237060547
2017-02-24,23.25
2017-02-27,21.799999237060547
2017-02-28,21.600000381469727
2017-03-01,22.0
2017-03-02,19.850000381469727
2017-03-03,19.75
2017-03-06,19.5
2017-03-07,19.450000762939453
2017-03-08,19.0
2017-03-09,19.0
2017-03-10,19.0
2017-03-13,19.049999237060547
2017-03-14,19.0
2017-03-15,18.75
2017-03-16,18.549999237060547
2017-03-17,18.549999237060547
2017-03-20,18.64999961853028
2017-03-21,18.36000061035156
2017-03-22,18.450000762939453
2017-03-23,18.350000381469727
2017-03-24,18.299999237060547
2017-03-27,18.25
2017-03-28,18.600000381469727
2017-03-29,18.950000762939453
2017-03-30,18.75
2017-03-31,18.950000762939453
2017-04-03,18.700000762939453
2017-04-04,19.200000762939453
2017-04-05,18.799999237060547
2017-04-06,18.549999237060547
2017-04-07,19.200000762939453
2017-04-10,19.14999961853028
2017-04-11,19.350000381469727
2017-04-12,19.25
2017-04-13,19.299999237060547
2017-04-17,19.200000762939453
2017-04-18,19.200000762939453
2017-04-19,19.170000076293945
2017-04-20,19.299999237060547
2017-04-21,19.200000762939453
2017-04-24,19.290000915527344
2017-04-25,19.200000762939453
2017-04-26,19.350000381469727
2017-04-27,19.700000762939453
2017-04-28,19.64999961853028
2017-05-01,19.600000381469727
2017-05-02,19.25
2017-05-03,18.64999961853028
2017-05-04,18.049999237060547
2017-05-05,18.950000762939453
2017-05-08,18.75
2017-05-09,18.299999237060547
2017-05-10,18.100000381469727
2017-05-11,18.850000381469727
2017-05-12,18.850000381469727
2017-05-15,18.950000762939453
2017-05-16,18.799999237060547
2017-05-17,18.14999961853028
2017-05-18,18.5
2017-05-19,18.350000381469727
2017-05-22,18.700000762939453
2017-05-23,18.51000022888184
2017-05-24,18.450000762939453
2017-05-25,18.299999237060547
2017-05-26,18.450000762939453
2017-05-30,18.200000762939453
2017-05-31,18.049999237060547
2017-06-01,18.049999237060547
2017-06-02,17.899999618530273
2017-06-05,17.950000762939453
2017-06-06,18.14999961853028
2017-06-07,18.100000381469727
2017-06-08,18.25
2017-06-09,18.200000762939453
2017-06-12,18.0
2017-06-13,18.0
2017-06-14,17.850000381469727
2017-06-15,17.700000762939453
2017-06-16,17.899999618530273
2017-06-19,17.899999618530273
2017-06-20,17.649999618530273
2017-06-21,17.549999237060547
2017-06-22,17.5
2017-06-23,17.850000381469727
2017-06-26,18.0
2017-06-27,17.950000762939453
2017-06-28,18.07999992370605
2017-06-29,17.899999618530273
2017-06-30,18.0
2017-07-03,18.299999237060547
2017-07-05,18.200000762939453
2017-07-06,18.049999237060547
2017-07-07,18.049999237060547
2017-07-10,18.049999237060547
2017-07-11,18.049999237060547
2017-07-12,18.299999237060547
2017-07-13,18.200000762939453
2017-07-14,18.25
2017-07-17,18.350000381469727
2017-07-18,18.5
2017-07-19,18.549999237060547
2017-07-20,18.700000762939453
2017-07-21,18.75
2017-07-24,18.600000381469727
2017-07-25,18.450000762939453
2017-07-26,18.600000381469727
2017-07-27,18.5
2017-07-28,18.450000762939453
2017-07-31,18.5
2017-08-01,18.450000762939453
2017-08-02,18.25
2017-08-03,18.25
2017-08-04,18.200000762939453
2017-08-07,18.200000762939453
2017-08-08,18.14999961853028
2017-08-09,18.25
2017-08-10,18.0
2017-08-11,17.899999618530273
2017-08-14,18.100000381469727
2017-08-15,18.0
2017-08-16,17.899999618530273
2017-08-17,17.75
2017-08-18,17.700000762939453
2017-08-21,17.75
2017-08-22,17.850000381469727
2017-08-23,17.950000762939453
2017-08-24,17.950000762939453
2017-08-25,18.049999237060547
2017-08-28,18.200000762939453
2017-08-29,18.14999961853028
2017-08-30,18.14999961853028
2017-08-31,18.14999961853028
2017-09-01,18.200000762939453
2017-09-05,17.899999618530273
2017-09-06,17.850000381469727
2017-09-07,17.799999237060547
2017-09-08,17.799999237060547
2017-09-11,18.0
2017-09-12,18.239999771118164
2017-09-13,18.14999961853028
2017-09-14,18.049999237060547
2017-09-15,18.299999237060547
2017-09-18,18.39999961853028
2017-09-19,18.299999237060547
2017-09-20,18.350000381469727
2017-09-21,18.25
2017-09-22,18.600000381469727
2017-09-25,18.75
2017-09-26,18.549999237060547
2017-09-27,18.5
2017-09-28,18.39999961853028
2017-09-29,18.64999961853028
2017-10-02,18.75
2017-10-03,18.850000381469727
2017-10-04,18.89999961853028
2017-10-05,18.950000762939453
2017-10-06,18.75
2017-10-09,18.700000762939453
2017-10-10,18.600000381469727
2017-10-11,18.39999961853028
2017-10-12,18.25
2017-10-13,18.39999961853028
2017-10-16,18.64999961853028
