,CASY
2022-10-27,227.63999938964844
2022-10-28,231.3500061035156
2022-10-31,232.7100067138672
2022-11-01,230.5599975585937
2022-11-02,227.4499969482422
2022-11-03,227.2100067138672
2022-11-04,224.94000244140625
2022-11-07,230.91000366210932
2022-11-08,233.22000122070312
2022-11-09,233.3999938964844
2022-11-10,239.1300048828125
2022-11-11,232.9499969482422
2022-11-14,234.6999969482422
2022-11-15,236.41000366210932
2022-11-16,240.58999633789065
2022-11-17,237.1199951171875
2022-11-18,239.72000122070312
2022-11-21,239.27999877929688
2022-11-22,241.759994506836
2022-11-23,239.0200042724609
2022-11-25,241.5
2022-11-28,240.3300018310547
2022-11-29,237.0599975585937
2022-11-30,243.0200042724609
2022-12-01,234.7899932861328
2022-12-02,234.1199951171875
2022-12-05,230.6499938964844
2022-12-06,229.9600067138672
2022-12-07,246.9499969482422
2022-12-08,248.6300048828125
2022-12-09,243.13999938964844
2022-12-12,245.3699951171875
2022-12-13,244.509994506836
2022-12-14,244.6499938964844
2022-12-15,241.8500061035156
2022-12-16,240.1000061035156
2022-12-19,233.97000122070312
2022-12-20,232.9600067138672
2022-12-21,235.41000366210932
2022-12-22,233.8300018310547
2022-12-23,235.25
2022-12-27,230.5599975585937
2022-12-28,227.25
2022-12-29,226.6999969482422
2022-12-30,224.3500061035156
2023-01-03,220.9499969482422
2023-01-04,219.57000732421875
2023-01-05,217.6000061035156
2023-01-06,222.9600067138672
2023-01-09,223.44000244140625
2023-01-10,219.17999267578125
2023-01-11,220.9199981689453
2023-01-12,221.0800018310547
2023-01-13,224.7700042724609
2023-01-17,229.9499969482422
2023-01-18,228.5
2023-01-19,230.22000122070312
2023-01-20,227.4600067138672
2023-01-23,227.72000122070312
2023-01-24,228.4499969482422
2023-01-25,230.6699981689453
2023-01-26,230.63999938964844
2023-01-27,228.0599975585937
2023-01-30,230.3800048828125
2023-01-31,235.91000366210932
2023-02-01,232.6000061035156
2023-02-02,224.2700042724609
2023-02-03,223.77999877929688
2023-02-06,223.5399932861328
2023-02-07,224.7400054931641
2023-02-08,224.7899932861328
2023-02-09,219.3300018310547
2023-02-10,222.1199951171875
2023-02-13,223.0500030517578
2023-02-14,220.3000030517578
2023-02-15,223.42999267578125
2023-02-16,220.5500030517578
2023-02-17,217.3099975585937
2023-02-21,217.8800048828125
2023-02-22,216.44000244140625
2023-02-23,214.13999938964844
2023-02-24,212.6300048828125
2023-02-27,210.72000122070312
2023-02-28,207.9499969482422
2023-03-01,210.3699951171875
2023-03-02,211.2400054931641
2023-03-03,213.17999267578125
2023-03-06,211.72000122070312
2023-03-07,209.6999969482422
2023-03-08,217.82000732421875
2023-03-09,217.7700042724609
2023-03-10,211.72000122070312
2023-03-13,210.3999938964844
2023-03-14,209.1499938964844
2023-03-15,207.6499938964844
2023-03-16,208.17999267578125
2023-03-17,205.6999969482422
2023-03-20,207.8699951171875
2023-03-21,209.82000732421875
2023-03-22,208.8999938964844
2023-03-23,206.72999572753903
2023-03-24,209.6199951171875
2023-03-27,211.8699951171875
2023-03-28,215.22999572753903
2023-03-29,213.75
2023-03-30,214.42999267578125
2023-03-31,216.4600067138672
2023-04-03,217.2700042724609
2023-04-04,214.3000030517578
2023-04-05,214.72999572753903
2023-04-06,215.0599975585937
2023-04-10,217.9199981689453
2023-04-11,222.88999938964844
2023-04-12,223.25
2023-04-13,223.2700042724609
2023-04-14,226.4499969482422
2023-04-17,228.25
2023-04-18,226.2899932861328
2023-04-19,227.3099975585937
2023-04-20,228.38999938964844
2023-04-21,224.58999633789065
2023-04-24,226.33999633789065
2023-04-25,223.4199981689453
2023-04-26,222.8000030517578
2023-04-27,227.1999969482422
2023-04-28,228.82000732421875
2023-05-01,232.83999633789065
2023-05-02,235.8800048828125
2023-05-03,238.9199981689453
2023-05-04,237.91000366210932
2023-05-05,233.66000366210932
2023-05-08,230.1100006103516
2023-05-09,233.1000061035156
2023-05-10,233.6499938964844
2023-05-11,230.47999572753903
2023-05-12,236.0599975585937
2023-05-15,232.92999267578125
2023-05-16,226.8600006103516
2023-05-17,229.8099975585937
2023-05-18,229.0399932861328
2023-05-19,229.16000366210932
2023-05-22,229.5200042724609
2023-05-23,227.22000122070312
2023-05-24,229.6999969482422
2023-05-25,231.91000366210932
2023-05-26,230.259994506836
2023-05-30,229.4499969482422
2023-05-31,225.6499938964844
2023-06-01,225.16000366210932
2023-06-02,229.0500030517578
2023-06-05,227.9199981689453
2023-06-06,224.259994506836
2023-06-07,217.67999267578125
2023-06-08,219.8099975585937
2023-06-09,218.16000366210932
2023-06-12,220.25
2023-06-13,220.66000366210932
2023-06-14,220.32000732421875
2023-06-15,222.5800018310547
2023-06-16,219.6199951171875
2023-06-20,218.52999877929688
2023-06-21,221.0
2023-06-22,223.5399932861328
2023-06-23,224.66000366210932
2023-06-26,223.0599975585937
2023-06-27,227.72999572753903
2023-06-28,235.44000244140625
2023-06-29,239.509994506836
2023-06-30,243.8800048828125
