,HLT
2021-01-13,111.87000274658205
2021-01-14,112.11000061035156
2021-01-15,108.41000366210938
2021-01-19,107.93000030517578
2021-01-20,107.6999969482422
2021-01-21,108.81999969482422
2021-01-22,104.95999908447266
2021-01-25,105.12000274658205
2021-01-26,104.66999816894533
2021-01-27,98.66999816894533
2021-01-28,104.0
2021-01-29,101.38999938964844
2021-02-01,101.91999816894533
2021-02-02,105.79000091552734
2021-02-03,106.5999984741211
2021-02-04,110.5199966430664
2021-02-05,111.66999816894533
2021-02-08,112.31999969482422
2021-02-09,110.3499984741211
2021-02-10,109.33999633789062
2021-02-11,109.5
2021-02-12,112.13999938964844
2021-02-16,113.61000061035156
2021-02-17,111.43000030517578
2021-02-18,114.12000274658205
2021-02-19,116.91000366210938
2021-02-22,119.95999908447266
2021-02-23,121.9499969482422
2021-02-24,127.26000213623048
2021-02-25,122.9800033569336
2021-02-26,123.68000030517578
2021-03-01,123.76000213623048
2021-03-02,124.25
2021-03-03,123.12999725341795
2021-03-04,120.72000122070312
2021-03-05,122.87000274658205
2021-03-08,125.41000366210938
2021-03-09,124.12000274658205
2021-03-10,124.51000213623048
2021-03-11,124.66000366210938
2021-03-12,126.0999984741211
2021-03-15,127.26000213623048
2021-03-16,123.95999908447266
2021-03-17,127.13999938964844
2021-03-18,125.63999938964844
2021-03-19,124.38999938964844
2021-03-22,122.91999816894533
2021-03-23,118.9000015258789
2021-03-24,118.5
2021-03-25,120.4000015258789
2021-03-26,121.12000274658205
2021-03-29,119.0500030517578
2021-03-30,122.05999755859376
2021-03-31,120.91999816894533
2021-04-01,121.6500015258789
2021-04-05,125.4000015258789
2021-04-06,126.66000366210938
2021-04-07,124.5199966430664
2021-04-08,124.75
2021-04-09,124.3499984741211
2021-04-12,125.27999877929688
2021-04-13,126.11000061035156
2021-04-14,126.5199966430664
2021-04-15,127.27999877929688
2021-04-16,128.0500030517578
2021-04-19,125.93000030517578
2021-04-20,122.22000122070312
2021-04-21,123.91000366210938
2021-04-22,125.5
2021-04-23,127.4000015258789
2021-04-26,127.56999969482422
2021-04-27,130.00999450683594
2021-04-28,129.11000061035156
2021-04-29,130.38999938964844
2021-04-30,128.6999969482422
2021-05-03,128.6699981689453
2021-05-04,128.25
2021-05-05,122.62000274658205
2021-05-06,120.7699966430664
2021-05-07,123.44000244140624
2021-05-10,121.58000183105467
2021-05-11,121.83000183105467
2021-05-12,118.29000091552734
2021-05-13,120.16000366210938
2021-05-14,123.61000061035156
2021-05-17,121.70999908447266
2021-05-18,120.79000091552734
2021-05-19,120.56999969482422
2021-05-20,120.58000183105467
2021-05-21,120.9800033569336
2021-05-24,123.58999633789062
2021-05-25,123.8000030517578
2021-05-26,126.22000122070312
2021-05-27,126.2699966430664
2021-05-28,125.2699966430664
2021-06-01,126.61000061035156
2021-06-02,125.16999816894533
2021-06-03,123.12999725341795
2021-06-04,124.75
2021-06-07,124.9000015258789
2021-06-08,127.83999633789062
2021-06-09,126.4499969482422
2021-06-10,126.58999633789062
2021-06-11,128.61000061035156
2021-06-14,128.61000061035156
2021-06-15,129.25
2021-06-16,126.93000030517578
2021-06-17,126.23999786376952
2021-06-18,123.72000122070312
2021-06-21,126.73999786376952
2021-06-22,126.0999984741211
2021-06-23,125.68000030517578
2021-06-24,124.51000213623048
2021-06-25,124.4800033569336
2021-06-28,120.72000122070312
2021-06-29,118.9499969482422
2021-06-30,120.62000274658205
2021-07-01,123.62000274658205
2021-07-02,126.80999755859376
2021-07-06,125.83000183105467
2021-07-07,124.4499969482422
2021-07-08,123.12999725341795
2021-07-09,126.0500030517578
2021-07-12,125.8499984741211
2021-07-13,123.45999908447266
2021-07-14,123.87000274658205
2021-07-15,122.9000015258789
2021-07-16,119.75
2021-07-19,117.01000213623048
2021-07-20,120.9000015258789
2021-07-21,124.93000030517578
2021-07-22,123.20999908447266
2021-07-23,125.26000213623048
2021-07-26,126.66999816894533
2021-07-27,128.5
2021-07-28,129.52999877929688
2021-07-29,134.5
2021-07-30,131.4499969482422
2021-08-02,127.87000274658205
2021-08-03,126.08000183105467
2021-08-04,124.38999938964844
2021-08-05,126.4000015258789
2021-08-06,126.66000366210938
2021-08-09,124.61000061035156
2021-08-10,126.3499984741211
2021-08-11,125.02999877929688
2021-08-12,123.43000030517578
2021-08-13,122.20999908447266
2021-08-16,121.48999786376952
2021-08-17,119.98999786376952
2021-08-18,119.0
2021-08-19,119.2300033569336
2021-08-20,121.7699966430664
2021-08-23,123.02999877929688
2021-08-24,126.86000061035156
2021-08-25,127.31999969482422
2021-08-26,125.62000274658205
2021-08-27,127.55999755859376
2021-08-30,125.72000122070312
2021-08-31,124.86000061035156
2021-09-01,125.31999969482422
2021-09-02,124.38999938964844
2021-09-03,123.08000183105467
2021-09-07,123.37000274658205
2021-09-08,122.76000213623048
2021-09-09,125.75
2021-09-10,127.4000015258789
2021-09-13,130.2100067138672
2021-09-14,131.82000732421875
2021-09-15,131.39999389648438
2021-09-16,132.02000427246094
2021-09-17,131.2100067138672
2021-09-20,128.8300018310547
2021-09-21,127.81999969482422
2021-09-22,129.19000244140625
2021-09-23,134.49000549316406
