,IEX
2016-01-22,70.0199966430664
2016-01-25,68.33000183105469
2016-01-26,70.25
2016-01-27,70.94999694824219
2016-01-28,69.5
2016-01-29,72.51000213623047
2016-02-01,71.44999694824219
2016-02-02,70.48999786376953
2016-02-03,71.83999633789062
2016-02-04,73.08999633789062
2016-02-05,72.76000213623047
2016-02-08,72.04000091552734
2016-02-09,71.47000122070312
2016-02-10,71.25
2016-02-11,70.87000274658203
2016-02-12,71.76000213623047
2016-02-16,73.19999694824219
2016-02-17,73.88999938964844
2016-02-18,74.6500015258789
2016-02-19,74.73999786376953
2016-02-22,75.79000091552734
2016-02-23,74.81999969482422
2016-02-24,74.95999908447266
2016-02-25,74.98999786376953
2016-02-26,75.72000122070312
2016-02-29,75.16000366210938
2016-03-01,76.80000305175781
2016-03-02,77.01000213623047
2016-03-03,77.77999877929688
2016-03-04,78.16000366210938
2016-03-07,78.41999816894531
2016-03-08,77.2699966430664
2016-03-09,77.37999725341797
2016-03-10,77.19999694824219
2016-03-11,78.12999725341797
2016-03-14,77.95999908447266
2016-03-15,78.12999725341797
2016-03-16,79.31999969482422
2016-03-17,80.87000274658203
2016-03-18,81.51000213623047
2016-03-21,82.45999908447266
2016-03-22,82.91999816894531
2016-03-23,81.87000274658203
2016-03-24,82.16999816894531
2016-03-28,82.36000061035156
2016-03-29,83.62999725341797
2016-03-30,83.41000366210938
2016-03-31,82.87999725341797
2016-04-01,84.01000213623047
2016-04-04,82.0
2016-04-05,81.04000091552734
2016-04-06,81.18000030517578
2016-04-07,80.80999755859375
2016-04-08,81.4000015258789
2016-04-11,81.56999969482422
2016-04-12,82.26000213623047
2016-04-13,83.88999938964844
2016-04-14,83.41000366210938
2016-04-15,83.47000122070312
2016-04-18,84.25
2016-04-19,84.12000274658203
2016-04-20,83.62000274658203
2016-04-21,83.29000091552734
2016-04-22,83.4800033569336
2016-04-25,82.66999816894531
2016-04-26,84.12999725341797
2016-04-27,83.80000305175781
2016-04-28,82.37999725341797
2016-04-29,81.9000015258789
2016-05-02,82.47000122070312
2016-05-03,81.51000213623047
2016-05-04,80.79000091552734
2016-05-05,81.31999969482422
2016-05-06,82.19999694824219
2016-05-09,81.5
2016-05-10,82.2699966430664
2016-05-11,81.80999755859375
2016-05-12,82.33000183105469
2016-05-13,81.22000122070312
2016-05-16,82.31999969482422
2016-05-17,81.7699966430664
2016-05-18,81.66000366210938
2016-05-19,81.47000122070312
2016-05-20,82.0199966430664
2016-05-23,82.26000213623047
2016-05-24,83.6500015258789
2016-05-25,83.91000366210938
2016-05-26,83.48999786376953
2016-05-27,83.54000091552734
2016-05-31,83.33999633789062
2016-06-01,83.93000030517578
2016-06-02,84.6500015258789
2016-06-03,84.44000244140625
2016-06-06,85.83000183105469
2016-06-07,86.13999938964844
2016-06-08,86.94000244140625
2016-06-09,86.81999969482422
2016-06-10,85.94000244140625
2016-06-13,85.55999755859375
2016-06-14,85.13999938964844
2016-06-15,85.27999877929688
2016-06-16,85.25
2016-06-17,85.48999786376953
2016-06-20,86.56999969482422
2016-06-21,85.43000030517578
2016-06-22,85.5999984741211
2016-06-23,86.51000213623047
2016-06-24,81.5
2016-06-27,79.29000091552734
2016-06-28,79.91000366210938
2016-06-29,80.52999877929688
2016-06-30,82.0999984741211
2016-07-01,82.18000030517578
2016-07-05,80.69999694824219
2016-07-06,81.47000122070312
2016-07-07,81.98999786376953
2016-07-08,83.8499984741211
2016-07-11,84.61000061035156
2016-07-12,85.5
2016-07-13,85.02999877929688
2016-07-14,85.27999877929688
2016-07-15,85.22000122070312
2016-07-18,84.44999694824219
2016-07-19,87.13999938964844
2016-07-20,88.27999877929688
2016-07-21,87.16000366210938
2016-07-22,87.29000091552734
2016-07-25,86.83999633789062
2016-07-26,88.2300033569336
2016-07-27,88.7300033569336
