,WRB
2020-04-01,22.32888984680176
2020-04-02,22.524444580078125
2020-04-03,21.991111755371097
2020-04-06,23.8799991607666
2020-04-07,23.920000076293945
2020-04-08,24.542221069335938
2020-04-09,25.920000076293945
2020-04-13,25.200000762939453
2020-04-14,26.08888816833496
2020-04-15,24.76444435119629
2020-04-16,24.28888893127441
2020-04-17,25.32888984680176
2020-04-20,24.55555534362793
2020-04-21,23.711111068725582
2020-04-22,22.79111099243164
2020-04-23,22.28888893127441
2020-04-24,22.32888984680176
2020-04-27,23.511110305786133
2020-04-28,24.0222225189209
2020-04-29,24.97333335876465
2020-04-30,24.0
2020-05-01,22.86666679382324
2020-05-04,22.83555603027344
2020-05-05,23.0
2020-05-06,22.21333312988281
2020-05-07,22.724443435668945
2020-05-08,22.991111755371097
2020-05-11,22.657777786254883
2020-05-12,21.95111083984375
2020-05-13,20.86222267150879
2020-05-14,21.06666755676269
2020-05-15,21.21333312988281
2020-05-18,23.0755558013916
2020-05-19,22.80888938903809
2020-05-20,23.737777709960938
2020-05-21,24.76444435119629
2020-05-22,25.08888816833496
2020-05-26,25.56888961791992
2020-05-27,26.017778396606445
2020-05-28,25.83555603027344
2020-05-29,25.755556106567383
2020-06-01,25.76000022888184
2020-06-02,26.502222061157227
2020-06-03,26.76000022888184
2020-06-04,27.29777717590332
2020-06-05,28.382221221923828
2020-06-08,29.06222152709961
2020-06-09,27.995555877685547
2020-06-10,26.71555519104004
2020-06-11,24.91111183166504
2020-06-12,25.34222221374512
2020-06-15,25.897777557373047
2020-06-16,26.02666664123535
2020-06-17,25.920000076293945
2020-06-18,25.946666717529297
2020-06-19,26.07111167907715
2020-06-22,25.648889541625977
2020-06-23,25.61777877807617
2020-06-24,24.773332595825195
2020-06-25,25.324443817138672
2020-06-26,24.62666702270508
2020-06-29,25.10222244262696
2020-06-30,25.462221145629883
2020-07-01,25.34666633605957
2020-07-02,25.0977783203125
2020-07-06,25.440000534057617
2020-07-07,25.217777252197266
2020-07-08,25.23555564880371
2020-07-09,24.799999237060547
2020-07-10,25.69333267211914
2020-07-13,26.017778396606445
2020-07-14,26.62666702270508
2020-07-15,27.39555549621582
2020-07-16,28.155555725097656
2020-07-17,28.239999771118164
2020-07-20,28.177778244018555
2020-07-21,28.453332901000977
2020-07-22,28.413333892822266
2020-07-23,28.666667938232425
2020-07-24,28.426666259765625
2020-07-27,27.942222595214844
2020-07-28,27.64444351196289
2020-07-29,28.177778244018555
2020-07-30,27.688888549804688
2020-07-31,27.44444465637207
2020-08-03,27.61777877807617
2020-08-04,27.200000762939453
2020-08-05,27.52888870239257
2020-08-06,27.63999938964844
2020-08-07,28.39555549621582
2020-08-10,28.61333274841309
2020-08-11,28.253332138061523
2020-08-12,28.03555679321289
2020-08-13,27.933332443237305
2020-08-14,27.68000030517578
2020-08-17,27.07111167907715
2020-08-18,27.226667404174805
2020-08-19,26.946666717529297
2020-08-20,26.737777709960938
2020-08-21,26.74666786193848
2020-08-24,27.382221221923828
2020-08-25,27.37777709960937
2020-08-26,27.351110458374023
2020-08-27,28.10222244262696
2020-08-28,28.0
2020-08-31,27.577777862548828
2020-09-01,27.83555603027344
2020-09-02,28.293333053588867
2020-09-03,27.991111755371097
2020-09-04,27.97333335876465
2020-09-08,27.69333267211914
2020-09-09,28.23555564880371
2020-09-10,27.71999931335449
2020-09-11,27.946666717529297
2020-09-14,28.37777709960937
2020-09-15,28.151111602783203
2020-09-16,28.46666717529297
2020-09-17,28.262222290039062
2020-09-18,27.844444274902344
2020-09-21,27.17333221435547
2020-09-22,27.30666732788086
2020-09-23,26.471111297607425
2020-09-24,26.58666610717773
2020-09-25,26.91555595397949
2020-09-28,27.38666725158692
2020-09-29,27.0977783203125
2020-09-30,27.177778244018555
2020-10-01,27.017778396606445
2020-10-02,27.23111152648925
2020-10-05,27.57333374023437
2020-10-06,27.351110458374023
2020-10-07,27.471111297607425
2020-10-08,28.07999992370605
2020-10-09,28.008888244628903
2020-10-12,28.63111114501953
2020-10-13,27.70222282409668
2020-10-14,27.426666259765625
2020-10-15,27.58222198486328
2020-10-16,27.577777862548828
2020-10-19,27.204444885253903
2020-10-20,28.0977783203125
2020-10-21,28.93777847290039
2020-10-22,29.337778091430664
2020-10-23,29.20888900756836
2020-10-26,28.35555648803711
2020-10-27,27.30666732788086
2020-10-28,26.991111755371097
2020-10-29,27.128889083862305
2020-10-30,26.71999931335449
2020-11-02,27.55555534362793
2020-11-03,28.239999771118164
2020-11-04,27.71555519104004
2020-11-05,27.95555686950684
2020-11-06,27.591110229492188
2020-11-09,30.76444435119629
2020-11-10,31.37333297729492
2020-11-11,31.08888816833496
2020-11-12,30.31999969482422
2020-11-13,30.60888862609864
2020-11-16,31.324443817138672
2020-11-17,31.15999984741211
2020-11-18,30.62666702270508
2020-11-19,29.71555519104004
2020-11-20,29.10222244262696
2020-11-23,28.98666763305664
2020-11-24,29.262222290039062
2020-11-25,28.87111091613769
2020-11-27,28.62666702270508
2020-11-30,28.946666717529297
2020-12-01,30.017778396606445
2020-12-02,29.9022216796875
2020-12-03,29.755556106567383
2020-12-04,30.040000915527344
2020-12-07,28.982221603393555
2020-12-08,28.93777847290039
2020-12-09,28.920000076293945
2020-12-10,28.817777633666992
2020-12-11,28.795555114746097
2020-12-14,28.49333381652832
2020-12-15,29.23111152648925
2020-12-16,29.351110458374023
2020-12-17,29.662221908569336
2020-12-18,29.457778930664062
2020-12-21,29.08888816833496
2020-12-22,29.05777740478516
2020-12-23,29.324443817138672
2020-12-24,29.37777709960937
2020-12-28,29.37333297729492
2020-12-29,29.21333312988281
2020-12-30,29.37777709960937
2020-12-31,29.520000457763672
2021-01-04,28.86222267150879
2021-01-05,28.61333274841309
2021-01-06,29.59555625915528
2021-01-07,29.337778091430664
2021-01-08,29.49333381652832
2021-01-11,29.497777938842773
2021-01-12,29.88888931274414
2021-01-13,29.58222198486328
2021-01-14,29.337778091430664
2021-01-15,29.39555549621582
2021-01-19,29.16444396972656
2021-01-20,29.62666702270508
2021-01-21,29.59555625915528
2021-01-22,29.280000686645508
2021-01-25,29.36000061035156
2021-01-26,28.86666679382324
2021-01-27,27.39555549621582
2021-01-28,28.115556716918945
2021-01-29,27.61777877807617
2021-02-01,27.95555686950684
2021-02-02,28.42222213745117
2021-02-03,28.26666641235352
2021-02-04,28.88444328308105
2021-02-05,29.22222137451172
2021-02-08,29.382221221923828
2021-02-09,29.88888931274414
2021-02-10,30.0222225189209
2021-02-11,30.471111297607425
2021-02-12,30.168888092041016
2021-02-16,30.226667404174805
2021-02-17,30.168888092041016
2021-02-18,29.831111907958984
2021-02-19,30.168888092041016
2021-02-22,30.30666732788086
2021-02-23,30.724443435668945
2021-02-24,31.67111015319824
2021-02-25,31.01333236694336
2021-02-26,30.81333351135254
2021-03-01,31.168888092041016
2021-03-02,31.324443817138672
2021-03-03,31.773332595825195
2021-03-04,31.413333892822266
2021-03-05,32.426666259765625
2021-03-08,33.19111251831055
2021-03-09,32.95111083984375
2021-03-10,33.77777862548828
2021-03-11,33.77777862548828
2021-03-12,34.0444450378418
2021-03-15,34.25777816772461
2021-03-16,33.87111282348633
2021-03-17,33.79111099243164
2021-03-18,33.942222595214844
2021-03-19,32.942222595214844
2021-03-22,32.56444549560547
2021-03-23,32.51555633544922
2021-03-24,33.12888717651367
2021-03-25,33.45333480834961
2021-03-26,33.697776794433594
2021-03-29,33.72888946533203
2021-03-30,33.91999816894531
2021-03-31,33.488887786865234
2021-04-01,33.99555587768555
2021-04-05,34.315555572509766
2021-04-06,34.635555267333984
2021-04-07,34.924442291259766
2021-04-08,35.01333236694336
2021-04-09,35.38666534423828
2021-04-12,35.35555648803711
2021-04-13,34.98666763305664
2021-04-14,35.328887939453125
