,BKR
2019-09-16,23.809999465942383
2019-09-17,23.3799991607666
2019-09-18,23.229999542236328
2019-09-19,23.209999084472656
2019-09-20,23.59000015258789
2019-09-23,23.89999961853028
2019-09-24,23.64999961853028
2019-09-25,24.290000915527344
2019-09-26,23.93000030517578
2019-09-27,24.040000915527344
2019-09-30,23.200000762939453
2019-10-01,22.670000076293945
2019-10-02,22.13999938964844
2019-10-03,22.690000534057617
2019-10-04,22.46999931335449
2019-10-07,21.89999961853028
2019-10-08,21.3799991607666
2019-10-09,21.61000061035156
2019-10-10,21.799999237060547
2019-10-11,22.229999542236328
2019-10-14,22.31999969482422
2019-10-15,22.299999237060547
2019-10-16,21.989999771118164
2019-10-17,22.07999992370605
2019-10-18,22.07999992370605
2019-10-21,22.1200008392334
2019-10-22,22.6299991607666
2019-10-23,23.1200008392334
2019-10-24,22.32999992370605
2019-10-25,22.3799991607666
2019-10-28,21.989999771118164
2019-10-29,21.89999961853028
2019-10-30,21.6200008392334
2019-10-31,21.39999961853028
2019-11-01,21.89999961853028
2019-11-04,22.350000381469727
2019-11-05,22.6299991607666
2019-11-06,21.950000762939453
2019-11-07,22.07999992370605
2019-11-08,22.25
2019-11-11,22.209999084472656
2019-11-12,22.09000015258789
2019-11-13,21.63999938964844
2019-11-14,21.88999938964844
2019-11-15,22.690000534057617
2019-11-18,22.170000076293945
2019-11-19,22.01000022888184
2019-11-20,22.420000076293945
2019-11-21,22.59000015258789
2019-11-22,22.420000076293945
2019-11-25,22.540000915527344
2019-11-26,22.61000061035156
2019-11-27,22.549999237060547
2019-11-29,22.420000076293945
2019-12-02,22.13999938964844
2019-12-03,21.31999969482422
2019-12-04,22.170000076293945
2019-12-05,22.13999938964844
2019-12-06,22.209999084472656
2019-12-09,22.25
2019-12-10,22.34000015258789
2019-12-11,22.68000030517578
2019-12-12,23.76000022888184
2019-12-13,23.63999938964844
2019-12-16,23.950000762939453
2019-12-17,24.3700008392334
2019-12-18,24.729999542236328
2019-12-19,24.96999931335449
2019-12-20,25.09000015258789
2019-12-23,25.51000022888184
2019-12-24,25.479999542236328
2019-12-26,25.559999465942383
2019-12-27,25.489999771118164
2019-12-30,25.6299991607666
2019-12-31,25.6299991607666
2020-01-02,25.61000061035156
2020-01-03,25.63999938964844
2020-01-06,25.520000457763672
2020-01-07,25.09000015258789
2020-01-08,24.770000457763672
2020-01-09,25.040000915527344
2020-01-10,24.86000061035156
2020-01-13,24.40999984741211
2020-01-14,24.020000457763672
2020-01-15,23.31999969482422
2020-01-16,23.51000022888184
2020-01-17,23.61000061035156
2020-01-21,22.729999542236328
2020-01-22,22.68000030517578
2020-01-23,22.959999084472656
2020-01-24,22.86000061035156
2020-01-27,22.049999237060547
2020-01-28,21.89999961853028
2020-01-29,21.479999542236328
2020-01-30,22.350000381469727
2020-01-31,21.65999984741211
2020-02-03,21.51000022888184
2020-02-04,21.309999465942383
2020-02-05,21.850000381469727
2020-02-06,22.229999542236328
2020-02-07,22.450000762939453
2020-02-10,22.14999961853028
2020-02-11,22.13999938964844
2020-02-12,22.15999984741211
2020-02-13,22.07999992370605
2020-02-14,21.979999542236328
2020-02-18,20.90999984741211
2020-02-19,20.809999465942383
2020-02-20,20.65999984741211
2020-02-21,20.530000686645508
2020-02-24,19.479999542236328
2020-02-25,18.6200008392334
2020-02-26,17.760000228881836
2020-02-27,16.670000076293945
2020-02-28,16.09000015258789
2020-03-02,17.170000076293945
2020-03-03,16.530000686645508
2020-03-04,17.280000686645508
2020-03-05,16.959999084472656
2020-03-06,16.079999923706055
2020-03-09,12.5
2020-03-10,13.760000228881836
2020-03-11,12.710000038146973
2020-03-12,10.699999809265137
2020-03-13,12.729999542236328
2020-03-16,11.609999656677246
2020-03-17,11.25
2020-03-18,9.699999809265137
2020-03-19,10.140000343322754
2020-03-20,10.0
2020-03-23,9.329999923706056
2020-03-24,11.25
2020-03-25,11.619999885559082
2020-03-26,12.399999618530272
2020-03-27,11.880000114440918
2020-03-30,10.960000038146973
2020-03-31,10.5
2020-04-01,9.800000190734863
2020-04-02,10.359999656677246
2020-04-03,10.399999618530272
2020-04-06,11.75
2020-04-07,12.40999984741211
2020-04-08,12.899999618530272
2020-04-09,12.859999656677246
2020-04-13,13.289999961853027
2020-04-14,13.350000381469728
2020-04-15,12.90999984741211
2020-04-16,12.59000015258789
2020-04-17,13.029999732971191
2020-04-20,12.979999542236328
2020-04-21,12.75
2020-04-22,12.989999771118164
2020-04-23,13.56999969482422
2020-04-24,13.420000076293944
2020-04-27,13.600000381469728
