,RTX
2018-12-27,66.55758666992188
2018-12-28,66.29326629638672
2018-12-31,67.01069641113281
2019-01-02,68.15607452392578
2019-01-03,65.12271881103516
2019-01-04,67.35053253173828
2019-01-07,67.3190689086914
2019-01-08,68.5336685180664
2019-01-09,68.79798889160156
2019-01-10,69.48395538330078
2019-01-11,69.19446563720703
2019-01-14,69.76085662841797
2019-01-15,69.89301300048828
2019-01-16,69.77344512939453
2019-01-17,70.96916198730469
2019-01-18,71.68030548095703
2019-01-22,69.89301300048828
2019-01-23,73.65638732910156
2019-01-24,72.72498321533203
2019-01-25,72.88231658935547
2019-01-28,72.42290496826172
2019-01-29,74.15985107421875
2019-01-30,74.96538543701172
2019-01-31,74.30459594726562
2019-02-01,74.87728118896484
2019-02-04,74.97797393798828
2019-02-05,76.00377655029297
2019-02-06,76.37507629394531
2019-02-07,75.9723129272461
2019-02-08,77.08621978759766
2019-02-11,77.23096466064453
2019-02-12,78.02391052246094
2019-02-13,78.30081939697266
2019-02-14,78.11831665039062
2019-02-15,80.40277099609375
2019-02-19,80.95657348632812
2019-02-20,80.82441711425781
2019-02-21,79.49653625488281
2019-02-22,80.40906524658203
2019-02-25,80.72372436523438
2019-02-26,80.04405212402344
2019-02-27,79.8615493774414
2019-02-28,79.08747863769531
2019-03-01,79.15040588378906
2019-03-04,79.13153076171875
2019-03-05,79.25739288330078
2019-03-06,78.91126251220703
2019-03-07,78.32598876953125
2019-03-08,78.04908752441406
2019-03-11,79.30144500732422
2019-03-12,78.4581527709961
2019-03-13,79.69792175292969
2019-03-14,79.85525512695312
2019-03-15,79.24480438232422
2019-03-18,79.8615493774414
2019-03-19,79.6161117553711
2019-03-20,78.86091613769531
2019-03-21,79.84896087646484
2019-03-22,78.76022338867188
2019-03-25,78.91755676269531
2019-03-26,79.38326263427734
2019-03-27,79.48395538330078
2019-03-28,80.09439849853516
2019-03-29,81.11390686035156
2019-04-01,83.82001495361328
2019-04-02,83.0081787109375
2019-04-03,82.63687896728516
2019-04-04,83.51164245605469
2019-04-05,84.15355682373047
2019-04-08,84.05286407470703
2019-04-09,83.22844696044922
2019-04-10,82.85713958740234
2019-04-11,83.587158203125
2019-04-12,85.14789581298828
2019-04-15,84.67589569091797
2019-04-16,85.17306518554688
2019-04-17,85.45626068115234
2019-04-18,86.2177505493164
2019-04-22,86.1611099243164
2019-04-23,88.11831665039062
2019-04-24,87.84770202636719
2019-04-25,87.93580627441406
2019-04-26,88.59660339355469
2019-04-29,89.43989562988281
2019-04-30,89.7482681274414
2019-05-01,89.10005950927734
2019-05-02,87.9798583984375
2019-05-03,89.13153076171875
2019-05-06,88.2315902709961
2019-05-07,85.23600006103516
2019-05-08,86.26180267333984
2019-05-09,86.129638671875
2019-05-10,86.3247299194336
2019-05-13,83.04594421386719
2019-05-14,84.31718444824219
2019-05-15,84.31718444824219
2019-05-16,85.11642456054688
