,BX
2016-06-17,24.90999984741211
2016-06-20,25.489999771118164
2016-06-21,25.31999969482422
2016-06-22,25.170000076293945
2016-06-23,25.8799991607666
2016-06-24,24.46999931335449
2016-06-27,23.31999969482422
2016-06-28,23.86000061035156
2016-06-29,24.75
2016-06-30,24.540000915527344
2016-07-01,24.5
2016-07-05,23.25
2016-07-06,22.959999084472656
2016-07-07,23.40999984741211
2016-07-08,24.0
2016-07-11,24.100000381469727
2016-07-12,24.56999969482422
2016-07-13,24.799999237060547
2016-07-14,25.06999969482422
2016-07-15,25.0
2016-07-18,25.1299991607666
2016-07-19,25.299999237060547
2016-07-20,25.84000015258789
2016-07-21,26.82999992370605
2016-07-22,27.420000076293945
2016-07-25,27.68000030517578
2016-07-26,27.670000076293945
2016-07-27,27.5
2016-07-28,26.989999771118164
2016-07-29,26.84000015258789
2016-08-01,26.46999931335449
2016-08-02,25.950000762939453
2016-08-03,26.65999984741211
2016-08-04,26.6299991607666
2016-08-05,27.190000534057617
2016-08-08,27.6299991607666
2016-08-09,27.88999938964844
2016-08-10,27.82999992370605
2016-08-11,27.89999961853028
2016-08-12,27.600000381469727
2016-08-15,27.940000534057617
2016-08-16,27.8700008392334
2016-08-17,27.88999938964844
2016-08-18,28.31999969482422
2016-08-19,28.190000534057617
2016-08-22,28.200000762939453
2016-08-23,28.229999542236328
2016-08-24,28.15999984741211
2016-08-25,27.81999969482422
2016-08-26,27.440000534057617
2016-08-29,27.600000381469727
2016-08-30,27.57999992370605
2016-08-31,27.420000076293945
2016-09-01,26.93000030517578
2016-09-02,26.8799991607666
2016-09-06,26.700000762939453
2016-09-07,26.6200008392334
2016-09-08,26.790000915527344
2016-09-09,26.170000076293945
2016-09-12,26.31999969482422
2016-09-13,25.780000686645508
2016-09-14,25.59000015258789
2016-09-15,25.790000915527344
2016-09-16,25.76000022888184
2016-09-19,25.82999992370605
2016-09-20,25.959999084472656
2016-09-21,26.350000381469727
2016-09-22,26.049999237060547
2016-09-23,25.82999992370605
