,ACGL
2019-10-23,41.38999938964844
2019-10-24,41.38999938964844
2019-10-25,40.79999923706055
2019-10-28,40.70000076293945
2019-10-29,41.02999877929688
2019-10-30,42.0099983215332
2019-10-31,41.7599983215332
2019-11-01,41.81999969482422
2019-11-04,40.95000076293945
2019-11-05,40.540000915527344
2019-11-06,41.31999969482422
2019-11-07,40.459999084472656
2019-11-08,40.58000183105469
2019-11-11,40.790000915527344
2019-11-12,40.52000045776367
2019-11-13,40.58000183105469
2019-11-14,40.65999984741211
2019-11-15,40.630001068115234
2019-11-18,41.36000061035156
2019-11-19,41.5
2019-11-20,41.20000076293945
2019-11-21,40.58000183105469
2019-11-22,40.84000015258789
2019-11-25,41.20000076293945
2019-11-26,42.08000183105469
2019-11-27,42.22999954223633
2019-11-29,41.970001220703125
2019-12-02,41.52000045776367
2019-12-03,40.619998931884766
2019-12-04,41.040000915527344
2019-12-05,41.33000183105469
2019-12-06,41.15999984741211
2019-12-09,41.45000076293945
2019-12-10,41.15999984741211
2019-12-11,41.02000045776367
2019-12-12,41.65999984741211
2019-12-13,41.75
2019-12-16,42.060001373291016
2019-12-17,42.619998931884766
2019-12-18,42.34000015258789
2019-12-19,42.43000030517578
2019-12-20,42.66999816894531
2019-12-23,42.06999969482422
2019-12-24,42.0099983215332
2019-12-26,42.18000030517578
2019-12-27,42.560001373291016
2019-12-30,42.72999954223633
2019-12-31,42.88999938964844
2020-01-02,43.400001525878906
2020-01-03,43.34999847412109
2020-01-06,43.52000045776367
2020-01-07,43.15999984741211
2020-01-08,42.72999954223633
2020-01-09,43.59999847412109
2020-01-10,43.52999877929688
2020-01-13,43.68999862670898
2020-01-14,43.66999816894531
2020-01-15,44.04999923706055
2020-01-16,44.560001373291016
2020-01-17,45.16999816894531
2020-01-21,45.150001525878906
2020-01-22,45.47999954223633
2020-01-23,45.2400016784668
2020-01-24,44.9900016784668
2020-01-27,44.54999923706055
2020-01-28,44.65999984741211
