,TECH
2018-06-13,40.650001525878906
2018-06-14,41.01499938964844
2018-06-15,41.39500045776367
2018-06-18,40.91999816894531
2018-06-19,40.88999938964844
2018-06-20,40.75
2018-06-21,40.29249954223633
2018-06-22,40.3650016784668
2018-06-25,39.5625
2018-06-26,39.25749969482422
2018-06-27,36.532501220703125
2018-06-28,36.782501220703125
2018-06-29,36.98749923706055
2018-07-02,37.05500030517578
2018-07-03,36.86000061035156
2018-07-05,37.07749938964844
2018-07-06,37.602500915527344
2018-07-09,38.14500045776367
2018-07-10,38.20000076293945
2018-07-11,38.02999877929688
2018-07-12,38.33000183105469
2018-07-13,38.27750015258789
2018-07-16,37.88750076293945
2018-07-17,38.11750030517578
2018-07-18,38.04499816894531
2018-07-19,38.47249984741211
2018-07-20,39.10499954223633
2018-07-23,39.72499847412109
2018-07-24,40.622501373291016
2018-07-25,41.40999984741211
2018-07-26,41.65250015258789
2018-07-27,40.60749816894531
2018-07-30,39.34749984741211
2018-07-31,40.15999984741211
2018-08-01,41.16249847412109
2018-08-02,41.557498931884766
2018-08-03,41.584999084472656
2018-08-06,42.212501525878906
2018-08-07,45.03499984741211
2018-08-08,44.33000183105469
2018-08-09,44.56999969482422
2018-08-10,44.66999816894531
2018-08-13,44.42499923706055
2018-08-14,45.03499984741211
2018-08-15,44.994998931884766
2018-08-16,44.93000030517578
2018-08-17,45.125
2018-08-20,45.3224983215332
2018-08-21,46.21749877929688
2018-08-22,46.20750045776367
2018-08-23,46.98500061035156
2018-08-24,47.0625
2018-08-27,46.88249969482422
2018-08-28,47.084999084472656
2018-08-29,47.93000030517578
2018-08-30,47.834999084472656
2018-08-31,48.04249954223633
2018-09-04,47.77000045776367
2018-09-05,47.29999923706055
2018-09-06,47.63249969482422
2018-09-07,47.84000015258789
2018-09-10,48.8849983215332
2018-09-11,48.93000030517578
2018-09-12,48.99250030517578
2018-09-13,49.36000061035156
2018-09-14,49.95249938964844
2018-09-17,49.212501525878906
2018-09-18,49.337501525878906
2018-09-19,49.650001525878906
2018-09-20,49.744998931884766
2018-09-21,48.97999954223633
2018-09-24,50.057498931884766
2018-09-25,50.48500061035156
2018-09-26,50.380001068115234
