,WSM
2015-05-22,39.47999954223633
2015-05-26,38.88999938964844
2015-05-27,39.5
2015-05-28,39.5
2015-05-29,39.30500030517578
2015-06-01,39.505001068115234
2015-06-02,39.5
2015-06-03,39.665000915527344
2015-06-04,39.459999084472656
2015-06-05,39.345001220703125
2015-06-08,39.244998931884766
2015-06-09,38.875
2015-06-10,39.34999847412109
2015-06-11,39.6150016784668
2015-06-12,40.22999954223633
2015-06-15,40.209999084472656
2015-06-16,40.415000915527344
2015-06-17,40.744998931884766
2015-06-18,41.03499984741211
2015-06-19,40.5
2015-06-22,40.540000915527344
2015-06-23,40.595001220703125
2015-06-24,40.494998931884766
2015-06-25,40.560001373291016
2015-06-26,41.4900016784668
2015-06-29,40.54499816894531
2015-06-30,41.1349983215332
2015-07-01,41.630001068115234
2015-07-02,41.459999084472656
2015-07-06,41.52999877929688
2015-07-07,41.755001068115234
2015-07-08,41.334999084472656
2015-07-09,41.375
2015-07-10,42.02000045776367
2015-07-13,42.36000061035156
2015-07-14,42.10499954223633
2015-07-15,42.09999847412109
2015-07-16,42.45000076293945
2015-07-17,42.0
2015-07-20,41.77999877929688
2015-07-21,41.25
2015-07-22,41.3849983215332
2015-07-23,41.415000915527344
2015-07-24,40.60499954223633
2015-07-27,40.275001525878906
2015-07-28,40.8849983215332
2015-07-29,42.209999084472656
2015-07-30,42.119998931884766
2015-07-31,42.33000183105469
2015-08-03,42.21500015258789
2015-08-04,42.63999938964844
2015-08-05,42.935001373291016
2015-08-06,42.400001525878906
2015-08-07,42.5099983215332
2015-08-10,43.209999084472656
2015-08-11,43.03499984741211
2015-08-12,43.26499938964844
2015-08-13,43.400001525878906
2015-08-14,43.75
2015-08-17,44.255001068115234
2015-08-18,44.334999084472656
2015-08-19,43.79499816894531
2015-08-20,43.11000061035156
2015-08-21,41.65499877929688
2015-08-24,40.40499877929688
2015-08-25,40.53499984741211
2015-08-26,41.560001373291016
2015-08-27,38.34999847412109
2015-08-28,37.90499877929688
2015-08-31,38.01499938964844
2015-09-01,37.31999969482422
2015-09-02,37.845001220703125
2015-09-03,38.14500045776367
2015-09-04,38.005001068115234
2015-09-08,39.150001525878906
2015-09-09,38.26499938964844
2015-09-10,38.084999084472656
2015-09-11,37.91999816894531
2015-09-14,37.8650016784668
2015-09-15,37.685001373291016
2015-09-16,38.23500061035156
2015-09-17,38.744998931884766
2015-09-18,38.4900016784668
2015-09-21,38.505001068115234
2015-09-22,39.05500030517578
2015-09-23,39.619998931884766
2015-09-24,39.11000061035156
2015-09-25,38.97499847412109
2015-09-28,37.9900016784668
2015-09-29,37.8650016784668
2015-09-30,38.17499923706055
2015-10-01,38.165000915527344
2015-10-02,38.47999954223633
2015-10-05,39.400001525878906
2015-10-06,39.17499923706055
2015-10-07,39.334999084472656
2015-10-08,39.25
2015-10-09,39.09000015258789
2015-10-12,38.52000045776367
2015-10-13,37.81499862670898
2015-10-14,37.400001525878906
2015-10-15,37.709999084472656
2015-10-16,38.18999862670898
2015-10-19,38.18000030517578
2015-10-20,38.084999084472656
2015-10-21,37.38999938964844
2015-10-22,36.95000076293945
2015-10-23,36.040000915527344
2015-10-26,36.7400016784668
2015-10-27,36.2400016784668
2015-10-28,36.775001525878906
2015-10-29,36.53499984741211
2015-10-30,36.875
2015-11-02,37.32500076293945
2015-11-03,37.415000915527344
