,JBL
2023-04-19,81.70999908447266
2023-04-20,81.38999938964844
2023-04-21,78.80999755859375
2023-04-24,79.27999877929688
2023-04-25,75.73999786376953
2023-04-26,77.2300033569336
2023-04-27,77.8499984741211
2023-04-28,78.1500015258789
2023-05-01,79.30999755859375
2023-05-02,78.04000091552734
2023-05-03,77.4000015258789
2023-05-04,75.7699966430664
2023-05-05,77.2699966430664
2023-05-08,78.37999725341797
2023-05-09,77.76000213623047
2023-05-10,78.23999786376953
2023-05-11,79.0999984741211
2023-05-12,79.58999633789062
2023-05-15,80.05000305175781
2023-05-16,80.63999938964844
2023-05-17,82.75
2023-05-18,83.9000015258789
2023-05-19,84.0
2023-05-22,84.58000183105469
2023-05-23,85.23999786376953
2023-05-24,84.68000030517578
2023-05-25,88.27999877929688
2023-05-26,91.56999969482422
2023-05-30,91.26000213623048
2023-05-31,89.5199966430664
2023-06-01,89.94999694824219
2023-06-02,92.2699966430664
2023-06-05,91.58000183105467
2023-06-06,92.83000183105467
2023-06-07,93.73999786376952
2023-06-08,94.18000030517578
2023-06-09,94.5999984741211
2023-06-12,98.47000122070312
2023-06-13,98.6999969482422
2023-06-14,99.69000244140624
2023-06-15,104.63999938964844
2023-06-16,105.36000061035156
2023-06-20,105.88999938964844
2023-06-21,105.12000274658205
2023-06-22,103.8499984741211
2023-06-23,103.04000091552734
2023-06-26,101.43000030517578
2023-06-27,103.48999786376952
2023-06-28,104.52999877929688
2023-06-29,107.38999938964844
2023-06-30,107.93000030517578
2023-07-03,108.83000183105467
2023-07-05,108.83999633789062
2023-07-06,108.05999755859376
2023-07-07,109.19000244140624
2023-07-10,111.30999755859376
2023-07-11,111.63999938964844
2023-07-12,110.8000030517578
2023-07-13,112.86000061035156
2023-07-14,111.61000061035156
2023-07-17,112.7699966430664
2023-07-18,114.83999633789062
2023-07-19,115.13999938964844
2023-07-20,113.41000366210938
2023-07-21,112.4000015258789
2023-07-24,111.5
2023-07-25,111.97000122070312
2023-07-26,110.8499984741211
2023-07-27,108.9499969482422
2023-07-28,108.93000030517578
2023-07-31,110.66999816894533
2023-08-01,108.95999908447266
2023-08-02,108.1999969482422
2023-08-03,108.8499984741211
2023-08-04,108.62999725341795
2023-08-07,108.8000030517578
2023-08-08,108.30999755859376
2023-08-09,107.22000122070312
2023-08-10,106.62999725341795
2023-08-11,105.83000183105467
2023-08-14,106.91000366210938
2023-08-15,105.91999816894533
2023-08-16,103.4499969482422
2023-08-17,102.38999938964844
2023-08-18,102.41000366210938
2023-08-21,102.87000274658205
2023-08-22,103.31999969482422
2023-08-23,104.72000122070312
2023-08-24,103.61000061035156
2023-08-25,103.22000122070312
2023-08-28,112.37000274658205
2023-08-29,115.4000015258789
2023-08-30,115.7699966430664
2023-08-31,114.41999816894533
2023-09-01,115.41999816894533
2023-09-05,112.76000213623048
2023-09-06,111.68000030517578
2023-09-07,108.6500015258789
2023-09-08,107.33000183105467
2023-09-11,107.62000274658205
2023-09-12,107.20999908447266
2023-09-13,107.41000366210938
2023-09-14,108.68000030517578
2023-09-15,106.05999755859376
2023-09-18,106.83000183105467
2023-09-19,107.0999984741211
2023-09-20,107.33000183105467
2023-09-21,105.37000274658205
2023-09-22,107.5999984741211
2023-09-25,107.7300033569336
2023-09-26,105.0
2023-09-27,105.18000030517578
2023-09-28,124.9499969482422
2023-09-29,126.88999938964844
2023-10-02,128.8699951171875
2023-10-03,127.58000183105467
2023-10-04,130.22999572753906
2023-10-05,129.0
2023-10-06,129.9499969482422
2023-10-09,134.0
2023-10-10,134.3300018310547
2023-10-11,138.5
2023-10-12,139.1199951171875
2023-10-13,135.97999572753906
2023-10-16,137.13999938964844
2023-10-17,137.4199981689453
2023-10-18,135.39999389648438
2023-10-19,130.33999633789062
2023-10-20,125.0199966430664
2023-10-23,124.2300033569336
2023-10-24,124.47000122070312
2023-10-25,121.77999877929688
2023-10-26,121.91999816894533
2023-10-27,122.5500030517578
2023-10-30,120.41999816894533
2023-10-31,122.8000030517578
2023-11-01,124.81999969482422
2023-11-02,124.94000244140624
2023-11-03,128.39999389648438
2023-11-06,127.16000366210938
2023-11-07,126.3000030517578
2023-11-08,126.58999633789062
2023-11-09,125.62999725341795
2023-11-10,128.25999450683594
2023-11-13,129.57000732421875
2023-11-14,131.8800048828125
2023-11-15,132.72999572753906
2023-11-16,130.77999877929688
2023-11-17,131.38999938964844
2023-11-20,132.4199981689453
2023-11-21,130.97000122070312
2023-11-22,130.5
2023-11-24,131.1699981689453
2023-11-27,131.32000732421875
2023-11-28,130.67999267578125
2023-11-29,115.23999786376952
2023-11-30,115.31999969482422
2023-12-01,116.91000366210938
2023-12-04,115.3499984741211
2023-12-05,114.26000213623048
2023-12-06,114.38999938964844
2023-12-07,116.41999816894533
2023-12-08,119.0
2023-12-11,120.98999786376952
2023-12-12,120.1500015258789
2023-12-13,120.5999984741211
2023-12-14,136.4199981689453
2023-12-15,132.91000366210938
2023-12-18,130.2100067138672
2023-12-19,131.22999572753906
2023-12-20,128.58999633789062
2023-12-21,128.75
2023-12-22,127.87999725341795
2023-12-26,128.4499969482422
2023-12-27,127.4499969482422
2023-12-28,127.9800033569336
2023-12-29,127.4000015258789
2024-01-02,128.13999938964844
2024-01-03,127.3499984741211
2024-01-04,125.02999877929688
2024-01-05,126.7699966430664
2024-01-08,128.52000427246094
2024-01-09,128.3699951171875
2024-01-10,129.52000427246094
2024-01-11,129.22000122070312
2024-01-12,128.13999938964844
2024-01-16,125.41000366210938
2024-01-17,121.51000213623048
2024-01-18,123.5
2024-01-19,124.58999633789062
2024-01-22,125.4000015258789
2024-01-23,123.16999816894533
2024-01-24,123.93000030517578
2024-01-25,124.18000030517578
2024-01-26,123.22000122070312
2024-01-29,124.31999969482422
2024-01-30,127.5999984741211
2024-01-31,125.29000091552734
2024-02-01,131.33999633789062
2024-02-02,131.22000122070312
2024-02-05,130.0800018310547
2024-02-06,129.75999450683594
2024-02-07,131.5500030517578
2024-02-08,135.92999267578125
2024-02-09,139.77000427246094
2024-02-12,140.4600067138672
2024-02-13,138.60000610351562
2024-02-14,141.32000732421875
2024-02-15,141.0399932861328
2024-02-16,138.5
2024-02-20,137.3300018310547
2024-02-21,137.0800018310547
2024-02-22,140.27999877929688
2024-02-23,139.52000427246094
2024-02-26,140.05999755859375
2024-02-27,142.6999969482422
2024-02-28,142.08999633789062
2024-02-29,144.08999633789062
2024-03-01,147.17999267578125
2024-03-04,148.6199951171875
2024-03-05,151.10000610351562
2024-03-06,153.19000244140625
2024-03-07,154.52999877929688
2024-03-08,151.24000549316406
2024-03-11,147.86000061035156
2024-03-12,149.60000610351562
2024-03-13,148.7899932861328
2024-03-14,147.4600067138672
2024-03-15,123.1500015258789
2024-03-18,124.18000030517578
2024-03-19,125.75
2024-03-20,126.9000015258789
2024-03-21,129.2100067138672
2024-03-22,131.19000244140625
2024-03-25,131.33999633789062
2024-03-26,133.61000061035156
2024-03-27,135.94000244140625
2024-03-28,133.9499969482422
2024-04-01,135.61000061035156
2024-04-02,134.19000244140625
2024-04-03,138.19000244140625
2024-04-04,135.8800048828125
2024-04-05,140.47000122070312
2024-04-08,138.5800018310547
2024-04-09,136.52999877929688
2024-04-10,136.36000061035156
2024-04-11,138.02000427246094
2024-04-12,134.07000732421875
2024-04-15,132.66000366210938
2024-04-16,132.0399932861328
2024-04-17,129.64999389648438
2024-04-18,129.58999633789062
2024-04-19,118.75
2024-04-22,119.12999725341795
2024-04-23,120.88999938964844
2024-04-24,120.23999786376952
2024-04-25,118.4800033569336
2024-04-26,118.2699966430664
2024-04-29,119.87000274658205
2024-04-30,117.36000061035156
2024-05-01,114.37999725341795
2024-05-02,115.26000213623048
2024-05-03,117.22000122070312
2024-05-06,118.97000122070312
2024-05-07,117.43000030517578
2024-05-08,117.52999877929688
2024-05-09,117.93000030517578
2024-05-10,117.9499969482422
2024-05-13,117.8499984741211
2024-05-14,117.6500015258789
2024-05-15,115.47000122070312
2024-05-16,115.37999725341795
2024-05-17,115.0199966430664
2024-05-20,121.01000213623048
2024-05-21,117.79000091552734
2024-05-22,118.18000030517578
2024-05-23,118.79000091552734
2024-05-24,119.5999984741211
2024-05-28,118.7699966430664
2024-05-29,117.33000183105467
2024-05-30,119.22000122070312
2024-05-31,118.9000015258789
2024-06-03,117.2300033569336
2024-06-04,114.20999908447266
2024-06-05,115.97000122070312
2024-06-06,114.31999969482422
2024-06-07,113.87999725341795
2024-06-10,117.0999984741211
2024-06-11,117.75
2024-06-12,120.62999725341795
2024-06-13,121.0999984741211
2024-06-14,119.4800033569336
2024-06-17,124.4800033569336
2024-06-18,126.2300033569336
2024-06-20,111.79000091552734
2024-06-21,113.19000244140624
2024-06-24,112.9800033569336
2024-06-25,114.37999725341795
2024-06-26,112.23999786376952
2024-06-27,107.91999816894533
2024-06-28,108.79000091552734
2024-07-01,108.5199966430664
2024-07-02,108.52999877929688
2024-07-03,110.0999984741211
2024-07-05,108.55999755859376
2024-07-08,110.0199966430664
2024-07-09,110.01000213623048
2024-07-10,113.69000244140624
2024-07-11,114.41999816894533
2024-07-12,114.93000030517578
2024-07-15,115.3000030517578
2024-07-16,118.06999969482422
2024-07-17,114.91999816894533
2024-07-18,112.22000122070312
2024-07-19,110.54000091552734
2024-07-22,113.3000030517578
2024-07-23,112.16999816894533
2024-07-24,111.0500030517578
2024-07-25,110.3499984741211
2024-07-26,110.37999725341795
2024-07-29,109.9499969482422
2024-07-30,109.3499984741211
2024-07-31,112.66999816894533
2024-08-01,109.0
2024-08-02,99.62000274658205
2024-08-05,97.5500030517578
2024-08-06,100.45999908447266
2024-08-07,98.44000244140624
2024-08-08,101.88999938964844
2024-08-09,102.12999725341795
2024-08-12,102.0199966430664
2024-08-13,104.04000091552734
2024-08-14,103.2699966430664
2024-08-15,107.08000183105467
2024-08-16,106.3499984741211
2024-08-19,107.45999908447266
2024-08-20,106.87000274658205
2024-08-21,108.61000061035156
2024-08-22,107.13999938964844
2024-08-23,108.51000213623048
2024-08-26,108.6999969482422
2024-08-27,107.5999984741211
2024-08-28,107.33999633789062
2024-08-29,107.63999938964844
2024-08-30,109.27999877929688
2024-09-03,103.41000366210938
2024-09-04,103.5999984741211
2024-09-05,102.58999633789062
2024-09-06,101.04000091552734
2024-09-09,102.68000030517578
2024-09-10,101.63999938964844
2024-09-11,103.44000244140624
2024-09-12,103.8000030517578
2024-09-13,105.9000015258789
2024-09-16,105.72000122070312
2024-09-17,106.83000183105467
2024-09-18,107.8499984741211
2024-09-19,110.86000061035156
2024-09-20,113.95999908447266
2024-09-23,113.04000091552734
2024-09-24,112.86000061035156
2024-09-25,113.43000030517578
2024-09-26,126.6500015258789
2024-09-27,122.33999633789062
2024-09-30,119.83000183105467
2024-10-01,119.16000366210938
2024-10-02,118.97000122070312
2024-10-03,119.9000015258789
2024-10-04,121.66000366210938
2024-10-07,122.3000030517578
2024-10-08,123.33999633789062
2024-10-09,124.0199966430664
2024-10-10,122.91000366210938
2024-10-11,124.2300033569336
2024-10-14,125.7699966430664
2024-10-15,124.26000213623048
2024-10-16,123.87000274658205
2024-10-17,125.91999816894533
2024-10-18,126.3000030517578
2024-10-21,124.37000274658205
2024-10-22,124.0199966430664
2024-10-23,122.94000244140624
2024-10-24,125.02999877929688
2024-10-25,124.72000122070312
2024-10-28,124.79000091552734
2024-10-29,124.83999633789062
2024-10-30,123.9800033569336
2024-10-31,123.08999633789062
2024-11-01,127.66999816894533
2024-11-04,127.3000030517578
2024-11-05,128.66000366210938
2024-11-06,137.77000427246094
2024-11-07,137.3000030517578
2024-11-08,135.75
2024-11-11,135.52000427246094
2024-11-12,132.91000366210938
2024-11-13,131.72999572753906
2024-11-14,129.0399932861328
2024-11-15,128.25999450683594
2024-11-18,128.2899932861328
2024-11-19,127.5500030517578
2024-11-20,128.17999267578125
2024-11-21,130.63999938964844
2024-11-22,131.1199951171875
2024-11-25,134.0
2024-11-26,132.72000122070312
2024-11-27,133.3300018310547
2024-11-29,135.8300018310547
2024-12-02,135.19000244140625
2024-12-03,135.5
2024-12-04,136.44000244140625
2024-12-05,135.77999877929688
2024-12-06,135.63999938964844
2024-12-09,134.27000427246094
2024-12-10,132.75
2024-12-11,133.69000244140625
2024-12-12,133.63999938964844
2024-12-13,135.1300048828125
2024-12-16,134.99000549316406
2024-12-17,133.9600067138672
2024-12-18,143.69000244140625
2024-12-19,140.44000244140625
2024-12-20,145.0
2024-12-23,145.6699981689453
2024-12-24,147.77000427246094
2024-12-26,147.63999938964844
2024-12-27,145.9199981689453
2024-12-30,143.75999450683594
2024-12-31,143.89999389648438
2025-01-02,142.8300018310547
2025-01-03,149.66000366210938
2025-01-06,152.02000427246094
2025-01-07,152.72999572753906
2025-01-08,153.9499969482422
2025-01-10,153.8800048828125
2025-01-13,153.50999450683594
2025-01-14,155.97000122070312
2025-01-15,158.1699981689453
2025-01-16,161.72999572753906
2025-01-17,162.89999389648438
2025-01-21,167.5800018310547
2025-01-22,168.97000122070312
2025-01-23,171.24000549316406
2025-01-24,173.3300018310547
2025-01-27,159.52999877929688
2025-01-28,161.72000122070312
2025-01-29,160.97999572753906
2025-01-30,162.63999938964844
2025-01-31,162.41000366210938
2025-02-03,159.47999572753906
2025-02-04,161.8300018310547
2025-02-05,163.6199951171875
2025-02-06,165.75
2025-02-07,165.41000366210938
2025-02-10,166.52000427246094
2025-02-11,167.32000732421875
2025-02-12,168.8300018310547
2025-02-13,168.6699981689453
2025-02-14,169.64999389648438
2025-02-18,169.9199981689453
2025-02-19,169.08999633789062
2025-02-20,166.1199951171875
2025-02-21,162.61000061035156
2025-02-24,159.10000610351562
2025-02-25,157.50999450683594
2025-02-26,158.75
2025-02-27,154.1199951171875
2025-02-28,154.9199981689453
2025-03-03,146.4499969482422
2025-03-04,141.55999755859375
2025-03-05,143.13999938964844
2025-03-06,138.25
2025-03-07,139.9499969482422
2025-03-10,133.35000610351562
2025-03-11,132.44000244140625
2025-03-12,134.10000610351562
2025-03-13,130.50999450683594
2025-03-14,135.92999267578125
2025-03-17,138.35000610351562
2025-03-18,135.6199951171875
2025-03-19,139.47999572753906
2025-03-20,143.8300018310547
2025-03-21,145.22000122070312
2025-03-24,149.97000122070312
2025-03-25,148.2899932861328
2025-03-26,143.86000061035156
2025-03-27,139.39999389648438
2025-03-28,135.99000549316406
2025-03-31,136.07000732421875
2025-04-01,136.4199981689453
2025-04-02,138.75
2025-04-03,123.48999786376952
2025-04-04,116.87999725341795
2025-04-07,121.27999877929688
2025-04-08,120.3499984741211
2025-04-09,137.3800048828125
2025-04-10,132.0399932861328
2025-04-11,131.94000244140625
2025-04-14,133.86000061035156
2025-04-15,135.50999450683594
2025-04-16,133.8699951171875
2025-04-17,135.0399932861328
2025-04-21,129.75
2025-04-22,133.24000549316406
2025-04-23,138.49000549316406
2025-04-24,146.1300048828125
2025-04-25,146.9199981689453
2025-04-28,146.3699951171875
2025-04-29,146.57000732421875
2025-04-30,146.55999755859375
2025-05-01,147.5800018310547
2025-05-02,150.36000061035156
2025-05-05,150.22000122070312
2025-05-06,150.2899932861328
2025-05-07,152.72000122070312
2025-05-08,154.39999389648438
2025-05-09,153.97999572753906
2025-05-12,161.74000549316406
2025-05-13,167.00999450683594
2025-05-14,166.86000061035156
2025-05-15,166.52999877929688
2025-05-16,167.7899932861328
2025-05-19,167.44000244140625
2025-05-20,167.50999450683594
2025-05-21,165.1999969482422
2025-05-22,165.10000610351562
2025-05-23,165.3800048828125
2025-05-27,169.1699981689453
2025-05-28,167.74000549316406
