,TFC
2021-06-14,56.68999862670898
2021-06-15,57.209999084472656
2021-06-16,57.79999923706055
2021-06-17,54.33000183105469
2021-06-18,52.810001373291016
2021-06-21,54.5
2021-06-22,54.36000061035156
2021-06-23,54.630001068115234
2021-06-24,55.31999969482422
2021-06-25,56.130001068115234
2021-06-28,55.209999084472656
2021-06-29,55.29999923706055
2021-06-30,55.5
2021-07-01,56.29999923706055
2021-07-02,56.02999877929688
2021-07-06,54.41999816894531
2021-07-07,53.68000030517578
2021-07-08,52.97999954223633
2021-07-09,55.209999084472656
2021-07-12,55.59999847412109
2021-07-13,54.709999084472656
2021-07-14,54.43000030517578
2021-07-15,55.86000061035156
2021-07-16,54.38999938964844
2021-07-19,52.18000030517578
2021-07-20,54.06999969482422
2021-07-21,55.27999877929688
2021-07-22,54.33000183105469
2021-07-23,54.459999084472656
2021-07-26,54.900001525878906
2021-07-27,54.95000076293945
2021-07-28,55.08000183105469
2021-07-29,55.31999969482422
2021-07-30,54.43000030517578
2021-08-02,54.13999938964844
2021-08-03,55.310001373291016
2021-08-04,54.59000015258789
2021-08-05,55.54999923706055
2021-08-06,56.59999847412109
2021-08-09,56.720001220703125
2021-08-10,57.959999084472656
2021-08-11,58.86000061035156
2021-08-12,58.5099983215332
2021-08-13,57.380001068115234
2021-08-16,57.06999969482422
2021-08-17,56.18999862670898
2021-08-18,55.560001373291016
2021-08-19,55.040000915527344
2021-08-20,55.58000183105469
2021-08-23,56.08000183105469
2021-08-24,56.709999084472656
2021-08-25,57.560001373291016
2021-08-26,56.97999954223633
2021-08-27,57.970001220703125
2021-08-30,56.790000915527344
2021-08-31,57.060001373291016
2021-09-01,56.220001220703125
2021-09-02,56.59999847412109
2021-09-03,56.45000076293945
2021-09-07,56.02000045776367
2021-09-08,55.63999938964844
2021-09-09,55.72999954223633
2021-09-10,55.20000076293945
2021-09-13,56.22999954223633
2021-09-14,54.630001068115234
2021-09-15,55.58000183105469
2021-09-16,55.27999877929688
2021-09-17,55.33000183105469
2021-09-20,53.68000030517578
2021-09-21,53.66999816894531
2021-09-22,54.7400016784668
2021-09-23,57.09000015258789
2021-09-24,58.0
2021-09-27,60.150001525878906
2021-09-28,59.18999862670898
2021-09-29,59.41999816894531
2021-09-30,58.650001525878906
2021-10-01,60.220001220703125
2021-10-04,60.04999923706055
2021-10-05,60.27999877929688
2021-10-06,60.130001068115234
2021-10-07,60.52000045776367
2021-10-08,60.83000183105469
2021-10-11,60.22999954223633
2021-10-12,60.22999954223633
2021-10-13,59.91999816894531
2021-10-14,60.63999938964844
2021-10-15,61.34000015258789
2021-10-18,61.7599983215332
2021-10-19,62.56999969482422
2021-10-20,63.880001068115234
2021-10-21,63.58000183105469
2021-10-22,64.44000244140625
2021-10-25,64.56999969482422
2021-10-26,64.44000244140625
2021-10-27,63.0099983215332
2021-10-28,63.88999938964844
2021-10-29,63.470001220703125
2021-11-01,64.43000030517578
2021-11-02,64.30000305175781
2021-11-03,65.13999938964844
2021-11-04,63.7599983215332
2021-11-05,64.29000091552734
2021-11-08,64.7699966430664
2021-11-09,64.73999786376953
2021-11-10,63.88999938964844
2021-11-11,63.43999862670898
2021-11-12,62.70000076293945
2021-11-15,63.27999877929688
2021-11-16,63.54999923706055
2021-11-17,62.43000030517578
2021-11-18,61.869998931884766
2021-11-19,60.63999938964844
2021-11-22,62.119998931884766
2021-11-23,62.90999984741211
2021-11-24,62.88999938964844
2021-11-26,60.08000183105469
2021-11-29,61.060001373291016
2021-11-30,59.310001373291016
2021-12-01,58.34999847412109
2021-12-02,60.380001068115234
2021-12-03,58.47999954223633
2021-12-06,59.5
2021-12-07,60.58000183105469
2021-12-08,59.7599983215332
2021-12-09,59.619998931884766
2021-12-10,59.38999938964844
2021-12-13,58.0
2021-12-14,58.65999984741211
2021-12-15,58.56999969482422
2021-12-16,59.18000030517578
2021-12-17,57.11000061035156
2021-12-20,55.66999816894531
2021-12-21,57.119998931884766
2021-12-22,57.34000015258789
2021-12-23,57.77000045776367
2021-12-27,58.459999084472656
2021-12-28,58.70000076293945
2021-12-29,58.77999877929688
2021-12-30,58.5
2021-12-31,58.54999923706055
