,DOC
2018-11-06,28.489999771118164
2018-11-07,28.71999931335449
2018-11-08,28.770000457763672
2018-11-09,28.81999969482422
2018-11-12,28.81999969482422
2018-11-13,28.780000686645508
2018-11-14,28.459999084472656
2018-11-15,28.40999984741211
2018-11-16,28.56999969482422
2018-11-19,28.65999984741211
2018-11-20,28.940000534057617
2018-11-21,28.86000061035156
2018-11-23,28.76000022888184
2018-11-26,28.739999771118164
2018-11-27,29.059999465942383
2018-11-28,28.89999961853028
2018-11-29,28.799999237060547
2018-11-30,29.26000022888184
2018-12-03,29.15999984741211
2018-12-04,29.07999992370605
2018-12-06,30.229999542236328
2018-12-07,29.8700008392334
2018-12-10,29.799999237060547
2018-12-11,29.600000381469727
2018-12-12,28.90999984741211
2018-12-13,29.0
2018-12-14,28.950000762939453
2018-12-17,27.979999542236328
2018-12-18,28.559999465942383
2018-12-19,28.34000015258789
2018-12-20,28.770000457763672
2018-12-21,28.270000457763672
2018-12-24,26.770000457763672
2018-12-26,27.940000534057617
2018-12-27,27.809999465942383
2018-12-28,27.8799991607666
2018-12-31,27.93000030517578
2019-01-02,26.979999542236328
2019-01-03,27.950000762939453
2019-01-04,27.96999931335449
2019-01-07,28.299999237060547
2019-01-08,28.61000061035156
2019-01-09,28.51000022888184
2019-01-10,28.8700008392334
2019-01-11,29.01000022888184
2019-01-14,28.96999931335449
2019-01-15,29.46999931335449
2019-01-16,29.690000534057617
2019-01-17,29.809999465942383
2019-01-18,29.8799991607666
2019-01-22,29.89999961853028
2019-01-23,29.88999938964844
2019-01-24,29.81999969482422
2019-01-25,30.3700008392334
2019-01-28,30.6299991607666
2019-01-29,30.76000022888184
2019-01-30,30.90999984741211
2019-01-31,31.540000915527344
2019-02-01,31.190000534057617
2019-02-04,31.21999931335449
2019-02-05,31.32999992370605
2019-02-06,31.09000015258789
2019-02-07,31.3700008392334
2019-02-08,31.239999771118164
2019-02-11,31.09000015258789
2019-02-12,30.38999938964844
2019-02-13,30.75
2019-02-14,30.940000534057617
2019-02-15,30.84000015258789
2019-02-19,30.959999084472656
2019-02-20,30.82999992370605
2019-02-21,31.01000022888184
2019-02-22,31.25
2019-02-25,30.799999237060547
2019-02-26,30.920000076293945
2019-02-27,30.780000686645508
2019-02-28,30.770000457763672
2019-03-01,30.520000457763672
2019-03-04,30.600000381469727
2019-03-05,30.729999542236328
2019-03-06,30.450000762939453
2019-03-07,30.39999961853028
2019-03-08,30.3700008392334
2019-03-11,30.940000534057617
2019-03-12,31.100000381469727
2019-03-13,31.229999542236328
2019-03-14,31.299999237060547
2019-03-15,31.1299991607666
2019-03-18,30.46999931335449
2019-03-19,30.309999465942383
2019-03-20,30.68000030517578
2019-03-21,31.64999961853028
2019-03-22,31.64999961853028
2019-03-25,31.690000534057617
2019-03-26,31.850000381469727
2019-03-27,31.51000022888184
2019-03-28,31.690000534057617
2019-03-29,31.299999237060547
2019-04-01,31.18000030517578
2019-04-02,31.25
2019-04-03,31.229999542236328
2019-04-04,31.049999237060547
2019-04-05,31.209999084472656
2019-04-08,30.920000076293945
2019-04-09,30.790000915527344
2019-04-10,30.96999931335449
2019-04-11,30.8700008392334
2019-04-12,30.86000061035156
2019-04-15,30.809999465942383
2019-04-16,29.82999992370605
2019-04-17,29.14999961853028
2019-04-18,29.82999992370605
2019-04-22,29.270000457763672
2019-04-23,29.56999969482422
2019-04-24,29.799999237060547
2019-04-25,29.920000076293945
2019-04-26,30.25
2019-04-29,29.549999237060547
2019-04-30,29.780000686645508
2019-05-01,29.93000030517578
2019-05-02,30.540000915527344
2019-05-03,30.690000534057617
2019-05-06,30.280000686645508
2019-05-07,29.799999237060547
2019-05-08,29.690000534057617
2019-05-09,30.0
2019-05-10,30.32999992370605
2019-05-13,30.950000762939453
2019-05-14,30.8799991607666
2019-05-15,31.190000534057617
2019-05-16,31.549999237060547
2019-05-17,31.61000061035156
2019-05-20,31.020000457763672
2019-05-21,31.25
2019-05-22,31.32999992370605
2019-05-23,31.790000915527344
2019-05-24,31.82999992370605
2019-05-28,31.39999961853028
2019-05-29,31.190000534057617
2019-05-30,31.39999961853028
2019-05-31,31.709999084472656
2019-06-03,31.809999465942383
2019-06-04,30.96999931335449
2019-06-05,31.530000686645508
2019-06-06,31.84000015258789
2019-06-07,31.729999542236328
2019-06-10,31.440000534057617
2019-06-11,31.530000686645508
2019-06-12,31.600000381469727
2019-06-13,31.940000534057617
2019-06-14,32.119998931884766
2019-06-17,32.459999084472656
2019-06-18,32.25
2019-06-19,32.43000030517578
2019-06-20,33.290000915527344
2019-06-21,32.70000076293945
2019-06-24,32.79999923706055
2019-06-25,32.22999954223633
2019-06-26,31.600000381469727
2019-06-27,31.799999237060547
2019-06-28,31.979999542236328
2019-07-01,31.56999969482422
2019-07-02,32.560001373291016
2019-07-03,32.95000076293945
2019-07-05,32.68000030517578
2019-07-08,33.06999969482422
2019-07-09,33.11000061035156
2019-07-10,33.27000045776367
2019-07-11,32.630001068115234
2019-07-12,32.56999969482422
2019-07-15,32.310001373291016
2019-07-16,32.27000045776367
2019-07-17,32.54999923706055
2019-07-18,32.63999938964844
2019-07-19,31.739999771118164
2019-07-22,31.6299991607666
2019-07-23,32.15999984741211
2019-07-24,31.950000762939453
2019-07-25,31.790000915527344
2019-07-26,32.08000183105469
2019-07-29,32.08000183105469
2019-07-30,32.25
2019-07-31,31.93000030517578
2019-08-01,32.75
2019-08-02,32.88999938964844
2019-08-05,32.45000076293945
2019-08-06,32.779998779296875
2019-08-07,33.709999084472656
2019-08-08,34.209999084472656
2019-08-09,34.099998474121094
2019-08-12,33.720001220703125
2019-08-13,33.619998931884766
2019-08-14,33.4900016784668
2019-08-15,34.29999923706055
2019-08-16,34.47999954223633
2019-08-19,34.630001068115234
2019-08-20,33.9900016784668
2019-08-21,34.25
2019-08-22,34.529998779296875
2019-08-23,34.150001525878906
2019-08-26,34.45000076293945
2019-08-27,34.59000015258789
2019-08-28,34.630001068115234
2019-08-29,34.75
2019-08-30,34.709999084472656
2019-09-03,35.540000915527344
2019-09-04,35.9900016784668
2019-09-05,35.349998474121094
2019-09-06,35.58000183105469
2019-09-09,35.209999084472656
2019-09-10,34.689998626708984
2019-09-11,34.599998474121094
2019-09-12,34.61000061035156
2019-09-13,33.7400016784668
2019-09-16,34.099998474121094
2019-09-17,35.11000061035156
2019-09-18,34.95000076293945
2019-09-19,35.09000015258789
2019-09-20,35.0099983215332
2019-09-23,35.060001373291016
2019-09-24,35.349998474121094
2019-09-25,35.09000015258789
2019-09-26,35.380001068115234
2019-09-27,35.52000045776367
2019-09-30,35.630001068115234
2019-10-01,35.709999084472656
2019-10-02,35.880001068115234
2019-10-03,36.18999862670898
2019-10-04,36.38999938964844
2019-10-07,36.31999969482422
2019-10-08,36.45000076293945
2019-10-09,36.45000076293945
2019-10-10,36.54999923706055
2019-10-11,36.34999847412109
2019-10-14,36.650001525878906
2019-10-15,36.709999084472656
2019-10-16,36.84000015258789
2019-10-17,37.0
2019-10-18,37.38999938964844
2019-10-21,37.56999969482422
2019-10-22,37.52000045776367
2019-10-23,37.93000030517578
2019-10-24,37.59000015258789
2019-10-25,36.29999923706055
2019-10-28,36.150001525878906
2019-10-29,36.400001525878906
2019-10-30,36.88999938964844
2019-10-31,37.619998931884766
2019-11-01,36.709999084472656
2019-11-04,35.779998779296875
2019-11-05,35.779998779296875
