,MPWR
2019-05-24,119.33999633789062
2019-05-28,116.76000213623048
2019-05-29,117.51000213623048
2019-05-30,118.41999816894533
2019-05-31,116.4499969482422
2019-06-03,119.16000366210938
2019-06-04,125.12999725341795
2019-06-05,125.7300033569336
2019-06-06,123.63999938964844
2019-06-07,125.08999633789062
2019-06-10,130.5800018310547
2019-06-11,131.1699981689453
2019-06-12,127.5500030517578
2019-06-13,129.9499969482422
2019-06-14,126.41000366210938
2019-06-17,126.08999633789062
2019-06-18,130.47000122070312
2019-06-19,128.33999633789062
2019-06-20,130.32000732421875
2019-06-21,128.8300018310547
2019-06-24,127.5
2019-06-25,124.25
2019-06-26,128.75999450683594
2019-06-27,132.82000732421875
2019-06-28,135.77999877929688
2019-07-01,138.72000122070312
2019-07-02,136.44000244140625
2019-07-03,136.25999450683594
2019-07-05,137.1199951171875
2019-07-08,136.00999450683594
2019-07-09,138.74000549316406
2019-07-10,140.7899932861328
2019-07-11,140.6699981689453
2019-07-12,143.32000732421875
2019-07-15,143.80999755859375
2019-07-16,143.1199951171875
2019-07-17,142.75999450683594
2019-07-18,145.92999267578125
2019-07-19,144.9499969482422
2019-07-22,145.30999755859375
2019-07-23,146.69000244140625
2019-07-24,153.30999755859375
2019-07-25,149.9199981689453
2019-07-26,150.97999572753906
2019-07-29,150.57000732421875
2019-07-30,150.91000366210938
2019-07-31,148.16000366210938
2019-08-01,149.75
2019-08-02,146.61000061035156
2019-08-05,142.24000549316406
2019-08-06,145.25
2019-08-07,146.2899932861328
2019-08-08,152.44000244140625
2019-08-09,149.19000244140625
2019-08-12,145.3800048828125
2019-08-13,151.16000366210938
2019-08-14,143.99000549316406
2019-08-15,145.13999938964844
2019-08-16,151.3699951171875
2019-08-19,153.50999450683594
2019-08-20,152.47000122070312
2019-08-21,154.4199981689453
2019-08-22,155.3699951171875
2019-08-23,148.10000610351562
2019-08-26,148.57000732421875
2019-08-27,146.5399932861328
2019-08-28,147.02000427246094
2019-08-29,150.4199981689453
2019-08-30,150.55999755859375
2019-09-03,146.27000427246094
2019-09-04,149.72000122070312
2019-09-05,156.07000732421875
2019-09-06,156.0
2019-09-09,153.82000732421875
2019-09-10,152.91000366210938
2019-09-11,157.52000427246094
2019-09-12,161.32000732421875
