,FDS
2018-04-10,197.9900054931641
2018-04-11,196.77999877929688
2018-04-12,198.41000366210932
2018-04-13,197.47999572753903
2018-04-16,196.33999633789065
2018-04-17,196.52999877929688
2018-04-18,196.2100067138672
2018-04-19,194.4499969482422
2018-04-20,192.5800018310547
2018-04-23,191.77999877929688
2018-04-24,193.08999633789065
2018-04-25,193.2100067138672
2018-04-26,193.97999572753903
2018-04-27,191.3800048828125
2018-04-30,189.1100006103516
2018-05-01,188.66000366210932
2018-05-02,186.0500030517578
2018-05-03,186.97000122070312
2018-05-04,189.7100067138672
2018-05-07,191.5
2018-05-08,194.1100006103516
2018-05-09,196.9199981689453
2018-05-10,197.5399932861328
2018-05-11,197.6199951171875
2018-05-14,196.47999572753903
2018-05-15,196.72000122070312
2018-05-16,197.6699981689453
2018-05-17,197.8999938964844
2018-05-18,197.6300048828125
2018-05-21,201.92999267578125
2018-05-22,201.1000061035156
2018-05-23,201.8999938964844
2018-05-24,202.58999633789065
2018-05-25,201.6000061035156
2018-05-29,200.4900054931641
2018-05-30,202.1199951171875
2018-05-31,201.009994506836
2018-06-01,203.92999267578125
2018-06-04,204.3000030517578
2018-06-05,204.8099975585937
2018-06-06,205.44000244140625
2018-06-07,206.4900054931641
2018-06-08,208.41000366210932
2018-06-11,209.6999969482422
2018-06-12,210.69000244140625
2018-06-13,212.0
2018-06-14,213.3800048828125
2018-06-15,213.1999969482422
2018-06-18,213.8099975585937
2018-06-19,213.91000366210932
2018-06-20,215.7899932861328
2018-06-21,213.02999877929688
2018-06-22,210.9499969482422
2018-06-25,207.8699951171875
2018-06-26,197.1199951171875
2018-06-27,200.259994506836
2018-06-28,197.47999572753903
2018-06-29,198.1000061035156
2018-07-02,200.1999969482422
2018-07-03,199.25
2018-07-05,199.97000122070312
2018-07-06,201.6300048828125
2018-07-09,204.5500030517578
2018-07-10,205.44000244140625
2018-07-11,205.92999267578125
2018-07-12,205.3600006103516
2018-07-13,202.1999969482422
2018-07-16,201.7700042724609
2018-07-17,205.1300048828125
2018-07-18,206.25
2018-07-19,205.42999267578125
2018-07-20,205.509994506836
2018-07-23,204.1999969482422
2018-07-24,205.77999877929688
2018-07-25,207.33999633789065
2018-07-26,204.97000122070312
2018-07-27,203.2700042724609
2018-07-30,201.4499969482422
2018-07-31,201.3600006103516
2018-08-01,200.3500061035156
2018-08-02,202.1699981689453
2018-08-03,202.8000030517578
2018-08-06,212.4900054931641
2018-08-07,213.47000122070312
2018-08-08,213.4600067138672
2018-08-09,214.009994506836
2018-08-10,212.4900054931641
2018-08-13,214.6199951171875
2018-08-14,216.8300018310547
2018-08-15,215.7700042724609
2018-08-16,218.2400054931641
2018-08-17,220.52999877929688
2018-08-20,221.8099975585937
2018-08-21,222.41000366210932
2018-08-22,221.2100067138672
2018-08-23,222.259994506836
2018-08-24,224.3099975585937
2018-08-27,224.07000732421875
2018-08-28,225.77999877929688
2018-08-29,227.07000732421875
2018-08-30,225.6300048828125
2018-08-31,229.38999938964844
2018-09-04,232.16000366210932
2018-09-05,230.8600006103516
2018-09-06,233.38999938964844
2018-09-07,233.25
2018-09-10,233.1699981689453
2018-09-11,232.27999877929688
2018-09-12,232.6199951171875
2018-09-13,234.17999267578125
2018-09-14,235.08999633789065
2018-09-17,232.02999877929688
2018-09-18,232.97000122070312
2018-09-19,231.97999572753903
2018-09-20,233.2700042724609
2018-09-21,231.3300018310547
2018-09-24,231.6499938964844
2018-09-25,227.25
2018-09-26,225.6199951171875
2018-09-27,224.259994506836
2018-09-28,223.7100067138672
2018-10-01,225.38999938964844
2018-10-02,224.5
2018-10-03,225.5399932861328
2018-10-04,222.5800018310547
