,CRH
2021-05-06,50.40999984741211
2021-05-07,50.9900016784668
2021-05-10,50.540000915527344
2021-05-11,50.22999954223633
2021-05-12,49.36000061035156
2021-05-13,49.790000915527344
2021-05-14,51.18000030517578
2021-05-17,51.18000030517578
2021-05-18,51.02999877929688
2021-05-19,50.310001373291016
2021-05-20,50.47999954223633
2021-05-21,50.540000915527344
2021-05-24,51.4900016784668
2021-05-25,50.88999938964844
2021-05-26,51.369998931884766
2021-05-27,52.29999923706055
2021-05-28,52.06999969482422
2021-06-01,52.63999938964844
2021-06-02,52.540000915527344
2021-06-03,52.43000030517578
2021-06-04,52.36000061035156
2021-06-07,53.09000015258789
2021-06-08,53.09999847412109
2021-06-09,51.900001525878906
2021-06-10,52.13999938964844
2021-06-11,52.560001373291016
2021-06-14,51.59999847412109
2021-06-15,51.77999877929688
2021-06-16,51.20000076293945
2021-06-17,50.5
2021-06-18,49.34999847412109
2021-06-21,50.77000045776367
2021-06-22,51.2400016784668
2021-06-23,50.65999984741211
2021-06-24,51.70000076293945
2021-06-25,52.25
2021-06-28,51.22999954223633
2021-06-29,51.209999084472656
2021-06-30,50.84000015258789
2021-07-01,51.119998931884766
2021-07-02,50.63999938964844
2021-07-06,49.81999969482422
2021-07-07,50.52999877929688
2021-07-08,49.15999984741211
2021-07-09,50.43999862670898
2021-07-12,50.02999877929688
2021-07-13,49.720001220703125
2021-07-14,49.720001220703125
2021-07-15,49.25
2021-07-16,48.7400016784668
2021-07-19,47.040000915527344
2021-07-20,47.880001068115234
2021-07-21,48.84999847412109
2021-07-22,48.45000076293945
2021-07-23,48.83000183105469
2021-07-26,49.36000061035156
2021-07-27,49.09000015258789
2021-07-28,50.290000915527344
2021-07-29,50.290000915527344
2021-07-30,49.88999938964844
2021-08-02,49.790000915527344
2021-08-03,50.75
2021-08-04,50.52000045776367
2021-08-05,50.27999877929688
2021-08-06,50.83000183105469
2021-08-09,50.77999877929688
2021-08-10,51.79999923706055
2021-08-11,53.36000061035156
2021-08-12,53.2400016784668
2021-08-13,52.9900016784668
2021-08-16,52.54999923706055
2021-08-17,51.720001220703125
2021-08-18,51.59000015258789
2021-08-19,51.119998931884766
2021-08-20,51.5099983215332
2021-08-23,51.93000030517578
2021-08-24,51.52000045776367
2021-08-25,51.83000183105469
2021-08-26,53.43999862670898
2021-08-27,53.7599983215332
2021-08-30,53.61000061035156
2021-08-31,53.119998931884766
2021-09-01,52.970001220703125
2021-09-02,52.7599983215332
2021-09-03,52.970001220703125
2021-09-07,51.84000015258789
2021-09-08,51.41999816894531
2021-09-09,51.119998931884766
2021-09-10,51.31999969482422
2021-09-13,51.97999954223633
2021-09-14,51.81999969482422
2021-09-15,51.959999084472656
2021-09-16,51.720001220703125
2021-09-17,49.7599983215332
2021-09-20,49.040000915527344
2021-09-21,49.25
2021-09-22,50.0099983215332
2021-09-23,50.47999954223633
2021-09-24,49.59000015258789
2021-09-27,49.380001068115234
2021-09-28,48.20000076293945
2021-09-29,47.290000915527344
2021-09-30,46.7400016784668
2021-10-01,47.25
2021-10-04,46.709999084472656
2021-10-05,46.0099983215332
2021-10-06,46.43000030517578
2021-10-07,47.13999938964844
2021-10-08,46.81999969482422
2021-10-11,46.119998931884766
2021-10-12,46.15999984741211
2021-10-13,46.36000061035156
2021-10-14,47.18999862670898
2021-10-15,47.5099983215332
2021-10-18,47.18999862670898
2021-10-19,47.709999084472656
2021-10-20,48.20000076293945
2021-10-21,47.380001068115234
2021-10-22,47.34000015258789
2021-10-25,47.91999816894531
2021-10-26,48.02000045776367
2021-10-27,47.58000183105469
2021-10-28,48.220001220703125
2021-10-29,47.93999862670898
2021-11-01,48.54999923706055
2021-11-02,49.540000915527344
2021-11-03,49.900001525878906
2021-11-04,49.290000915527344
2021-11-05,49.47999954223633
2021-11-08,50.54999923706055
2021-11-09,50.63999938964844
2021-11-10,50.220001220703125
2021-11-11,50.34999847412109
2021-11-12,51.0
2021-11-15,50.560001373291016
2021-11-16,50.540000915527344
2021-11-17,50.40999984741211
2021-11-18,49.810001373291016
2021-11-19,49.11000061035156
2021-11-22,48.70000076293945
2021-11-23,50.68999862670898
2021-11-24,51.11000061035156
2021-11-26,49.93000030517578
2021-11-29,49.13999938964844
2021-11-30,48.68000030517578
2021-12-01,48.02000045776367
2021-12-02,49.33000183105469
2021-12-03,48.52999877929688
2021-12-06,50.400001525878906
2021-12-07,51.4900016784668
2021-12-08,50.93999862670898
2021-12-09,50.29999923706055
2021-12-10,50.40999984741211
2021-12-13,49.7400016784668
2021-12-14,50.09999847412109
2021-12-15,50.720001220703125
2021-12-16,50.41999816894531
2021-12-17,50.0
2021-12-20,49.45000076293945
2021-12-21,50.68999862670898
2021-12-22,51.5
2021-12-23,51.59000015258789
2021-12-27,52.52000045776367
2021-12-28,52.4900016784668
2021-12-29,53.02000045776367
2021-12-30,52.650001525878906
2021-12-31,52.79999923706055
2022-01-03,53.20000076293945
2022-01-04,54.22999954223633
2022-01-05,53.34999847412109
2022-01-06,52.95000076293945
2022-01-07,52.959999084472656
2022-01-10,52.2599983215332
2022-01-11,53.36000061035156
2022-01-12,54.06999969482422
2022-01-13,53.970001220703125
2022-01-14,53.209999084472656
2022-01-18,52.38999938964844
