,FIX
2019-01-31,47.970001220703125
2019-02-01,47.27999877929688
2019-02-04,47.84999847412109
2019-02-05,48.59000015258789
2019-02-06,48.59000015258789
2019-02-07,47.86000061035156
2019-02-08,48.09000015258789
2019-02-11,48.709999084472656
2019-02-12,49.43000030517578
2019-02-13,49.77999877929688
2019-02-14,50.0
2019-02-15,50.65999984741211
2019-02-19,51.02000045776367
2019-02-20,51.63999938964844
2019-02-21,51.95000076293945
2019-02-22,54.43999862670898
2019-02-25,54.34999847412109
2019-02-26,54.09000015258789
2019-02-27,53.59000015258789
2019-02-28,53.619998931884766
2019-03-01,53.630001068115234
2019-03-04,53.02000045776367
2019-03-05,52.900001525878906
2019-03-06,52.040000915527344
2019-03-07,52.02000045776367
2019-03-08,52.04999923706055
2019-03-11,53.16999816894531
2019-03-12,52.58000183105469
2019-03-13,52.79999923706055
2019-03-14,52.43999862670898
2019-03-15,52.459999084472656
2019-03-18,52.77000045776367
2019-03-19,52.27000045776367
2019-03-20,52.04999923706055
2019-03-21,52.369998931884766
2019-03-22,50.59999847412109
2019-03-25,51.27999877929688
2019-03-26,51.459999084472656
2019-03-27,51.810001373291016
2019-03-28,52.470001220703125
2019-03-29,52.38999938964844
2019-04-01,53.0099983215332
2019-04-02,52.77000045776367
2019-04-03,53.40999984741211
2019-04-04,53.630001068115234
2019-04-05,54.40999984741211
2019-04-08,54.36000061035156
2019-04-09,53.900001525878906
2019-04-10,54.040000915527344
2019-04-11,54.630001068115234
2019-04-12,55.16999816894531
2019-04-15,57.130001068115234
2019-04-16,57.75
2019-04-17,57.59000015258789
2019-04-18,57.59000015258789
2019-04-22,56.93999862670898
2019-04-23,57.2599983215332
2019-04-24,57.63999938964844
2019-04-25,56.77000045776367
2019-04-26,54.20000076293945
2019-04-29,52.58000183105469
2019-04-30,54.09999847412109
2019-05-01,52.59000015258789
2019-05-02,52.650001525878906
2019-05-03,52.31999969482422
2019-05-06,52.08000183105469
2019-05-07,51.0
2019-05-08,50.09999847412109
2019-05-09,49.900001525878906
2019-05-10,49.61000061035156
2019-05-13,47.52999877929688
2019-05-14,48.560001373291016
2019-05-15,48.54999923706055
