,PKG
2015-09-04,64.56999969482422
2015-09-08,66.18000030517578
2015-09-09,65.41999816894531
2015-09-10,65.81999969482422
2015-09-11,65.52999877929688
2015-09-14,65.83000183105469
2015-09-15,66.2300033569336
2015-09-16,66.16999816894531
2015-09-17,65.5
2015-09-18,64.23999786376953
2015-09-21,64.16000366210938
2015-09-22,62.810001373291016
2015-09-23,62.470001220703125
2015-09-24,61.0
2015-09-25,61.29999923706055
2015-09-28,59.34000015258789
2015-09-29,59.4900016784668
2015-09-30,60.15999984741211
2015-10-01,61.2400016784668
2015-10-02,62.52999877929688
2015-10-05,63.630001068115234
2015-10-06,62.83000183105469
2015-10-07,64.0199966430664
2015-10-08,65.02999877929688
2015-10-09,69.72000122070312
2015-10-12,68.5199966430664
2015-10-13,68.06999969482422
2015-10-14,68.73999786376953
2015-10-15,68.9000015258789
2015-10-16,69.33999633789062
2015-10-19,69.05000305175781
2015-10-20,68.22000122070312
2015-10-21,64.30000305175781
2015-10-22,64.83000183105469
2015-10-23,66.62999725341797
2015-10-26,67.45999908447266
2015-10-27,66.98999786376953
2015-10-28,67.62999725341797
2015-10-29,68.04000091552734
2015-10-30,68.44999694824219
2015-11-02,69.1500015258789
2015-11-03,67.30999755859375
2015-11-04,67.33000183105469
2015-11-05,67.19999694824219
2015-11-06,67.0199966430664
2015-11-09,66.4800033569336
2015-11-10,66.25
2015-11-11,66.9000015258789
2015-11-12,64.5999984741211
2015-11-13,64.93000030517578
2015-11-16,64.51000213623047
2015-11-17,63.369998931884766
2015-11-18,65.62999725341797
2015-11-19,66.47000122070312
2015-11-20,67.27999877929688
2015-11-23,67.2699966430664
2015-11-24,68.37999725341797
2015-11-25,67.41000366210938
2015-11-27,68.0
2015-11-30,67.98999786376953
2015-12-01,68.8499984741211
2015-12-02,67.45999908447266
2015-12-03,66.7699966430664
2015-12-04,67.06999969482422
2015-12-07,66.93000030517578
2015-12-08,65.6500015258789
2015-12-09,65.79000091552734
2015-12-10,65.25
2015-12-11,65.08999633789062
2015-12-14,63.790000915527344
2015-12-15,64.22000122070312
2015-12-16,65.05999755859375
2015-12-17,61.959999084472656
2015-12-18,59.86000061035156
2015-12-21,60.91999816894531
2015-12-22,62.70000076293945
2015-12-23,63.84000015258789
2015-12-24,64.30000305175781
2015-12-28,64.37000274658203
2015-12-29,63.93999862670898
2015-12-30,64.0
2015-12-31,63.04999923706055
2016-01-04,62.34999847412109
2016-01-05,62.290000915527344
2016-01-06,60.93000030517578
2016-01-07,59.4900016784668
2016-01-08,58.2400016784668
2016-01-11,59.5
2016-01-12,59.5
2016-01-13,57.650001525878906
2016-01-14,58.15999984741211
2016-01-15,58.459999084472656
2016-01-19,57.34000015258789
2016-01-20,56.97999954223633
2016-01-21,55.95000076293945
2016-01-22,57.65999984741211
2016-01-25,50.18999862670898
2016-01-26,49.70000076293945
2016-01-27,49.79999923706055
2016-01-28,48.880001068115234
2016-01-29,50.83000183105469
2016-02-01,51.0099983215332
2016-02-02,49.90999984741211
2016-02-03,49.41999816894531
2016-02-04,50.43999862670898
2016-02-05,50.63999938964844
2016-02-08,49.72999954223633
2016-02-09,49.84000015258789
2016-02-10,48.81999969482422
2016-02-11,46.06999969482422
2016-02-12,46.59999847412109
2016-02-16,47.38999938964844
2016-02-17,47.959999084472656
2016-02-18,47.15999984741211
2016-02-19,45.150001525878906
2016-02-22,45.720001220703125
2016-02-23,45.81999969482422
2016-02-24,47.290000915527344
2016-02-25,47.459999084472656
2016-02-26,48.33000183105469
2016-02-29,48.5
2016-03-01,50.47999954223633
2016-03-02,50.720001220703125
2016-03-03,52.43999862670898
2016-03-04,52.68999862670898
2016-03-07,53.43000030517578
2016-03-08,52.619998931884766
2016-03-09,55.0099983215332
2016-03-10,54.36000061035156
2016-03-11,55.41999816894531
2016-03-14,55.11000061035156
2016-03-15,54.290000915527344
2016-03-16,55.900001525878906
2016-03-17,57.290000915527344
2016-03-18,57.20000076293945
2016-03-21,58.2599983215332
2016-03-22,58.97999954223633
2016-03-23,58.38999938964844
2016-03-24,58.709999084472656
2016-03-28,58.93999862670898
2016-03-29,60.18999862670898
2016-03-30,59.43999862670898
2016-03-31,60.400001525878906
2016-04-01,60.72999954223633
2016-04-04,60.45000076293945
2016-04-05,58.88999938964844
2016-04-06,59.83000183105469
2016-04-07,58.9900016784668
2016-04-08,60.18000030517578
2016-04-11,60.060001373291016
2016-04-12,60.68000030517578
2016-04-13,61.77000045776367
2016-04-14,61.18999862670898
2016-04-15,62.27000045776367
2016-04-18,62.58000183105469
2016-04-19,63.09000015258789
2016-04-20,62.70000076293945
2016-04-21,63.84999847412109
2016-04-22,65.68000030517578
2016-04-25,65.11000061035156
2016-04-26,65.93000030517578
2016-04-27,66.16000366210938
2016-04-28,65.8499984741211
2016-04-29,64.87999725341797
2016-05-02,66.12000274658203
2016-05-03,65.37999725341797
2016-05-04,64.75
2016-05-05,64.94999694824219
2016-05-06,65.27999877929688
2016-05-09,65.5999984741211
2016-05-10,66.75
2016-05-11,66.16000366210938
2016-05-12,66.33000183105469
2016-05-13,65.31999969482422
2016-05-16,66.44999694824219
2016-05-17,65.08000183105469
2016-05-18,64.38999938964844
2016-05-19,64.12999725341797
2016-05-20,65.12999725341797
2016-05-23,65.3499984741211
2016-05-24,65.80999755859375
2016-05-25,67.61000061035156
2016-05-26,67.54000091552734
2016-05-27,68.33000183105469
2016-05-31,68.2300033569336
2016-06-01,68.95999908447266
2016-06-02,69.4800033569336
2016-06-03,69.26000213623047
2016-06-06,69.75
2016-06-07,71.08000183105469
2016-06-08,70.80999755859375
2016-06-09,69.63999938964844
2016-06-10,69.11000061035156
2016-06-13,66.0199966430664
2016-06-14,65.69000244140625
2016-06-15,65.41999816894531
2016-06-16,65.55000305175781
2016-06-17,65.75
2016-06-20,67.56999969482422
2016-06-21,67.75
2016-06-22,68.22000122070312
2016-06-23,69.05000305175781
2016-06-24,66.02999877929688
2016-06-27,62.88999938964844
2016-06-28,63.66999816894531
2016-06-29,65.86000061035156
2016-06-30,66.93000030517578
2016-07-01,67.12999725341797
2016-07-05,65.44000244140625
2016-07-06,68.4800033569336
2016-07-07,68.70999908447266
2016-07-08,70.13999938964844
2016-07-11,69.73999786376953
2016-07-12,70.63999938964844
2016-07-13,70.9800033569336
2016-07-14,71.83000183105469
2016-07-15,74.02999877929688
2016-07-18,73.66999816894531
2016-07-19,73.16999816894531
2016-07-20,73.77999877929688
2016-07-21,73.80999755859375
2016-07-22,74.33999633789062
2016-07-25,74.02999877929688
2016-07-26,75.30000305175781
2016-07-27,75.08000183105469
2016-07-28,74.91999816894531
2016-07-29,74.69000244140625
2016-08-01,74.43000030517578
2016-08-02,73.81999969482422
2016-08-03,74.04000091552734
2016-08-04,74.25
2016-08-05,74.62999725341797
2016-08-08,74.62000274658203
2016-08-09,75.5
2016-08-10,76.33000183105469
2016-08-11,76.95999908447266
2016-08-12,76.16000366210938
2016-08-15,75.97000122070312
2016-08-16,76.86000061035156
2016-08-17,77.2699966430664
2016-08-18,77.63999938964844
2016-08-19,77.79000091552734
2016-08-22,76.51000213623047
2016-08-23,77.08999633789062
2016-08-24,76.01000213623047
2016-08-25,78.69000244140625
2016-08-26,79.36000061035156
2016-08-29,78.91000366210938
2016-08-30,79.41999816894531
2016-08-31,78.62999725341797
2016-09-01,78.94000244140625
2016-09-02,79.66999816894531
2016-09-06,80.55000305175781
2016-09-07,81.30999755859375
2016-09-08,80.86000061035156
2016-09-09,78.91000366210938
2016-09-12,80.41999816894531
2016-09-13,79.16000366210938
2016-09-14,78.62999725341797
2016-09-15,80.02999877929688
2016-09-16,80.05999755859375
2016-09-19,80.4000015258789
2016-09-20,79.7699966430664
2016-09-21,81.66000366210938
2016-09-22,80.63999938964844
2016-09-23,82.29000091552734
2016-09-26,81.9800033569336
2016-09-27,80.76000213623047
2016-09-28,81.66000366210938
2016-09-29,79.72000122070312
2016-09-30,81.26000213623047
2016-10-03,81.08999633789062
2016-10-04,80.83000183105469
2016-10-05,79.29000091552734
2016-10-06,81.0199966430664
2016-10-07,80.62000274658203
2016-10-10,81.44999694824219
2016-10-11,80.61000061035156
2016-10-12,82.27999877929688
2016-10-13,81.3499984741211
2016-10-14,82.5999984741211
2016-10-17,83.33000183105469
2016-10-18,83.7699966430664
2016-10-19,85.54000091552734
2016-10-20,81.12999725341797
2016-10-21,81.54000091552734
2016-10-24,82.63999938964844
2016-10-25,80.87999725341797
2016-10-26,81.05000305175781
2016-10-27,80.97000122070312
2016-10-28,81.51000213623047
2016-10-31,82.5
2016-11-01,80.33000183105469
2016-11-02,79.7300033569336
2016-11-03,78.66999816894531
2016-11-04,79.06999969482422
2016-11-07,79.33999633789062
2016-11-08,80.13999938964844
2016-11-09,82.2699966430664
2016-11-10,82.12000274658203
2016-11-11,82.5999984741211
2016-11-14,85.97000122070312
2016-11-15,85.91999816894531
2016-11-16,85.72000122070312
2016-11-17,86.77999877929688
2016-11-18,87.51000213623047
2016-11-21,86.29000091552734
2016-11-22,84.66999816894531
2016-11-23,84.72000122070312
2016-11-25,85.43000030517578
2016-11-28,85.4000015258789
2016-11-29,85.63999938964844
2016-11-30,84.76000213623047
2016-12-01,85.19000244140625
2016-12-02,87.06999969482422
2016-12-05,87.1500015258789
2016-12-06,86.94000244140625
2016-12-07,87.29000091552734
2016-12-08,87.33000183105469
2016-12-09,87.37999725341797
2016-12-12,86.4800033569336
2016-12-13,86.58999633789062
2016-12-14,86.16000366210938
2016-12-15,86.52999877929688
2016-12-16,86.45999908447266
2016-12-19,86.75
2016-12-20,86.72000122070312
2016-12-21,86.51000213623047
2016-12-22,85.9800033569336
2016-12-23,86.4800033569336
2016-12-27,86.66000366210938
2016-12-28,85.19000244140625
2016-12-29,85.05999755859375
2016-12-30,84.81999969482422
2017-01-03,85.0
2017-01-04,86.37000274658203
2017-01-05,85.33000183105469
2017-01-06,87.19999694824219
2017-01-09,87.7699966430664
2017-01-10,87.9800033569336
2017-01-11,88.5199966430664
2017-01-12,86.87999725341797
2017-01-13,87.22000122070312
2017-01-17,85.66999816894531
2017-01-18,86.66000366210938
2017-01-19,85.76000213623047
2017-01-20,86.05000305175781
2017-01-23,88.33000183105469
2017-01-24,92.08000183105467
2017-01-25,94.6999969482422
2017-01-26,94.0199966430664
2017-01-27,93.58000183105467
2017-01-30,91.81999969482422
2017-01-31,92.18000030517578
2017-02-01,93.0999984741211
2017-02-02,93.37000274658205
2017-02-03,94.22000122070312
2017-02-06,94.1999969482422
2017-02-07,95.08000183105467
2017-02-08,94.18000030517578
2017-02-09,93.75
2017-02-10,94.08999633789062
2017-02-13,94.87000274658205
2017-02-14,95.13999938964844
2017-02-15,95.45999908447266
2017-02-16,96.62000274658205
2017-02-17,95.26000213623048
2017-02-21,95.80999755859376
2017-02-22,94.0
2017-02-23,93.98999786376952
2017-02-24,93.4499969482422
2017-02-27,93.66000366210938
2017-02-28,92.43000030517578
2017-03-01,93.75
2017-03-02,93.5
2017-03-03,93.73999786376952
2017-03-06,92.33999633789062
2017-03-07,92.4499969482422
2017-03-08,92.97000122070312
2017-03-09,92.77999877929688
2017-03-10,92.18000030517578
2017-03-13,92.0199966430664
2017-03-14,91.8499984741211
2017-03-15,92.9000015258789
2017-03-16,92.41000366210938
2017-03-17,92.36000061035156
2017-03-20,94.41000366210938
2017-03-21,91.54000091552734
2017-03-22,92.12000274658205
2017-03-23,92.44000244140624
2017-03-24,90.41000366210938
2017-03-27,89.20999908447266
2017-03-28,90.80999755859376
2017-03-29,90.05000305175781
2017-03-30,91.11000061035156
2017-03-31,91.62000274658205
2017-04-03,90.79000091552734
2017-04-04,91.16000366210938
2017-04-05,90.81999969482422
2017-04-06,91.7699966430664
2017-04-07,91.04000091552734
2017-04-10,91.0
2017-04-11,91.01000213623048
2017-04-12,90.18000030517578
2017-04-13,90.0199966430664
2017-04-17,91.30999755859376
2017-04-18,92.4800033569336
2017-04-19,93.61000061035156
2017-04-20,93.83999633789062
2017-04-21,93.7300033569336
2017-04-24,94.08000183105467
2017-04-25,94.36000061035156
2017-04-26,94.54000091552734
2017-04-27,100.23999786376952
2017-04-28,98.77999877929688
2017-05-01,98.62999725341795
