,EG
2015-07-08,186.1999969482422
2015-07-09,184.83999633789065
2015-07-10,187.6199951171875
2015-07-13,188.88999938964844
2015-07-14,188.97999572753903
2015-07-15,190.17999267578125
2015-07-16,191.5399932861328
2015-07-17,190.3000030517578
2015-07-20,190.6100006103516
2015-07-21,190.42999267578125
2015-07-22,190.3699951171875
2015-07-23,188.92999267578125
2015-07-24,187.6999969482422
2015-07-27,186.5500030517578
2015-07-28,180.3600006103516
2015-07-29,183.2100067138672
2015-07-30,182.9900054931641
2015-07-31,183.1199951171875
2015-08-03,183.77999877929688
2015-08-04,183.27999877929688
2015-08-05,184.42999267578125
2015-08-06,184.0
2015-08-07,184.22999572753903
2015-08-10,185.8099975585937
2015-08-11,185.3000030517578
2015-08-12,184.8999938964844
2015-08-13,184.9499969482422
2015-08-14,185.6999969482422
2015-08-17,185.9600067138672
2015-08-18,186.2400054931641
2015-08-19,184.72999572753903
2015-08-20,182.259994506836
2015-08-21,179.63999938964844
2015-08-24,169.80999755859375
2015-08-25,167.74000549316406
2015-08-26,170.77000427246094
2015-08-27,175.36000061035156
2015-08-28,174.92999267578125
2015-08-31,175.80999755859375
2015-09-01,172.97000122070312
2015-09-02,174.5500030517578
2015-09-03,174.91000366210938
2015-09-04,172.9499969482422
2015-09-08,175.8699951171875
2015-09-09,174.94000244140625
2015-09-10,176.22000122070312
2015-09-11,177.25
2015-09-14,177.16000366210938
2015-09-15,176.64999389648438
2015-09-16,176.80999755859375
2015-09-17,176.05999755859375
2015-09-18,172.85000610351562
2015-09-21,174.6199951171875
2015-09-22,172.6300048828125
2015-09-23,172.9600067138672
2015-09-24,173.32000732421875
2015-09-25,173.8300018310547
2015-09-28,170.9600067138672
2015-09-29,172.0399932861328
2015-09-30,173.33999633789062
2015-10-01,172.19000244140625
2015-10-02,173.66000366210938
2015-10-05,175.27999877929688
2015-10-06,175.33999633789062
2015-10-07,177.00999450683594
2015-10-08,178.9600067138672
2015-10-09,176.8800048828125
2015-10-12,178.27999877929688
2015-10-13,176.4499969482422
2015-10-14,176.99000549316406
2015-10-15,178.2100067138672
2015-10-16,178.50999450683594
2015-10-19,177.24000549316406
2015-10-20,179.6699981689453
2015-10-21,179.2100067138672
2015-10-22,181.6199951171875
2015-10-23,179.27000427246094
2015-10-26,180.8000030517578
2015-10-27,181.63999938964844
2015-10-28,182.19000244140625
2015-10-29,182.0
2015-10-30,177.97000122070312
2015-11-02,178.3300018310547
2015-11-03,177.77999877929688
2015-11-04,179.1999969482422
2015-11-05,179.97000122070312
2015-11-06,181.08999633789065
2015-11-09,180.41000366210932
2015-11-10,181.02999877929688
2015-11-11,181.67999267578125
2015-11-12,181.57000732421875
2015-11-13,181.1300048828125
2015-11-16,182.0800018310547
2015-11-17,181.0599975585937
2015-11-18,184.1100006103516
2015-11-19,186.0599975585937
2015-11-20,185.6100006103516
2015-11-23,185.19000244140625
2015-11-24,184.8000030517578
2015-11-25,184.6699981689453
2015-11-27,185.4199981689453
2015-11-30,184.44000244140625
2015-12-01,186.8500061035156
2015-12-02,184.5200042724609
2015-12-03,183.759994506836
2015-12-04,186.91000366210932
2015-12-07,188.82000732421875
2015-12-08,187.2100067138672
2015-12-09,185.38999938964844
2015-12-10,184.38999938964844
2015-12-11,182.9600067138672
2015-12-14,184.17999267578125
2015-12-15,183.6999969482422
2015-12-16,181.8600006103516
2015-12-17,181.91000366210932
2015-12-18,181.1100006103516
2015-12-21,182.42999267578125
2015-12-22,184.67999267578125
2015-12-23,184.509994506836
2015-12-24,185.07000732421875
2015-12-28,185.27999877929688
2015-12-29,187.3300018310547
2015-12-30,186.0599975585937
2015-12-31,183.08999633789065
2016-01-04,181.0800018310547
2016-01-05,180.3699951171875
2016-01-06,178.86000061035156
2016-01-07,176.97999572753906
2016-01-08,175.08999633789062
2016-01-11,175.64999389648438
2016-01-12,175.66000366210938
2016-01-13,172.77999877929688
2016-01-14,174.5500030517578
2016-01-15,173.2100067138672
2016-01-19,171.24000549316406
2016-01-20,169.72000122070312
