,ODFL
2016-11-02,24.489999771118164
2016-11-03,24.50666618347168
2016-11-04,24.34333229064941
2016-11-07,24.916667938232425
2016-11-08,25.08333206176757
2016-11-09,25.780000686645508
2016-11-10,26.983333587646484
2016-11-11,27.36333274841309
2016-11-14,28.21999931335449
2016-11-15,28.40333366394043
2016-11-16,28.58666610717773
2016-11-17,28.93666648864746
2016-11-18,28.73666763305664
2016-11-21,28.8799991607666
2016-11-22,28.88333320617676
2016-11-23,29.40999984741211
2016-11-25,29.696666717529297
2016-11-28,29.003332138061523
2016-11-29,28.85333251953125
2016-11-30,29.100000381469727
2016-12-01,29.786666870117188
2016-12-02,29.3799991607666
2016-12-05,29.31999969482422
2016-12-06,29.6299991607666
2016-12-07,30.356666564941406
2016-12-08,30.489999771118164
2016-12-09,29.709999084472656
2016-12-12,29.56666755676269
2016-12-13,29.280000686645508
2016-12-14,29.1200008392334
2016-12-15,29.26333236694336
2016-12-16,29.176666259765625
2016-12-19,29.21999931335449
2016-12-20,29.523332595825195
2016-12-21,29.19333267211914
2016-12-22,28.976667404174805
2016-12-23,28.959999084472656
2016-12-27,29.06666755676269
2016-12-28,28.559999465942383
2016-12-29,28.74333381652832
2016-12-30,28.59666633605957
2017-01-03,28.926666259765625
2017-01-04,29.046667098999023
2017-01-05,28.703332901000977
2017-01-06,28.700000762939453
2017-01-09,28.543333053588867
2017-01-10,28.89666748046875
2017-01-11,29.02666664123535
2017-01-12,29.0
2017-01-13,29.40999984741211
2017-01-17,28.84333229064941
2017-01-18,29.32333374023437
2017-01-19,28.956666946411133
2017-01-20,29.18666648864746
2017-01-23,29.09000015258789
2017-01-24,29.65333366394043
2017-01-25,30.44333267211914
2017-01-26,30.049999237060547
2017-01-27,30.18000030517578
2017-01-30,29.82999992370605
2017-01-31,29.426666259765625
2017-02-01,29.24333381652832
2017-02-02,28.85333251953125
2017-02-03,29.703332901000977
2017-02-06,29.81666755676269
2017-02-07,29.31999969482422
2017-02-08,29.63999938964844
2017-02-09,30.206666946411133
2017-02-10,30.76666641235352
2017-02-13,30.86333274841309
2017-02-14,30.61666679382324
2017-02-15,30.88999938964844
2017-02-16,30.809999465942383
2017-02-17,30.786666870117188
2017-02-21,30.74333381652832
2017-02-22,30.559999465942383
2017-02-23,30.23666763305664
2017-02-24,30.57666778564453
2017-02-27,30.81666755676269
2017-02-28,30.58666610717773
2017-03-01,31.520000457763672
2017-03-02,30.709999084472656
2017-03-03,30.43666648864746
2017-03-06,30.286666870117188
2017-03-07,30.01666641235352
2017-03-08,29.88666725158692
2017-03-09,29.530000686645508
2017-03-10,29.81666755676269
2017-03-13,29.770000457763672
2017-03-14,29.296667098999023
2017-03-15,29.450000762939453
2017-03-16,29.270000457763672
2017-03-17,29.11666679382324
2017-03-20,28.82999992370605
2017-03-21,28.296667098999023
2017-03-22,28.32666778564453
2017-03-23,28.426666259765625
2017-03-24,28.24333381652832
2017-03-27,28.18000030517578
2017-03-28,28.670000076293945
2017-03-29,28.47333335876465
2017-03-30,28.6299991607666
2017-03-31,28.523332595825195
2017-04-03,28.15999984741211
2017-04-04,28.19333267211914
2017-04-05,27.88999938964844
2017-04-06,27.979999542236328
2017-04-07,27.74666786193848
2017-04-10,28.156667709350582
2017-04-11,27.98666763305664
2017-04-12,27.35333251953125
2017-04-13,26.86666679382324
2017-04-17,27.40333366394043
2017-04-18,27.229999542236328
2017-04-19,27.270000457763672
2017-04-20,27.84333229064941
2017-04-21,28.11000061035156
2017-04-24,28.76333236694336
2017-04-25,28.68666648864746
2017-04-26,29.043333053588867
2017-04-27,30.07333374023437
2017-04-28,29.50666618347168
2017-05-01,29.40999984741211
