,ITW
2017-07-11,145.82000732421875
2017-07-12,146.24000549316406
2017-07-13,144.6999969482422
2017-07-14,145.6999969482422
2017-07-17,146.2100067138672
2017-07-18,146.63999938964844
2017-07-19,147.67999267578125
2017-07-20,147.1199951171875
2017-07-21,147.2899932861328
2017-07-24,141.97999572753906
2017-07-25,141.64999389648438
2017-07-26,140.07000732421875
2017-07-27,140.82000732421875
2017-07-28,140.8300018310547
2017-07-31,140.7100067138672
2017-08-01,139.91000366210938
2017-08-02,141.77000427246094
2017-08-03,141.42999267578125
2017-08-04,142.8800048828125
2017-08-07,141.6699981689453
2017-08-08,141.33999633789062
2017-08-09,140.72999572753906
2017-08-10,137.47000122070312
2017-08-11,138.36000061035156
2017-08-14,139.0500030517578
2017-08-15,139.08999633789062
2017-08-16,140.02999877929688
2017-08-17,136.19000244140625
2017-08-18,135.6699981689453
2017-08-21,135.60000610351562
2017-08-22,137.8699951171875
2017-08-23,136.47999572753906
2017-08-24,135.8699951171875
2017-08-25,136.80999755859375
2017-08-28,136.52999877929688
2017-08-29,136.85000610351562
2017-08-30,136.94000244140625
2017-08-31,137.50999450683594
2017-09-01,137.72000122070312
2017-09-05,136.4499969482422
2017-09-06,136.89999389648438
2017-09-07,138.1300048828125
2017-09-08,140.0399932861328
2017-09-11,141.52000427246094
2017-09-12,142.85000610351562
2017-09-13,143.0
2017-09-14,145.07000732421875
2017-09-15,145.63999938964844
2017-09-18,146.94000244140625
2017-09-19,148.0
2017-09-20,147.75999450683594
2017-09-21,147.33999633789062
2017-09-22,147.39999389648438
2017-09-25,147.07000732421875
2017-09-26,147.08999633789062
2017-09-27,147.75999450683594
2017-09-28,147.1999969482422
2017-09-29,147.9600067138672
2017-10-02,150.16000366210938
2017-10-03,149.7899932861328
2017-10-04,150.00999450683594
2017-10-05,151.5
2017-10-06,151.6300048828125
2017-10-09,151.6999969482422
2017-10-10,151.6199951171875
2017-10-11,151.44000244140625
2017-10-12,153.22999572753906
2017-10-13,152.82000732421875
2017-10-16,153.41000366210938
2017-10-17,153.07000732421875
2017-10-18,153.75999450683594
2017-10-19,153.47999572753906
2017-10-20,155.02999877929688
2017-10-23,155.50999450683594
2017-10-24,158.4199981689453
2017-10-25,157.5399932861328
2017-10-26,157.5
2017-10-27,159.05999755859375
2017-10-30,157.35000610351562
2017-10-31,156.52000427246094
2017-11-01,155.1199951171875
2017-11-02,156.97999572753906
2017-11-03,157.3000030517578
2017-11-06,157.99000549316406
2017-11-07,157.8300018310547
2017-11-08,157.64999389648438
2017-11-09,156.35000610351562
2017-11-10,157.13999938964844
2017-11-13,157.61000061035156
2017-11-14,158.5399932861328
2017-11-15,155.85000610351562
2017-11-16,157.9199981689453
2017-11-17,157.13999938964844
2017-11-20,158.85000610351562
2017-11-21,159.4600067138672
2017-11-22,159.6199951171875
2017-11-24,159.83999633789062
2017-11-27,160.82000732421875
2017-11-28,164.47999572753906
2017-11-29,165.8800048828125
2017-11-30,169.25
2017-12-01,164.8699951171875
2017-12-04,166.22000122070312
2017-12-05,165.02000427246094
2017-12-06,166.3000030517578
